date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Tue, Nov 2, 1999",@,W,,W 1,0,Utah Jazz,84,,91,1
"Wed, Nov 3, 1999",,W,,W 2,0,Vancouver Grizzlies,88,,103,2
"Sat, Nov 6, 1999",@,L,,L 1,1,Portland Trail Blazers,97,,82,2
"Sun, Nov 7, 1999",,W,,W 1,1,Dallas Mavericks,97,,105,3
"Tue, Nov 9, 1999",@,W,,W 2,1,Dallas Mavericks,101,,123,4
"Wed, Nov 10, 1999",@,W,,W 3,1,Houston Rockets,88,,89,5
"Fri, Nov 12, 1999",,L,,L 1,2,Houston Rockets,97,,81,5
"Sun, Nov 14, 1999",,W,,W 1,2,Atlanta Hawks,88,,93,6
"Mon, Nov 15, 1999",@,W,,W 2,2,Phoenix Suns,82,,91,7
"Thu, Nov 18, 1999",@,L,,L 1,3,Denver Nuggets,93,,82,7
"Fri, Nov 19, 1999",,W,,W 1,3,Chicago Bulls,95,,103,8
"Sun, Nov 21, 1999",,L,,L 1,4,Toronto Raptors,111,,102,8
"Wed, Nov 24, 1999",,W,,W 1,4,Utah Jazz,82,,90,9
"Fri, Nov 26, 1999",,W,,W 2,4,New Jersey Nets,80,,103,10
"Tue, Nov 30, 1999",@,W,,W 3,4,Seattle SuperSonics,77,,101,11
"Wed, Dec 1, 1999",,W,,W 4,4,Golden State Warriors,75,,93,12
"Fri, Dec 3, 1999",,W,,W 5,4,Portland Trail Blazers,80,,93,13
"Sun, Dec 5, 1999",,W,,W 6,4,Orlando Magic,100,,117,14
"Tue, Dec 7, 1999",,W,,W 7,4,Washington Wizards,80,,91,15
"Wed, Dec 8, 1999",@,L,,L 1,5,Sacramento Kings,103,,91,15
"Sat, Dec 11, 1999",@,W,,W 1,5,Vancouver Grizzlies,94,,106,16
"Sun, Dec 12, 1999",,W,,W 2,5,Detroit Pistons,93,,101,17
"Tue, Dec 14, 1999",,W,,W 3,5,Los Angeles Clippers,68,,95,18
"Thu, Dec 16, 1999",@,W,,W 4,5,Atlanta Hawks,88,,95,19
"Fri, Dec 17, 1999",@,W,,W 5,5,Minnesota Timberwolves,88,,97,20
"Sun, Dec 19, 1999",@,W,,W 6,5,Toronto Raptors,88,,94,21
"Mon, Dec 20, 1999",@,W,,W 7,5,Boston Celtics,90,,99,22
"Sat, Dec 25, 1999",,W,,W 8,5,San Antonio Spurs,93,,99,23
"Mon, Dec 27, 1999",,W,,W 9,5,Dallas Mavericks,106,,108,24
"Wed, Dec 29, 1999",,W,,W 10,5,Phoenix Suns,87,,103,25
"Tue, Jan 4, 2000",@,W,,W 11,5,Los Angeles Clippers,98,,122,26
"Wed, Jan 5, 2000",,W,,W 12,5,Los Angeles Clippers,101,,118,27
"Fri, Jan 7, 2000",,W,,W 13,5,Charlotte Hornets,83,,87,28
"Sat, Jan 8, 2000",@,W,,W 14,5,Seattle SuperSonics,100,,110,29
"Mon, Jan 10, 2000",,W,,W 15,5,Denver Nuggets,95,,130,30
"Wed, Jan 12, 2000",@,W,,W 16,5,Milwaukee Bucks,94,,103,31
"Fri, Jan 14, 2000",@,L,,L 1,6,Indiana Pacers,111,,102,31
"Sat, Jan 15, 2000",@,W,,W 1,6,Minnesota Timberwolves,91,,104,32
"Mon, Jan 17, 2000",,L,,L 1,7,Seattle SuperSonics,82,,81,32
"Wed, Jan 19, 2000",,W,,W 1,7,Cleveland Cavaliers,86,,95,33
"Sat, Jan 22, 2000",,L,,L 1,8,Portland Trail Blazers,95,,91,33
"Mon, Jan 24, 2000",@,L,,L 2,9,Utah Jazz,105,2OT,101,33
"Fri, Jan 28, 2000",,W,,W 1,9,Milwaukee Bucks,89,,117,34
"Sun, Jan 30, 2000",@,L,,L 1,10,Houston Rockets,89,,83,34
"Tue, Feb 1, 2000",@,L,,L 2,11,San Antonio Spurs,105,,81,34
"Fri, Feb 4, 2000",,W,,W 1,11,Utah Jazz,67,,113,35
"Mon, Feb 7, 2000",,W,,W 2,11,Denver Nuggets,98,,106,36
"Wed, Feb 9, 2000",,W,,W 3,11,Minnesota Timberwolves,81,,114,37
"Tue, Feb 15, 2000",@,W,,W 4,11,Chicago Bulls,76,,88,38
"Wed, Feb 16, 2000",@,W,,W 5,11,Charlotte Hornets,85,,92,39
"Fri, Feb 18, 2000",@,W,,W 6,11,Orlando Magic,99,OT,107,40
"Sun, Feb 20, 2000",@,W,,W 7,11,Philadelphia 76ers,84,,87,41
"Tue, Feb 22, 2000",@,W,,W 8,11,New Jersey Nets,89,,97,42
"Wed, Feb 23, 2000",@,W,,W 9,11,Cleveland Cavaliers,98,,116,43
"Fri, Feb 25, 2000",,W,,W 10,11,Boston Celtics,96,,109,44
"Sun, Feb 27, 2000",,W,,W 11,11,Houston Rockets,85,,101,45
"Tue, Feb 29, 2000",@,W,,W 12,11,Portland Trail Blazers,87,,90,46
"Wed, Mar 1, 2000",,W,,W 13,11,Vancouver Grizzlies,91,,103,47
"Fri, Mar 3, 2000",,W,,W 14,11,Indiana Pacers,92,,107,48
"Sun, Mar 5, 2000",,W,,W 15,11,Miami Heat,80,,93,49
"Mon, Mar 6, 2000",@,W,,W 16,11,Los Angeles Clippers,103,,123,50
"Thu, Mar 9, 2000",@,W,,W 17,11,Golden State Warriors,92,,109,51
"Sun, Mar 12, 2000",,W,,W 18,11,Sacramento Kings,106,,109,52
"Mon, Mar 13, 2000",@,W,,W 19,11,Denver Nuggets,108,,118,53
"Thu, Mar 16, 2000",@,L,,L 1,12,Washington Wizards,109,,102,53
"Fri, Mar 17, 2000",@,W,,W 1,12,Detroit Pistons,82,,110,54
"Sun, Mar 19, 2000",@,W,,W 2,12,New York Knicks,85,,92,55
"Mon, Mar 20, 2000",@,W,,W 3,12,Miami Heat,89,,100,56
"Wed, Mar 22, 2000",,W,,W 4,12,Golden State Warriors,96,,119,57
"Fri, Mar 24, 2000",,W,,W 5,12,Phoenix Suns,101,,109,58
"Sun, Mar 26, 2000",@,W,,W 6,12,Sacramento Kings,89,,90,59
"Wed, Mar 29, 2000",@,W,,W 7,12,Vancouver Grizzlies,99,,108,60
"Fri, Mar 31, 2000",,W,,W 8,12,Philadelphia 76ers,88,,100,61
"Sun, Apr 2, 2000",,W,,W 9,12,New York Knicks,82,,106,62
"Tue, Apr 4, 2000",@,W,,W 10,12,Phoenix Suns,83,,84,63
"Wed, Apr 5, 2000",@,W,,W 11,12,Golden State Warriors,104,,111,64
"Sat, Apr 8, 2000",,L,,L 1,13,San Antonio Spurs,98,,80,64
"Mon, Apr 10, 2000",,W,,W 1,13,Seattle SuperSonics,103,OT,106,65
"Fri, Apr 14, 2000",,W,,W 2,13,Sacramento Kings,114,,121,66
"Sun, Apr 16, 2000",,W,,W 3,13,Minnesota Timberwolves,95,,101,67
"Tue, Apr 18, 2000",@,L,,L 1,14,Dallas Mavericks,112,,102,67
"Wed, Apr 19, 2000",@,L,,L 2,15,San Antonio Spurs,103,OT,98,67
