date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Fri, Nov 5, 1999",@,L,,L 1,1,Sacramento Kings,100,,95,0
"Sat, Nov 6, 1999",,W,,W 1,1,Sacramento Kings,101,,114,1
"Thu, Nov 11, 1999",,W,,W 2,1,New York Knicks,90,,93,2
"Sat, Nov 13, 1999",,W,,W 3,1,Phoenix Suns,100,,111,3
"Wed, Nov 17, 1999",,L,,L 1,2,Los Angeles Clippers,89,,85,3
"Fri, Nov 19, 1999",,W,,W 1,2,Utah Jazz,84,,89,4
"Sun, Nov 21, 1999",@,W,,W 2,2,Vancouver Grizzlies,81,,105,5
"Mon, Nov 22, 1999",@,L,,L 1,3,Utah Jazz,108,,93,5
"Wed, Nov 24, 1999",,L,,L 2,4,Portland Trail Blazers,88,,81,5
"Fri, Nov 26, 1999",@,L,,L 3,5,Denver Nuggets,114,,105,5
"Sat, Nov 27, 1999",,W,,W 1,5,Vancouver Grizzlies,82,,113,6
"Tue, Nov 30, 1999",,W,,W 2,5,Denver Nuggets,92,,109,7
"Thu, Dec 2, 1999",,L,,L 1,6,Orlando Magic,103,,93,7
"Sat, Dec 4, 1999",,L,,L 2,7,Dallas Mavericks,103,,84,7
"Wed, Dec 8, 1999",@,L,,L 3,8,Seattle SuperSonics,110,,94,7
"Thu, Dec 9, 1999",@,L,,L 4,9,Portland Trail Blazers,90,,86,7
"Sat, Dec 11, 1999",,L,,L 5,10,Golden State Warriors,104,,76,7
"Tue, Dec 14, 1999",@,L,,L 6,11,Atlanta Hawks,105,,94,7
"Wed, Dec 15, 1999",@,L,,L 7,12,Charlotte Hornets,103,,98,7
"Fri, Dec 17, 1999",,L,,L 8,13,Los Angeles Lakers,97,,88,7
"Sat, Dec 18, 1999",@,W,,W 1,13,Dallas Mavericks,104,,108,8
"Mon, Dec 20, 1999",@,W,,W 2,13,Cleveland Cavaliers,94,,100,9
"Wed, Dec 22, 1999",@,W,,W 3,13,Chicago Bulls,86,,106,10
"Thu, Dec 23, 1999",,W,,W 4,13,Seattle SuperSonics,102,,109,11
"Mon, Dec 27, 1999",@,W,,W 5,13,Orlando Magic,105,,107,12
"Tue, Dec 28, 1999",@,L,,L 1,14,Miami Heat,89,,78,12
"Thu, Dec 30, 1999",,W,,W 1,14,Chicago Bulls,76,,94,13
"Tue, Jan 4, 2000",,W,,W 2,14,San Antonio Spurs,88,,91,14
"Thu, Jan 6, 2000",,W,,W 3,14,Portland Trail Blazers,96,,98,15
"Sat, Jan 8, 2000",@,W,,W 4,14,Detroit Pistons,105,,110,16
"Sun, Jan 9, 2000",@,W,,W 5,14,Philadelphia 76ers,112,,123,17
"Tue, Jan 11, 2000",,L,,L 1,15,Miami Heat,116,,106,17
"Thu, Jan 13, 2000",,W,,W 1,15,Boston Celtics,85,,103,18
"Sat, Jan 15, 2000",,L,,L 1,16,Los Angeles Lakers,104,,91,18
"Mon, Jan 17, 2000",,W,,W 1,16,Indiana Pacers,100,,101,19
"Wed, Jan 19, 2000",@,W,,W 2,16,Utah Jazz,88,,91,20
"Fri, Jan 21, 2000",@,W,,W 3,16,Los Angeles Clippers,89,,95,21
"Sun, Jan 23, 2000",@,W,,W 4,16,Golden State Warriors,81,,99,22
"Tue, Jan 25, 2000",@,W,,W 5,16,Houston Rockets,84,,92,23
"Thu, Jan 27, 2000",@,L,,L 1,17,San Antonio Spurs,92,,80,23
"Sat, Jan 29, 2000",,W,,W 1,17,Utah Jazz,94,,96,24
"Mon, Jan 31, 2000",,W,,W 2,17,Sacramento Kings,90,,105,25
"Wed, Feb 2, 2000",@,L,,L 1,18,Washington Wizards,103,,93,25
"Fri, Feb 4, 2000",,W,,W 1,18,Houston Rockets,85,,102,26
"Sat, Feb 5, 2000",@,W,,W 2,18,Denver Nuggets,97,OT,105,27
"Wed, Feb 9, 2000",@,L,,L 1,19,Los Angeles Lakers,114,,81,27
"Thu, Feb 10, 2000",@,L,,L 2,20,Phoenix Suns,101,,85,27
"Tue, Feb 15, 2000",,L,,L 3,21,Denver Nuggets,107,OT,104,27
"Wed, Feb 16, 2000",@,L,,L 4,22,New York Knicks,93,,89,27
"Fri, Feb 18, 2000",,W,,W 1,22,Vancouver Grizzlies,91,,103,28
"Sun, Feb 20, 2000",,L,,L 1,23,New Jersey Nets,91,,89,28
"Tue, Feb 22, 2000",,W,,W 1,23,Golden State Warriors,89,,112,29
"Thu, Feb 24, 2000",,W,,W 2,23,Los Angeles Clippers,91,,116,30
"Fri, Feb 25, 2000",@,W,,W 3,23,Toronto Raptors,85,,107,31
"Sun, Feb 27, 2000",,W,,W 4,23,San Antonio Spurs,98,,102,32
"Tue, Feb 29, 2000",,L,,L 1,24,Charlotte Hornets,92,,87,32
"Thu, Mar 2, 2000",@,W,,W 1,24,San Antonio Spurs,102,,108,33
"Sat, Mar 4, 2000",@,W,,W 2,24,Milwaukee Bucks,84,,91,34
"Sun, Mar 5, 2000",,W,,W 3,24,Seattle SuperSonics,100,OT,105,35
"Tue, Mar 7, 2000",,L,,L 1,25,Washington Wizards,90,,86,35
"Thu, Mar 9, 2000",@,W,,W 1,25,Dallas Mavericks,79,,100,36
"Sat, Mar 11, 2000",@,W,,W 2,25,Houston Rockets,86,,100,37
"Tue, Mar 14, 2000",@,L,,L 1,26,Phoenix Suns,107,,100,37
"Thu, Mar 16, 2000",@,W,,W 1,26,Portland Trail Blazers,92,,96,38
"Sun, Mar 19, 2000",,W,,W 2,26,Milwaukee Bucks,82,,109,39
"Tue, Mar 21, 2000",,W,,W 3,26,Cleveland Cavaliers,107,OT,111,40
"Wed, Mar 22, 2000",@,W,,W 4,26,Boston Celtics,106,,109,41
"Fri, Mar 24, 2000",@,W,,W 5,26,New Jersey Nets,115,OT,116,42
"Sun, Mar 26, 2000",,W,,W 6,26,Toronto Raptors,101,OT,106,43
"Tue, Mar 28, 2000",,L,,L 1,27,Philadelphia 76ers,102,,100,43
"Thu, Mar 30, 2000",,W,,W 1,27,Houston Rockets,90,,122,44
"Fri, Mar 31, 2000",@,L,,L 1,28,Indiana Pacers,109,,85,44
"Sun, Apr 2, 2000",,L,,L 2,29,Phoenix Suns,87,,86,44
"Tue, Apr 4, 2000",,W,,W 1,29,Atlanta Hawks,76,OT,86,45
"Thu, Apr 6, 2000",@,W,,W 2,29,Los Angeles Clippers,90,,112,46
"Fri, Apr 7, 2000",@,W,,W 3,29,Sacramento Kings,92,,95,47
"Mon, Apr 10, 2000",,W,,W 4,29,Detroit Pistons,100,,102,48
"Wed, Apr 12, 2000",@,L,,L 1,30,Seattle SuperSonics,110,,83,48
"Fri, Apr 14, 2000",@,W,,W 1,30,Vancouver Grizzlies,94,2OT,104,49
"Sun, Apr 16, 2000",@,L,,L 1,31,Los Angeles Lakers,101,,95,49
"Mon, Apr 17, 2000",@,W,,W 1,31,Golden State Warriors,96,,101,50
"Wed, Apr 19, 2000",,L,,L 1,32,Dallas Mavericks,113,,107,50
