date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Tue, Nov 2, 1999",@,L,,L 1,1,San Antonio Spurs,89,,76,0
"Thu, Nov 4, 1999",@,L,,L 2,2,Phoenix Suns,84,,80,0
"Fri, Nov 5, 1999",@,L,,L 3,3,Los Angeles Clippers,91,,81,0
"Mon, Nov 8, 1999",,W,,W 1,3,Seattle SuperSonics,98,,117,1
"Wed, Nov 10, 1999",@,L,,L 1,4,Orlando Magic,110,,105,1
"Fri, Nov 12, 1999",,W,,W 1,4,Chicago Bulls,86,,92,2
"Sun, Nov 14, 1999",@,W,,W 2,4,Toronto Raptors,90,,93,3
"Tue, Nov 16, 1999",@,W,,W 3,4,Washington Wizards,73,,95,4
"Wed, Nov 17, 1999",,L,,L 1,5,Miami Heat,98,,93,4
"Fri, Nov 19, 1999",,L,,L 2,6,Portland Trail Blazers,97,,91,4
"Sat, Nov 20, 1999",@,W,,W 1,6,New Jersey Nets,96,,100,5
"Mon, Nov 22, 1999",,L,,L 1,7,San Antonio Spurs,94,,91,5
"Wed, Nov 24, 1999",,L,,L 2,8,Washington Wizards,101,,93,5
"Fri, Nov 26, 1999",,W,,W 1,8,Cleveland Cavaliers,83,,106,6
"Sat, Nov 27, 1999",@,W,,W 2,8,Milwaukee Bucks,79,,82,7
"Tue, Nov 30, 1999",,W,,W 3,8,New York Knicks,70,,74,8
"Wed, Dec 1, 1999",@,L,,L 1,9,Miami Heat,90,,83,8
"Fri, Dec 3, 1999",@,W,,W 1,9,Cleveland Cavaliers,100,OT,102,9
"Sat, Dec 4, 1999",,W,,W 2,9,Boston Celtics,74,,77,10
"Mon, Dec 6, 1999",,L,,L 1,10,Denver Nuggets,94,,77,10
"Wed, Dec 8, 1999",,W,,W 1,10,Houston Rockets,73,,83,11
"Fri, Dec 10, 1999",@,L,,L 1,11,New York Knicks,85,,78,11
"Sat, Dec 11, 1999",,L,,L 2,12,Charlotte Hornets,106,,84,11
"Wed, Dec 15, 1999",,W,,W 1,12,Toronto Raptors,91,,93,12
"Fri, Dec 17, 1999",,W,,W 2,12,Chicago Bulls,74,,77,13
"Sat, Dec 18, 1999",@,L,,L 1,13,Detroit Pistons,104,,91,13
"Mon, Dec 20, 1999",,W,,W 1,13,Detroit Pistons,121,OT,122,14
"Thu, Dec 23, 1999",@,L,,L 1,14,New Jersey Nets,99,,94,14
"Sun, Dec 26, 1999",@,W,,W 1,14,Seattle SuperSonics,86,,92,15
"Mon, Dec 27, 1999",@,W,,W 2,14,Vancouver Grizzlies,93,,100,16
"Wed, Dec 29, 1999",@,W,,W 3,14,Golden State Warriors,94,,97,17
"Thu, Dec 30, 1999",@,L,,L 1,15,Portland Trail Blazers,108,,90,17
"Mon, Jan 3, 2000",,W,,W 1,15,Milwaukee Bucks,120,OT,124,18
"Wed, Jan 5, 2000",,W,,W 2,15,Golden State Warriors,92,,113,19
"Sun, Jan 9, 2000",,L,,L 1,16,Minnesota Timberwolves,123,,112,19
"Fri, Jan 14, 2000",,W,,W 1,16,Orlando Magic,100,,102,20
"Sat, Jan 15, 2000",@,W,,W 2,16,Atlanta Hawks,98,,101,21
"Mon, Jan 17, 2000",,W,,W 3,16,New Jersey Nets,96,,101,22
"Wed, Jan 19, 2000",,W,,W 4,16,Atlanta Hawks,89,,107,23
"Thu, Jan 20, 2000",@,L,,L 1,17,Charlotte Hornets,109,,100,23
"Sat, Jan 22, 2000",,W,,W 1,17,Indiana Pacers,97,,103,24
"Wed, Jan 26, 2000",,L,,L 1,18,Phoenix Suns,93,,87,24
"Sat, Jan 29, 2000",@,L,,L 2,19,Detroit Pistons,90,,88,24
"Mon, Jan 31, 2000",@,L,,L 3,20,Denver Nuggets,83,,80,24
"Tue, Feb 1, 2000",@,W,,W 1,20,Dallas Mavericks,100,,101,25
"Thu, Feb 3, 2000",@,L,,L 1,21,Houston Rockets,109,,106,25
"Sun, Feb 6, 2000",,W,,W 1,21,Sacramento Kings,108,,119,26
"Mon, Feb 7, 2000",@,L,,L 1,22,Indiana Pacers,109,,84,26
"Wed, Feb 9, 2000",,W,,W 1,22,New Jersey Nets,90,,92,27
"Tue, Feb 15, 2000",,L,,L 1,23,Charlotte Hornets,95,,93,27
"Fri, Feb 18, 2000",,W,,W 1,23,Cleveland Cavaliers,75,,104,28
"Sun, Feb 20, 2000",,L,,L 1,24,Los Angeles Lakers,87,,84,28
"Wed, Feb 23, 2000",,W,,W 1,24,Los Angeles Clippers,78,,94,29
"Fri, Feb 25, 2000",@,W,,W 2,24,Milwaukee Bucks,83,,97,30
"Sun, Feb 27, 2000",@,L,,L 1,25,New York Knicks,89,,88,30
"Tue, Feb 29, 2000",,W,,W 1,25,Dallas Mavericks,87,,106,31
"Thu, Mar 2, 2000",@,W,,W 2,25,Washington Wizards,84,,87,32
"Sat, Mar 4, 2000",@,W,,W 3,25,Chicago Bulls,84,,95,33
"Wed, Mar 8, 2000",,W,,W 4,25,Vancouver Grizzlies,90,,107,34
