date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Tue, Oct 31, 2000",,L,8:00p,L 1,1,Philadelphia 76ers,101,,72,0
"Thu, Nov 2, 2000",,W,7:30p,W 1,1,Atlanta Hawks,69,,94,1
"Fri, Nov 3, 2000",@,W,7:00p,W 2,1,Washington Wizards,76,,80,2
"Tue, Nov 7, 2000",@,W,8:00p,W 3,1,Milwaukee Bucks,89,,103,3
"Wed, Nov 8, 2000",,L,7:30p,L 1,2,Cleveland Cavaliers,99,,97,3
"Fri, Nov 10, 2000",@,W,7:30p,W 1,2,Boston Celtics,101,OT,103,4
"Sat, Nov 11, 2000",,W,7:30p,W 2,2,Charlotte Hornets,67,,81,5
"Tue, Nov 14, 2000",@,L,10:30p,L 1,3,Seattle SuperSonics,96,,75,5
"Wed, Nov 15, 2000",@,L,10:30p,L 2,4,Los Angeles Clippers,78,,74,5
"Fri, Nov 17, 2000",@,W,9:00p,W 1,4,Phoenix Suns,85,,90,6
"Sun, Nov 19, 2000",,W,8:00p,W 2,4,Golden State Warriors,71,,88,7
"Tue, Nov 21, 2000",@,W,8:00p,W 3,4,Orlando Magic,84,,85,8
"Wed, Nov 22, 2000",@,L,7:30p,L 1,5,Atlanta Hawks,78,,74,8
"Sat, Nov 25, 2000",,L,1:00p,L 2,6,Toronto Raptors,79,,75,8
"Mon, Nov 27, 2000",,W,7:30p,W 1,6,Vancouver Grizzlies,72,,97,9
"Wed, Nov 29, 2000",,L,8:00p,L 1,7,Miami Heat,84,,81,9
"Fri, Dec 1, 2000",@,W,8:30p,W 1,7,Chicago Bulls,86,,91,10
"Sat, Dec 2, 2000",,W,7:30p,W 2,7,Minnesota Timberwolves,90,,100,11
"Mon, Dec 4, 2000",,W,7:30p,W 3,7,Los Angeles Clippers,78,,106,12
"Wed, Dec 6, 2000",@,L,8:00p,L 1,8,Dallas Mavericks,94,,85,12
"Thu, Dec 7, 2000",@,W,8:00p,W 1,8,San Antonio Spurs,83,,86,13
"Sat, Dec 9, 2000",,W,7:30p,W 2,8,Denver Nuggets,88,,96,14
"Thu, Dec 14, 2000",@,L,8:00p,L 1,9,Toronto Raptors,70,,68,14
"Fri, Dec 15, 2000",,L,7:30p,L 2,10,Utah Jazz,89,,58,14
"Sun, Dec 17, 2000",,W,6:00p,W 1,10,Milwaukee Bucks,97,OT,100,15
"Tue, Dec 19, 2000",@,L,7:30p,L 1,11,Atlanta Hawks,87,,77,15
"Thu, Dec 21, 2000",,L,8:00p,L 2,12,Boston Celtics,92,,86,15
"Fri, Dec 22, 2000",@,W,7:00p,W 1,12,Philadelphia 76ers,71,,91,16
