date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Tue, Oct 31, 2000",,L,10:30p,L 1,1,Los Angeles Lakers,96,,86,0
"Thu, Nov 2, 2000",@,L,9:00p,L 2,2,Phoenix Suns,108,,82,0
"Sat, Nov 4, 2000",@,W,10:00p,W 1,2,Seattle SuperSonics,90,,97,1
"Mon, Nov 6, 2000",@,L,10:30p,L 1,3,Sacramento Kings,79,,75,1
"Tue, Nov 7, 2000",,W,10:00p,W 1,3,Atlanta Hawks,88,,97,2
"Thu, Nov 9, 2000",,W,10:00p,W 2,3,Denver Nuggets,91,,107,3
"Sat, Nov 11, 2000",,W,10:00p,W 3,3,Houston Rockets,88,,111,4
"Mon, Nov 13, 2000",@,W,7:30p,W 4,3,New Jersey Nets,82,,94,5
"Tue, Nov 14, 2000",@,L,7:30p,L 1,4,Atlanta Hawks,99,,97,5
"Thu, Nov 16, 2000",@,W,7:00p,W 1,4,Toronto Raptors,80,,86,6
"Sat, Nov 18, 2000",@,L,7:30p,L 1,5,Miami Heat,86,,80,6
"Sun, Nov 19, 2000",@,W,6:00p,W 1,5,Orlando Magic,102,OT,110,7
"Tue, Nov 21, 2000",@,W,7:00p,W 2,5,Washington Wizards,94,,104,8
"Wed, Nov 22, 2000",@,W,8:00p,W 3,5,Milwaukee Bucks,84,,93,9
"Sat, Nov 25, 2000",,W,10:00p,W 4,5,New Jersey Nets,84,,86,10
"Tue, Nov 28, 2000",,L,10:00p,L 1,6,Seattle SuperSonics,105,,93,10
"Thu, Nov 30, 2000",,W,10:00p,W 1,6,Dallas Mavericks,84,,95,11
"Sat, Dec 2, 2000",@,W,8:30p,W 2,6,Houston Rockets,85,,96,12
"Sun, Dec 3, 2000",@,L,8:00p,L 1,7,Phoenix Suns,84,,79,12
"Wed, Dec 6, 2000",,W,10:00p,W 1,7,Toronto Raptors,88,,95,13
"Fri, Dec 8, 2000",,L,10:00p,L 1,8,Philadelphia 76ers,107,,94,13
"Sat, Dec 9, 2000",,W,10:00p,W 1,8,Detroit Pistons,83,,114,14
"Tue, Dec 12, 2000",@,W,10:30p,W 2,8,Golden State Warriors,93,,101,15
"Wed, Dec 13, 2000",,W,10:30p,W 3,8,Los Angeles Lakers,86,,96,16
"Fri, Dec 15, 2000",,W,10:00p,W 4,8,Orlando Magic,96,,106,17
"Wed, Dec 20, 2000",@,L,8:00p,L 1,9,Dallas Mavericks,106,,101,17
"Fri, Dec 22, 2000",@,L,9:00p,L 2,10,Denver Nuggets,116,,96,17
"Sat, Dec 23, 2000",,W,10:00p,W 1,10,Washington Wizards,70,,87,18
"Mon, Dec 25, 2000",@,W,5:30p,W 2,10,Los Angeles Lakers,104,,109,19
"Thu, Dec 28, 2000",@,W,8:00p,W 3,10,Utah Jazz,102,OT,103,20
"Fri, Dec 29, 2000",,W,10:00p,W 4,10,Vancouver Grizzlies,81,,104,21
