date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Tue, Oct 31, 2000",@,W,8:30p,W 1,0,Chicago Bulls,81,,100,1
"Wed, Nov 1, 2000",@,L,7:30p,L 1,1,Cleveland Cavaliers,102,2OT,100,1
"Fri, Nov 3, 2000",@,W,8:00p,W 1,1,Detroit Pistons,93,,100,2
"Sat, Nov 4, 2000",@,L,8:00p,L 1,2,Minnesota Timberwolves,99,,91,2
"Mon, Nov 6, 2000",,W,10:30p,W 1,2,Portland Trail Blazers,75,,79,3
"Wed, Nov 8, 2000",,W,10:30p,W 2,2,Golden State Warriors,84,,115,4
"Fri, Nov 10, 2000",@,W,10:30p,W 3,2,Golden State Warriors,107,OT,114,5
"Sun, Nov 12, 2000",,W,9:00p,W 4,2,Dallas Mavericks,84,,109,6
"Tue, Nov 14, 2000",,W,8:00p,W 5,2,Orlando Magic,82,,96,7
"Thu, Nov 16, 2000",,L,8:00p,L 1,3,Los Angeles Lakers,112,OT,110,7
"Wed, Nov 22, 2000",,W,10:30p,W 1,3,Chicago Bulls,71,,100,8
"Sat, Nov 25, 2000",,W,10:30p,W 2,3,Seattle SuperSonics,101,,125,9
"Tue, Nov 28, 2000",@,W,8:30p,W 3,3,Houston Rockets,81,,88,10
"Wed, Nov 29, 2000",@,L,8:30p,L 1,4,San Antonio Spurs,82,,79,10
"Fri, Dec 1, 2000",,W,10:30p,W 1,4,Phoenix Suns,98,,105,11
"Tue, Dec 5, 2000",,W,8:00p,W 2,4,San Antonio Spurs,75,,81,12
"Fri, Dec 8, 2000",,W,10:30p,W 3,4,Houston Rockets,98,,111,13
"Sun, Dec 10, 2000",,W,9:00p,W 4,4,Miami Heat,97,,101,14
"Tue, Dec 12, 2000",@,L,8:00p,L 1,5,Atlanta Hawks,107,,99,14
"Wed, Dec 13, 2000",@,L,7:30p,L 2,6,Charlotte Hornets,101,,90,14
"Fri, Dec 15, 2000",@,W,7:30p,W 1,6,Boston Celtics,81,,104,15
"Sun, Dec 17, 2000",@,W,7:30p,W 2,6,New Jersey Nets,79,,95,16
"Tue, Dec 19, 2000",,W,10:30p,W 3,6,Washington Wizards,72,,106,17
"Wed, Dec 20, 2000",@,L,10:00p,L 1,7,Seattle SuperSonics,89,,85,17
"Fri, Dec 22, 2000",@,W,10:00p,W 1,7,Vancouver Grizzlies,93,,95,18
"Sat, Dec 23, 2000",,W,10:30p,W 2,7,Seattle SuperSonics,92,,97,19
"Thu, Dec 28, 2000",,W,10:30p,W 3,7,Charlotte Hornets,87,,91,20
"Sat, Dec 30, 2000",,L,7:30p,L 1,8,Philadelphia 76ers,107,OT,104,20
"Tue, Jan 2, 2001",,W,10:30p,W 1,8,Phoenix Suns,117,OT,121,21
"Fri, Jan 5, 2001",,L,10:30p,L 1,9,Indiana Pacers,93,OT,91,21
"Mon, Jan 8, 2001",,W,10:30p,W 1,9,Minnesota Timberwolves,97,,100,22
"Wed, Jan 10, 2001",,W,10:30p,W 2,9,Cleveland Cavaliers,103,,108,23
"Fri, Jan 12, 2001",@,L,9:00p,L 1,10,Denver Nuggets,106,,93,23
"Sat, Jan 13, 2001",@,W,8:30p,W 1,10,Houston Rockets,81,,84,24
"Mon, Jan 15, 2001",@,W,3:00p,W 2,10,Dallas Mavericks,105,,116,25
"Wed, Jan 17, 2001",,W,10:30p,W 3,10,Boston Celtics,106,,111,26
"Sat, Jan 20, 2001",@,W,5:30p,W 4,10,Portland Trail Blazers,101,,111,27
"Sun, Jan 21, 2001",@,L,9:00p,L 1,11,Seattle SuperSonics,109,,107,27
"Tue, Jan 23, 2001",,W,10:30p,W 1,11,New Jersey Nets,104,,130,28
"Thu, Jan 25, 2001",,L,10:30p,L 1,12,San Antonio Spurs,97,,91,28
"Sat, Jan 27, 2001",@,W,10:30p,W 1,12,Los Angeles Clippers,89,,101,29
"Tue, Jan 30, 2001",,W,10:30p,W 2,12,Golden State Warriors,79,,105,30
"Fri, Feb 2, 2001",,W,10:30p,W 3,12,Vancouver Grizzlies,95,,105,31
"Sun, Feb 4, 2001",@,L,3:30p,L 1,13,Los Angeles Lakers,100,,94,31
"Tue, Feb 6, 2001",@,L,8:00p,L 2,14,Milwaukee Bucks,112,,109,31
"Wed, Feb 7, 2001",@,L,8:00p,L 3,15,Minnesota Timberwolves,117,,88,31
"Tue, Feb 13, 2001",@,W,8:00p,W 1,15,Utah Jazz,94,OT,97,32
"Thu, Feb 15, 2001",@,L,10:00p,L 1,16,Portland Trail Blazers,105,,81,32
