date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Fri, Oct 31, 2003",,L,8:00p,L 1,1,Boston Celtics,93,,91,0
"Sat, Nov 1, 2003",@,W,8:30p,W 1,1,Houston Rockets,71,,79,1
"Mon, Nov 3, 2003",,W,8:00p,W 2,1,San Antonio Spurs,80,,88,2
"Wed, Nov 5, 2003",@,L,10:30p,L 1,2,Portland Trail Blazers,93,,87,2
"Fri, Nov 7, 2003",@,L,9:00p,L 2,3,Phoenix Suns,96,,88,2
"Sat, Nov 8, 2003",@,L,9:00p,L 3,4,Utah Jazz,96,,89,2
"Mon, Nov 10, 2003",,W,8:00p,W 1,4,Los Angeles Lakers,95,,105,3
"Wed, Nov 12, 2003",@,W,7:00p,W 2,4,Orlando Magic,97,,107,4
"Sat, Nov 15, 2003",,W,8:00p,W 3,4,Dallas Mavericks,101,OT,108,5
"Wed, Nov 19, 2003",,L,9:00p,L 1,5,Detroit Pistons,99,,92,5
"Fri, Nov 21, 2003",@,W,10:30p,W 1,5,Seattle SuperSonics,97,,98,6
"Sun, Nov 23, 2003",@,L,9:30p,L 1,6,Los Angeles Lakers,121,,89,6
"Tue, Nov 25, 2003",@,L,10:00p,L 2,7,Sacramento Kings,109,,89,6
"Fri, Nov 28, 2003",,L,8:00p,L 3,8,Minnesota Timberwolves,102,,98,6
"Sat, Nov 29, 2003",@,W,7:30p,W 1,8,Cleveland Cavaliers,115,2OT,122,7
"Mon, Dec 1, 2003",@,W,7:00p,W 2,8,Boston Celtics,89,,96,8
"Wed, Dec 3, 2003",@,W,7:30p,W 3,8,New Jersey Nets,93,,96,9
"Fri, Dec 5, 2003",,W,8:00p,W 4,8,Washington Wizards,77,,92,10
"Sun, Dec 7, 2003",,W,4:00p,W 5,8,Portland Trail Blazers,79,,93,11
"Wed, Dec 10, 2003",,W,8:00p,W 6,8,Atlanta Hawks,90,,103,12
"Fri, Dec 12, 2003",@,L,7:30p,L 1,9,Miami Heat,91,,88,12
"Sat, Dec 13, 2003",,W,8:00p,W 1,9,New Jersey Nets,63,,110,13
"Mon, Dec 15, 2003",@,L,8:30p,L 1,10,San Antonio Spurs,78,,67,13
"Tue, Dec 16, 2003",,W,8:00p,W 1,10,Sacramento Kings,100,,105,14
"Fri, Dec 19, 2003",,W,8:00p,W 2,10,Miami Heat,83,,97,15
"Sat, Dec 20, 2003",@,L,8:00p,L 1,11,New Orleans Hornets,94,,89,15
"Mon, Dec 22, 2003",@,L,9:00p,L 2,12,Denver Nuggets,106,,99,15
"Tue, Dec 23, 2003",@,L,10:00p,L 3,13,Sacramento Kings,114,,97,15
"Fri, Dec 26, 2003",,L,8:00p,L 4,14,New York Knicks,98,,94,15
"Sat, Dec 27, 2003",@,L,8:30p,L 5,15,Dallas Mavericks,104,,98,15
"Mon, Dec 29, 2003",@,L,7:00p,L 6,16,Indiana Pacers,94,,86,15
"Tue, Dec 30, 2003",,L,8:00p,L 7,17,Seattle SuperSonics,105,,99,15
"Fri, Jan 2, 2004",,W,8:00p,W 1,17,Utah Jazz,88,,100,16
"Sat, Jan 3, 2004",,W,8:00p,W 2,17,Orlando Magic,103,,112,17
