date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Wed, Nov 3, 2004",@,W,7:00p,W 1,0,Cleveland Cavaliers,104,2OT,109,1
"Fri, Nov 5, 2004",@,W,7:30p,W 2,0,Boston Celtics,94,,100,2
"Sat, Nov 6, 2004",,W,8:00p,W 3,0,Chicago Bulls,90,,100,3
"Tue, Nov 9, 2004",@,W,8:00p,W 4,0,Minnesota Timberwolves,101,,102,4
"Wed, Nov 10, 2004",,L,7:00p,L 1,1,Los Angeles Clippers,102,,68,4
"Fri, Nov 12, 2004",@,L,7:00p,L 2,2,Philadelphia 76ers,106,OT,104,4
"Sat, Nov 13, 2004",,W,8:00p,W 1,2,New York Knicks,97,,103,5
"Wed, Nov 17, 2004",,W,7:00p,W 2,2,Atlanta Hawks,86,,93,6
"Fri, Nov 19, 2004",@,W,8:00p,W 3,2,Detroit Pistons,82,,97,7
"Sat, Nov 20, 2004",,L,8:00p,L 1,3,Orlando Magic,86,,83,7
"Tue, Nov 23, 2004",,W,7:00p,W 1,3,Boston Celtics,96,,106,8
"Thu, Nov 25, 2004",,W,8:00p,W 2,3,Minnesota Timberwolves,102,,106,9
"Fri, Nov 26, 2004",,W,8:00p,W 3,3,Charlotte Bobcats,77,,82,10
"Sun, Nov 28, 2004",@,L,9:00p,L 1,4,Seattle SuperSonics,103,,95,10
"Wed, Dec 1, 2004",@,L,10:30p,L 2,5,Los Angeles Clippers,88,,76,10
"Fri, Dec 3, 2004",@,L,10:30p,L 3,6,Sacramento Kings,113,,87,10
"Sat, Dec 4, 2004",@,L,10:30p,L 4,7,Golden State Warriors,104,,96,10
"Tue, Dec 7, 2004",,L,7:00p,L 5,8,Milwaukee Bucks,89,,86,10
"Fri, Dec 10, 2004",@,L,8:30p,L 6,9,Milwaukee Bucks,95,,86,10
"Sat, Dec 11, 2004",,L,8:00p,L 7,10,Sacramento Kings,97,OT,92,10
"Tue, Dec 14, 2004",@,W,7:30p,W 1,10,Atlanta Hawks,97,OT,108,11
"Fri, Dec 17, 2004",,W,7:00p,W 2,10,Toronto Raptors,86,,89,12
"Sat, Dec 18, 2004",@,L,8:30p,L 1,11,Chicago Bulls,85,,71,12
"Wed, Dec 22, 2004",,L,7:00p,L 2,12,Philadelphia 76ers,102,,90,12
"Sat, Dec 25, 2004",,L,12:30p,L 3,13,Detroit Pistons,98,,93,12
"Mon, Dec 27, 2004",,W,7:00p,W 1,13,New Orleans Hornets,82,,100,13
"Wed, Dec 29, 2004",@,W,7:00p,W 2,13,Charlotte Bobcats,71,,74,14
"Thu, Dec 30, 2004",@,W,7:30p,W 3,13,New Jersey Nets,83,,96,15
"Tue, Jan 4, 2005",,W,7:00p,W 4,13,Milwaukee Bucks,99,,116,16
"Thu, Jan 6, 2005",@,L,9:30p,L 1,14,San Antonio Spurs,111,,98,16
"Sat, Jan 8, 2005",@,L,8:30p,L 2,15,Dallas Mavericks,121,,101,16
"Sun, Jan 9, 2005",@,L,8:00p,L 3,16,Phoenix Suns,124,,89,16
"Tue, Jan 11, 2005",@,W,8:00p,W 1,16,Memphis Grizzlies,85,,86,17
