date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Wed, Nov 2, 2005",@,W,10:00p,W 1,0,Seattle SuperSonics,93,,101,1
"Fri, Nov 4, 2005",,W,10:30p,W 2,0,Atlanta Hawks,77,,92,2
"Sat, Nov 5, 2005",,W,10:30p,W 3,0,Minnesota Timberwolves,99,OT,100,3
"Mon, Nov 7, 2005",@,L,8:00p,L 1,1,Minnesota Timberwolves,93,,78,3
"Wed, Nov 9, 2005",@,W,7:00p,W 1,1,Washington Wizards,97,,102,4
"Thu, Nov 10, 2005",@,W,7:00p,W 2,1,Atlanta Hawks,95,,102,5
"Sun, Nov 13, 2005",@,L,6:00p,L 1,2,Philadelphia 76ers,113,,108,5
"Tue, Nov 15, 2005",,W,10:30p,W 1,2,Milwaukee Bucks,85,,109,6
"Fri, Nov 18, 2005",@,W,10:30p,W 2,2,Los Angeles Lakers,91,,97,7
"Sun, Nov 20, 2005",,W,3:30p,W 3,2,Golden State Warriors,101,,113,8
"Wed, Nov 23, 2005",,W,10:30p,W 4,2,Toronto Raptors,100,,103,9
"Fri, Nov 25, 2005",@,L,9:00p,L 1,3,Denver Nuggets,105,,95,9
"Sun, Nov 27, 2005",,L,3:30p,L 2,4,Indiana Pacers,97,,92,9
"Tue, Nov 29, 2005",@,W,8:00p,W 1,4,Minnesota Timberwolves,84,,93,10
"Wed, Nov 30, 2005",@,L,7:00p,L 1,5,Cleveland Cavaliers,112,OT,105,10
"Sat, Dec 3, 2005",,W,10:30p,W 1,5,Cleveland Cavaliers,90,,102,11
"Mon, Dec 5, 2005",,W,10:30p,W 2,5,Miami Heat,89,,99,12
"Wed, Dec 7, 2005",,W,10:30p,W 3,5,New York Knicks,79,,84,13
"Sat, Dec 10, 2005",,W,10:30p,W 4,5,Phoenix Suns,91,,101,14
"Sun, Dec 11, 2005",,L,9:00p,L 1,6,Detroit Pistons,109,,101,14
"Tue, Dec 13, 2005",@,L,8:30p,L 2,7,San Antonio Spurs,95,OT,87,14
"Wed, Dec 14, 2005",@,L,8:00p,L 3,8,New Orleans/Oklahoma City Hornets,102,,89,14
"Sat, Dec 17, 2005",,W,3:30p,W 1,8,Houston Rockets,81,,89,15
"Tue, Dec 20, 2005",@,L,7:30p,L 1,9,New Jersey Nets,99,,85,15
"Wed, Dec 21, 2005",@,L,7:00p,L 2,10,Indiana Pacers,97,,75,15
"Fri, Dec 23, 2005",@,W,7:30p,W 1,10,Charlotte Bobcats,88,,97,16
"Tue, Dec 27, 2005",,L,10:30p,L 1,11,Sacramento Kings,110,,93,16
"Sat, Dec 31, 2005",,L,9:30p,L 2,12,Boston Celtics,111,,92,16
"Sun, Jan 1, 2006",@,W,9:00p,W 1,12,Portland Trail Blazers,94,,100,17
"Fri, Jan 6, 2006",@,L,10:00p,L 1,13,Sacramento Kings,118,,114,17
"Sat, Jan 7, 2006",,L,10:30p,L 2,14,Los Angeles Lakers,112,,109,17
"Tue, Jan 10, 2006",,W,10:30p,W 1,14,Orlando Magic,73,,90,18
"Sat, Jan 14, 2006",,W,10:30p,W 2,14,Seattle SuperSonics,72,,98,19
"Mon, Jan 16, 2006",,W,3:30p,W 3,14,Utah Jazz,93,OT,102,20
"Wed, Jan 18, 2006",,L,10:30p,L 1,15,Phoenix Suns,112,,102,20
"Fri, Jan 20, 2006",,L,10:30p,L 2,16,Dallas Mavericks,101,,81,20
"Sun, Jan 22, 2006",,W,3:30p,W 1,16,Golden State Warriors,92,,105,21
"Mon, Jan 23, 2006",@,W,10:30p,W 2,16,Golden State Warriors,93,,96,22
"Wed, Jan 25, 2006",,W,10:30p,W 3,16,New Jersey Nets,77,,90,23
"Fri, Jan 27, 2006",@,W,9:30p,W 4,16,Denver Nuggets,87,,105,24
"Sat, Jan 28, 2006",,W,10:30p,W 5,16,Denver Nuggets,79,,112,25
"Mon, Jan 30, 2006",@,L,7:30p,L 1,17,Miami Heat,118,,114,25
"Wed, Feb 1, 2006",@,W,7:00p,W 1,17,Orlando Magic,94,,106,26
"Fri, Feb 3, 2006",@,W,7:30p,W 2,17,Boston Celtics,81,,98,27
"Sun, Feb 5, 2006",@,W,1:00p,W 3,17,Toronto Raptors,113,OT,115,28
"Tue, Feb 7, 2006",@,W,7:30p,W 4,17,New York Knicks,82,,85,29
"Wed, Feb 8, 2006",@,L,7:30p,L 1,18,Detroit Pistons,97,,87,29
"Fri, Feb 10, 2006",,W,10:30p,W 1,18,Memphis Grizzlies,87,,91,30
"Sun, Feb 12, 2006",,L,10:30p,L 1,19,Chicago Bulls,97,,91,30
"Tue, Feb 14, 2006",,L,10:30p,L 2,20,Houston Rockets,128,,97,30
"Wed, Feb 15, 2006",@,L,10:30p,L 3,21,Golden State Warriors,88,,81,30
"Tue, Feb 21, 2006",@,L,8:30p,L 4,22,Dallas Mavericks,93,,91,30
"Wed, Feb 22, 2006",@,L,8:30p,L 5,23,Houston Rockets,106,,102,30
"Fri, Feb 24, 2006",,W,10:30p,W 1,23,Los Angeles Lakers,83,,102,31
"Mon, Feb 27, 2006",,W,10:30p,W 2,23,Charlotte Bobcats,87,,95,32
"Wed, Mar 1, 2006",,W,10:30p,W 3,23,New Orleans/Oklahoma City Hornets,67,,89,33
"Fri, Mar 3, 2006",@,L,10:00p,L 1,24,Utah Jazz,105,,103,33
"Sun, Mar 5, 2006",,L,9:00p,L 2,25,Memphis Grizzlies,102,,86,33
"Tue, Mar 7, 2006",,W,10:30p,W 1,25,San Antonio Spurs,85,,98,34
"Fri, Mar 10, 2006",@,W,8:30p,W 2,25,Chicago Bulls,96,,107,35
"Sat, Mar 11, 2006",@,W,8:30p,W 3,25,Milwaukee Bucks,98,,106,36
"Mon, Mar 13, 2006",,W,10:30p,W 4,25,Minnesota Timberwolves,87,,95,37
"Wed, Mar 15, 2006",@,L,9:00p,L 1,26,Phoenix Suns,126,,95,37
"Fri, Mar 17, 2006",,W,10:30p,W 1,26,Philadelphia 76ers,89,,99,38
"Mon, Mar 20, 2006",@,W,8:30p,W 2,26,Houston Rockets,91,,99,39
"Tue, Mar 21, 2006",@,L,8:00p,L 1,27,New Orleans/Oklahoma City Hornets,120,,108,39
"Thu, Mar 23, 2006",@,L,8:00p,L 2,28,Memphis Grizzlies,95,,85,39
"Sat, Mar 25, 2006",,W,3:30p,W 1,28,Washington Wizards,101,,116,40
"Sun, Mar 26, 2006",@,W,9:00p,W 2,28,Portland Trail Blazers,83,,97,41
"Tue, Mar 28, 2006",,L,10:30p,L 1,29,San Antonio Spurs,98,,87,41
"Fri, Mar 31, 2006",,W,10:30p,W 1,29,Utah Jazz,91,,106,42
"Sun, Apr 2, 2006",@,L,9:00p,L 1,30,Sacramento Kings,106,,96,42
"Tue, Apr 4, 2006",,W,10:30p,W 1,30,Denver Nuggets,109,,111,43
"Wed, Apr 5, 2006",@,W,10:00p,W 2,30,Phoenix Suns,105,,119,44
"Fri, Apr 7, 2006",,L,10:30p,L 1,31,Sacramento Kings,96,,93,44
"Sun, Apr 9, 2006",@,L,9:30p,L 2,32,Los Angeles Lakers,100,,83,44
"Mon, Apr 10, 2006",,L,10:30p,L 3,33,Dallas Mavericks,75,,73,44
"Wed, Apr 12, 2006",,W,10:30p,W 1,33,Portland Trail Blazers,93,,97,45
"Fri, Apr 14, 2006",@,W,10:30p,W 2,33,Seattle SuperSonics,97,,101,46
"Sun, Apr 16, 2006",,L,9:00p,L 1,34,Seattle SuperSonics,114,,98,46
"Tue, Apr 18, 2006",@,L,8:00p,L 2,35,Memphis Grizzlies,101,,95,46
"Wed, Apr 19, 2006",@,W,8:00p,W 1,35,Dallas Mavericks,71,,85,47
