date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Wed, Nov 1, 2006",@,L,7:00p,L 1,1,Philadelphia 76ers,88,,75,0
"Fri, Nov 3, 2006",,W,7:30p,W 1,1,New York Knicks,92,,102,1
"Sun, Nov 5, 2006",,W,2:00p,W 2,1,Orlando Magic,82,,95,2
"Tue, Nov 7, 2006",@,W,7:00p,W 3,1,Cleveland Cavaliers,95,OT,104,3
"Fri, Nov 10, 2006",@,W,7:00p,W 4,1,Toronto Raptors,102,,111,4
"Sat, Nov 11, 2006",,L,7:00p,L 1,2,Seattle SuperSonics,113,OT,112,4
"Tue, Nov 14, 2006",,L,7:00p,L 2,3,Milwaukee Bucks,103,,101,4
"Sat, Nov 18, 2006",,L,7:00p,L 3,4,Miami Heat,93,OT,88,4
"Wed, Nov 22, 2006",@,L,7:30p,L 4,5,Detroit Pistons,103,,98,4
"Fri, Nov 24, 2006",,W,7:30p,W 1,5,Toronto Raptors,93,,97,5
"Sat, Nov 25, 2006",@,L,7:00p,L 1,6,Orlando Magic,98,,79,5
"Tue, Nov 28, 2006",@,L,7:00p,L 2,7,Washington Wizards,96,,95,5
"Wed, Nov 29, 2006",,W,7:00p,W 1,7,Charlotte Bobcats,90,,99,6
"Fri, Dec 1, 2006",,L,7:30p,L 1,8,Cleveland Cavaliers,106,,95,6
"Sun, Dec 3, 2006",@,W,9:00p,W 1,8,Portland Trail Blazers,96,,107,7
"Tue, Dec 5, 2006",@,L,10:00p,L 1,9,Seattle SuperSonics,102,,87,7
"Wed, Dec 6, 2006",@,W,9:00p,W 1,9,Denver Nuggets,96,,98,8
"Fri, Dec 8, 2006",@,L,10:30p,L 1,10,Los Angeles Lakers,106,,95,8
"Sun, Dec 10, 2006",@,L,9:00p,L 2,11,Sacramento Kings,117,,92,8
"Tue, Dec 12, 2006",,L,7:00p,L 3,12,Denver Nuggets,100,,87,8
"Wed, Dec 13, 2006",@,L,7:30p,L 4,13,New York Knicks,94,,82,8
"Fri, Dec 15, 2006",@,W,8:00p,W 1,13,Memphis Grizzlies,88,,97,9
"Sat, Dec 16, 2006",,L,7:00p,L 1,14,Chicago Bulls,106,OT,104,9
"Wed, Dec 20, 2006",,L,7:00p,L 2,15,Utah Jazz,112,,106,9
"Fri, Dec 22, 2006",,L,7:30p,L 3,16,Indiana Pacers,100,,90,9
"Sat, Dec 23, 2006",@,L,7:30p,L 4,17,Detroit Pistons,108,,81,9
"Wed, Dec 27, 2006",,L,7:00p,L 5,18,Cleveland Cavaliers,89,,76,9
"Fri, Dec 29, 2006",@,L,8:30p,L 6,19,Houston Rockets,94,,68,9
"Sun, Dec 31, 2006",@,L,3:30p,L 7,20,San Antonio Spurs,95,,81,9
"Fri, Jan 5, 2007",@,L,7:00p,L 8,21,Toronto Raptors,105,,92,9
"Sat, Jan 6, 2007",,W,7:00p,W 1,21,Los Angeles Clippers,74,,86,10
"Tue, Jan 9, 2007",@,L,7:00p,L 1,22,Indiana Pacers,91,,72,10
"Wed, Jan 10, 2007",,L,7:00p,L 2,23,New Orleans/Oklahoma City Hornets,96,,77,10
"Fri, Jan 12, 2007",,W,7:30p,W 1,23,Detroit Pistons,93,,99,11
"Mon, Jan 15, 2007",,W,2:00p,W 2,23,Boston Celtics,96,,100,12
"Wed, Jan 17, 2007",@,W,8:00p,W 3,23,Minnesota Timberwolves,88,,105,13
"Fri, Jan 19, 2007",,L,7:30p,L 1,24,Charlotte Bobcats,96,,75,13
"Sat, Jan 20, 2007",@,L,7:00p,L 2,25,Charlotte Bobcats,104,,85,13
"Tue, Jan 23, 2007",@,L,8:30p,L 3,26,Chicago Bulls,94,,86,13
"Wed, Jan 24, 2007",@,W,7:30p,W 1,26,Boston Celtics,76,,82,14
"Fri, Jan 26, 2007",@,W,7:00p,W 2,26,Orlando Magic,90,,93,15
"Sat, Jan 27, 2007",,L,7:00p,L 1,27,Philadelphia 76ers,104,,89,15
"Mon, Jan 29, 2007",,W,7:00p,W 1,27,Orlando Magic,83,,93,16
"Wed, Jan 31, 2007",,W,7:00p,W 2,27,Golden State Warriors,94,,115,17
"Fri, Feb 2, 2007",,L,7:30p,L 1,28,Toronto Raptors,103,,91,17
"Sun, Feb 4, 2007",@,W,12:00p,W 1,28,New Jersey Nets,99,OT,101,18
"Mon, Feb 5, 2007",,L,7:00p,L 1,29,Los Angeles Lakers,90,,83,18
"Wed, Feb 7, 2007",,L,7:00p,L 2,30,New Jersey Nets,87,,85,18
"Fri, Feb 9, 2007",@,W,9:00p,W 1,30,Phoenix Suns,111,,120,19
"Sun, Feb 11, 2007",@,W,9:00p,W 2,30,Golden State Warriors,105,,106,20
"Mon, Feb 12, 2007",@,L,9:00p,L 1,31,Utah Jazz,102,,76,20
"Wed, Feb 14, 2007",@,W,10:30p,W 1,31,Los Angeles Clippers,93,,96,21
"Tue, Feb 20, 2007",@,L,8:30p,L 1,32,Chicago Bulls,106,,81,21
"Wed, Feb 21, 2007",,L,7:00p,L 2,33,San Antonio Spurs,103,,96,21
"Fri, Feb 23, 2007",,W,7:30p,W 1,33,Houston Rockets,99,,105,22
"Sun, Feb 25, 2007",,L,6:00p,L 1,34,Phoenix Suns,115,,106,22
"Mon, Feb 26, 2007",@,L,8:30p,L 2,35,Dallas Mavericks,110,,87,22
"Wed, Feb 28, 2007",@,L,8:00p,L 3,36,New Orleans/Oklahoma City Hornets,107,,100,22
"Fri, Mar 2, 2007",@,L,7:00p,L 4,37,Washington Wizards,93,,92,22
"Sat, Mar 3, 2007",,L,7:00p,L 5,38,New York Knicks,104,OT,100,22
"Mon, Mar 5, 2007",@,L,7:30p,L 6,39,Miami Heat,88,,81,22
"Wed, Mar 7, 2007",,W,7:00p,W 1,39,Washington Wizards,97,,100,23
"Fri, Mar 9, 2007",,W,7:30p,W 2,39,Memphis Grizzlies,105,,106,24
"Sat, Mar 10, 2007",,W,7:00p,W 3,39,Minnesota Timberwolves,93,,99,25
"Tue, Mar 13, 2007",,W,7:00p,W 4,39,Philadelphia 76ers,92,,104,26
"Wed, Mar 14, 2007",@,L,7:30p,L 1,40,Boston Celtics,109,,88,26
"Sat, Mar 17, 2007",@,L,7:00p,L 2,41,Indiana Pacers,113,,90,26
"Mon, Mar 19, 2007",,W,7:00p,W 1,41,Sacramento Kings,76,,99,27
"Wed, Mar 21, 2007",,L,7:00p,L 1,42,Miami Heat,91,,83,27
"Fri, Mar 23, 2007",,L,7:30p,L 2,43,Portland Trail Blazers,102,OT,100,27
"Sun, Mar 25, 2007",,L,1:00p,L 3,44,Dallas Mavericks,104,,97,27
"Mon, Mar 26, 2007",@,L,7:30p,L 4,45,Miami Heat,106,,89,27
"Wed, Mar 28, 2007",@,L,7:00p,L 5,46,Charlotte Bobcats,101,,87,27
"Sun, Apr 1, 2007",,L,2:00p,L 6,47,Chicago Bulls,105,,97,27
"Wed, Apr 4, 2007",@,L,7:30p,L 7,48,New Jersey Nets,101,,86,27
"Fri, Apr 6, 2007",,W,7:30p,W 1,48,Milwaukee Bucks,102,,115,28
"Sun, Apr 8, 2007",@,L,7:30p,L 1,49,Philadelphia 76ers,109,OT,104,28
"Tue, Apr 10, 2007",,W,7:00p,W 1,49,Boston Celtics,96,,104,29
"Fri, Apr 13, 2007",,L,7:30p,L 1,50,Washington Wizards,98,,85,29
"Sat, Apr 14, 2007",@,L,7:30p,L 2,51,Cleveland Cavaliers,110,,76,29
"Mon, Apr 16, 2007",@,L,8:00p,L 3,52,Milwaukee Bucks,102,,96,29
"Tue, Apr 17, 2007",,W,7:00p,W 1,52,Indiana Pacers,102,,118,30
