date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Wed, Nov 1, 2006",,W,8:00p,W 1,0,Washington Wizards,94,,97,1
"Fri, Nov 3, 2006",@,W,8:00p,W 2,0,San Antonio Spurs,81,,88,2
"Sat, Nov 4, 2006",@,L,7:00p,L 1,1,Charlotte Bobcats,92,,88,2
"Tue, Nov 7, 2006",,L,7:00p,L 2,2,Atlanta Hawks,104,OT,95,2
"Thu, Nov 9, 2006",,W,8:00p,W 1,2,Chicago Bulls,94,,113,3
"Sat, Nov 11, 2006",,W,7:30p,W 2,2,Boston Celtics,93,,94,4
"Mon, Nov 13, 2006",@,W,7:30p,W 3,2,New York Knicks,96,,102,5
"Wed, Nov 15, 2006",,W,7:00p,W 4,2,Portland Trail Blazers,87,,100,6
"Fri, Nov 17, 2006",,W,7:30p,W 5,2,Minnesota Timberwolves,76,,92,7
"Sat, Nov 18, 2006",@,L,7:00p,L 1,3,Washington Wizards,111,,99,7
"Tue, Nov 21, 2006",,W,7:00p,W 1,3,Memphis Grizzlies,94,,97,8
"Wed, Nov 22, 2006",@,L,7:00p,L 1,4,Toronto Raptors,95,,87,8
"Fri, Nov 24, 2006",@,L,8:00p,L 2,5,Indiana Pacers,97,,87,8
"Sat, Nov 25, 2006",,W,7:30p,W 1,5,Philadelphia 76ers,95,,108,9
"Wed, Nov 29, 2006",,L,7:00p,L 1,6,New York Knicks,101,,98,9
"Fri, Dec 1, 2006",@,W,7:30p,W 1,6,Atlanta Hawks,95,,106,10
"Sat, Dec 2, 2006",@,L,8:30p,L 1,7,Houston Rockets,81,,63,10
"Wed, Dec 6, 2006",,W,7:00p,W 1,7,Toronto Raptors,91,,95,11
"Sat, Dec 9, 2006",,W,7:30p,W 2,7,Indiana Pacers,75,,107,12
"Mon, Dec 11, 2006",@,L,8:00p,L 1,8,New Orleans/Oklahoma City Hornets,95,,89,12
"Wed, Dec 13, 2006",,W,7:00p,W 1,8,Charlotte Bobcats,101,,104,13
"Fri, Dec 15, 2006",,W,7:30p,W 2,8,Seattle SuperSonics,84,,106,14
"Sat, Dec 16, 2006",@,L,7:00p,L 1,9,Orlando Magic,81,,74,14
"Wed, Dec 20, 2006",@,L,8:00p,L 2,10,New Jersey Nets,113,,111,14
"Thu, Dec 21, 2006",,L,8:00p,L 3,11,Detroit Pistons,87,,71,14
"Sat, Dec 23, 2006",,W,7:30p,W 1,11,Orlando Magic,83,,86,15
"Wed, Dec 27, 2006",@,W,7:00p,W 2,11,Atlanta Hawks,76,,89,16
"Fri, Dec 29, 2006",,W,7:30p,W 3,11,Milwaukee Bucks,99,,109,17
"Sat, Dec 30, 2006",@,L,8:30p,L 1,12,Chicago Bulls,103,,96,17
"Tue, Jan 2, 2007",,W,7:00p,W 1,12,San Antonio Spurs,78,,82,18
"Wed, Jan 3, 2007",@,W,7:30p,W 2,12,Boston Celtics,104,,107,19
"Fri, Jan 5, 2007",@,W,8:30p,W 3,12,Milwaukee Bucks,86,,95,20
"Sat, Jan 6, 2007",,W,7:30p,W 4,12,New Jersey Nets,91,,96,21
"Tue, Jan 9, 2007",@,W,10:00p,W 5,12,Sacramento Kings,98,,108,22
"Thu, Jan 11, 2007",@,L,10:30p,L 1,13,Phoenix Suns,109,,90,22
"Sat, Jan 13, 2007",@,W,10:30p,W 1,13,Los Angeles Clippers,92,,104,23
"Tue, Jan 16, 2007",@,L,10:00p,L 1,14,Seattle SuperSonics,101,,96,23
"Wed, Jan 17, 2007",@,L,10:00p,L 2,15,Portland Trail Blazers,94,,76,23
"Fri, Jan 19, 2007",@,L,10:30p,L 3,16,Denver Nuggets,110,,99,23
"Sat, Jan 20, 2007",@,W,10:30p,W 1,16,Golden State Warriors,104,OT,106,24
"Mon, Jan 22, 2007",,L,7:00p,L 1,17,Orlando Magic,90,,79,24
"Wed, Jan 24, 2007",,L,7:00p,L 2,18,Philadelphia 76ers,118,2OT,115,24
"Fri, Jan 26, 2007",@,W,7:00p,W 1,18,Philadelphia 76ers,97,,105,25
"Sun, Jan 28, 2007",,L,1:00p,L 1,19,Phoenix Suns,115,,100,25
"Tue, Jan 30, 2007",,W,7:00p,W 1,19,Golden State Warriors,97,,124,26
"Thu, Feb 1, 2007",@,L,8:00p,L 1,20,Miami Heat,92,,89,26
"Fri, Feb 2, 2007",,W,7:30p,W 1,20,Charlotte Bobcats,81,,101,27
"Sun, Feb 4, 2007",,L,2:30p,L 1,21,Detroit Pistons,90,,78,27
"Wed, Feb 7, 2007",,W,7:00p,W 1,21,Los Angeles Clippers,77,,94,28
"Fri, Feb 9, 2007",,W,8:00p,W 2,21,Miami Heat,79,,103,29
"Sun, Feb 11, 2007",,W,3:30p,W 3,21,Los Angeles Lakers,90,,99,30
"Wed, Feb 14, 2007",@,L,9:00p,L 1,22,Utah Jazz,99,,98,30
"Thu, Feb 15, 2007",@,W,10:30p,W 1,22,Los Angeles Lakers,108,,114,31
"Wed, Feb 21, 2007",@,W,7:00p,W 2,22,Toronto Raptors,85,,86,32
"Thu, Feb 22, 2007",,L,7:00p,L 1,23,Chicago Bulls,84,,78,32
"Sun, Feb 25, 2007",@,L,3:30p,L 2,24,Miami Heat,86,,81,32
"Tue, Feb 27, 2007",,W,7:00p,W 1,24,New Orleans/Oklahoma City Hornets,89,,97,33
"Thu, Mar 1, 2007",@,L,8:00p,L 1,25,Dallas Mavericks,95,,92,33
"Sat, Mar 3, 2007",,W,7:30p,W 1,25,Toronto Raptors,97,,120,34
"Mon, Mar 5, 2007",,W,7:00p,W 2,25,Houston Rockets,85,,91,35
"Wed, Mar 7, 2007",@,W,7:30p,W 3,25,Detroit Pistons,97,OT,101,36
"Sat, Mar 10, 2007",@,W,8:30p,W 4,25,Milwaukee Bucks,92,,94,37
"Sun, Mar 11, 2007",,W,6:00p,W 5,25,Indiana Pacers,88,,99,38
"Tue, Mar 13, 2007",,W,7:00p,W 6,25,Sacramento Kings,100,,124,39
"Wed, Mar 14, 2007",@,W,8:00p,W 7,25,Memphis Grizzlies,96,,118,40
"Sat, Mar 17, 2007",,W,7:30p,W 8,25,Utah Jazz,73,,82,41
"Tue, Mar 20, 2007",@,L,7:00p,L 1,26,Charlotte Bobcats,108,OT,100,41
"Wed, Mar 21, 2007",,L,8:00p,L 2,27,Dallas Mavericks,98,,90,41
"Fri, Mar 23, 2007",,W,7:30p,W 1,27,New York Knicks,68,,90,42
"Sun, Mar 25, 2007",,L,8:00p,L 1,28,Denver Nuggets,105,,93,42
"Tue, Mar 27, 2007",@,W,7:00p,W 1,28,Indiana Pacers,94,,105,43
"Wed, Mar 28, 2007",@,L,7:30p,L 1,29,New York Knicks,97,,93,43
"Sat, Mar 31, 2007",@,W,3:00p,W 1,29,Chicago Bulls,108,OT,112,44
"Sun, Apr 1, 2007",@,L,6:00p,L 1,30,Boston Celtics,98,,96,44
"Tue, Apr 3, 2007",@,W,8:00p,W 1,30,Minnesota Timberwolves,88,,101,45
"Thu, Apr 5, 2007",,L,7:00p,L 1,31,Miami Heat,94,OT,90,45
"Fri, Apr 6, 2007",@,W,8:00p,W 1,31,Washington Wizards,94,,99,46
"Sun, Apr 8, 2007",@,L,1:00p,L 1,32,Detroit Pistons,87,,82,46
"Thu, Apr 12, 2007",,W,8:00p,W 1,32,New Jersey Nets,76,,94,47
"Sat, Apr 14, 2007",,W,7:30p,W 2,32,Atlanta Hawks,76,,110,48
"Tue, Apr 17, 2007",@,W,7:00p,W 3,32,Philadelphia 76ers,92,,98,49
"Wed, Apr 18, 2007",,W,7:00p,W 4,32,Milwaukee Bucks,96,,109,50
