date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Wed, Nov 1, 2006",@,L,7:30p,L 1,1,New Jersey Nets,102,,92,0
"Fri, Nov 3, 2006",,W,7:00p,W 1,1,Milwaukee Bucks,92,,109,1
"Sun, Nov 5, 2006",,L,1:00p,L 1,2,San Antonio Spurs,103,,94,1
"Wed, Nov 8, 2006",,W,7:00p,W 1,2,Philadelphia 76ers,104,,106,2
"Fri, Nov 10, 2006",,L,7:00p,L 1,3,Atlanta Hawks,111,,102,2
"Sun, Nov 12, 2006",@,L,9:00p,L 2,4,Sacramento Kings,107,,92,2
"Tue, Nov 14, 2006",@,L,10:30p,L 3,5,Golden State Warriors,110,,99,2
"Fri, Nov 17, 2006",@,L,10:30p,L 4,6,Los Angeles Lakers,107,,100,2
"Sat, Nov 18, 2006",@,L,9:00p,L 5,7,Denver Nuggets,117,,109,2
"Mon, Nov 20, 2006",@,L,9:00p,L 6,8,Utah Jazz,101,,96,2
"Wed, Nov 22, 2006",,W,7:00p,W 1,8,Cleveland Cavaliers,87,,95,3
"Fri, Nov 24, 2006",@,L,7:30p,L 1,9,Atlanta Hawks,97,,93,3
"Sun, Nov 26, 2006",,W,1:00p,W 1,9,Indiana Pacers,83,,92,4
"Tue, Nov 28, 2006",@,W,8:00p,W 2,9,New Orleans/Oklahoma City Hornets,77,,94,5
"Wed, Nov 29, 2006",@,L,8:30p,L 1,10,Dallas Mavericks,117,,98,5
"Fri, Dec 1, 2006",,W,7:00p,W 1,10,Boston Celtics,102,,106,6
"Sat, Dec 2, 2006",@,W,8:00p,W 2,10,New York Knicks,100,,103,7
"Wed, Dec 6, 2006",@,L,7:00p,L 1,11,Cleveland Cavaliers,95,,91,7
"Fri, Dec 8, 2006",@,L,8:30p,L 2,12,Chicago Bulls,93,,90,7
"Sun, Dec 10, 2006",,L,1:00p,L 3,13,Portland Trail Blazers,93,,83,7
"Mon, Dec 11, 2006",@,L,7:30p,L 4,14,Miami Heat,99,,77,7
"Wed, Dec 13, 2006",@,W,7:00p,W 1,14,Orlando Magic,84,,91,8
"Fri, Dec 15, 2006",,W,7:00p,W 2,14,New Jersey Nets,78,,90,9
"Sun, Dec 17, 2006",,W,1:00p,W 3,14,Golden State Warriors,115,,120,10
"Tue, Dec 19, 2006",@,L,9:00p,L 1,15,Phoenix Suns,115,,98,10
"Wed, Dec 20, 2006",@,W,10:30p,W 1,15,Los Angeles Clippers,96,,98,11
"Fri, Dec 22, 2006",@,W,10:00p,W 2,15,Portland Trail Blazers,100,OT,101,12
"Sat, Dec 23, 2006",@,L,10:00p,L 1,16,Seattle SuperSonics,110,,97,12
"Wed, Dec 27, 2006",,W,7:00p,W 1,16,Minnesota Timberwolves,97,,100,13
"Fri, Dec 29, 2006",,L,7:00p,L 1,17,Chicago Bulls,107,,97,13
"Sat, Dec 30, 2006",@,L,8:00p,L 2,18,Memphis Grizzlies,110,,104,13
"Wed, Jan 3, 2007",,L,7:00p,L 3,19,Phoenix Suns,100,,98,13
"Fri, Jan 5, 2007",,W,7:00p,W 1,19,Atlanta Hawks,92,,105,14
"Sun, Jan 7, 2007",,W,1:00p,W 2,19,Washington Wizards,111,,116,15
"Tue, Jan 9, 2007",@,L,7:30p,L 1,20,New Jersey Nets,101,,86,15
"Wed, Jan 10, 2007",@,W,8:00p,W 1,20,Milwaukee Bucks,77,,90,16
"Fri, Jan 12, 2007",@,W,7:30p,W 2,20,Boston Celtics,86,,95,17
"Sun, Jan 14, 2007",,L,1:00p,L 1,21,Dallas Mavericks,97,,96,17
"Mon, Jan 15, 2007",@,W,2:00p,W 1,21,Philadelphia 76ers,86,,104,18
"Wed, Jan 17, 2007",,W,7:00p,W 2,21,Sacramento Kings,85,,101,19
"Fri, Jan 19, 2007",,L,7:00p,L 1,22,Utah Jazz,102,,94,19
"Mon, Jan 22, 2007",,W,7:00p,W 1,22,Charlotte Bobcats,84,,105,20
"Wed, Jan 24, 2007",,W,7:00p,W 2,22,New Orleans/Oklahoma City Hornets,88,,90,21
"Fri, Jan 26, 2007",,W,7:00p,W 3,22,Boston Celtics,90,,96,22
"Sat, Jan 27, 2007",@,L,7:00p,L 1,23,Indiana Pacers,102,,84,22
"Wed, Jan 31, 2007",,W,7:00p,W 1,23,Washington Wizards,109,,119,23
"Fri, Feb 2, 2007",@,W,7:30p,W 2,23,Atlanta Hawks,91,,103,24
"Sun, Feb 4, 2007",,W,12:00p,W 3,23,Los Angeles Clippers,110,,122,25
"Wed, Feb 7, 2007",,W,7:00p,W 4,23,Orlando Magic,103,,113,26
"Fri, Feb 9, 2007",,W,7:00p,W 5,23,Los Angeles Lakers,92,,96,27
"Sat, Feb 10, 2007",@,L,7:30p,L 1,24,Detroit Pistons,98,,92,27
"Tue, Feb 13, 2007",@,W,8:30p,W 1,24,Chicago Bulls,111,,112,28
"Wed, Feb 14, 2007",,W,7:00p,W 2,24,New Jersey Nets,109,,120,29
"Wed, Feb 21, 2007",,L,7:00p,L 1,25,Cleveland Cavaliers,86,,85,29
"Fri, Feb 23, 2007",,W,7:00p,W 1,25,Indiana Pacers,88,,110,30
"Sat, Feb 24, 2007",@,W,7:00p,W 2,25,Charlotte Bobcats,76,,93,31
"Mon, Feb 26, 2007",@,L,8:00p,L 1,26,San Antonio Spurs,107,,91,31
"Wed, Feb 28, 2007",@,W,8:30p,W 1,26,Houston Rockets,90,,106,32
"Fri, Mar 2, 2007",,L,7:00p,L 1,27,Milwaukee Bucks,94,,81,32
"Sat, Mar 3, 2007",@,L,7:30p,L 2,28,Cleveland Cavaliers,120,,97,32
"Tue, Mar 6, 2007",@,L,7:00p,L 3,29,Washington Wizards,129,,109,32
"Wed, Mar 7, 2007",,W,7:00p,W 1,29,Memphis Grizzlies,87,,94,33
"Sun, Mar 11, 2007",,W,1:00p,W 2,29,Seattle SuperSonics,119,OT,120,34
"Mon, Mar 12, 2007",@,W,8:00p,W 3,29,Milwaukee Bucks,93,,108,35
"Wed, Mar 14, 2007",,W,7:00p,W 4,29,New York Knicks,94,,104,36
"Fri, Mar 16, 2007",,L,7:00p,L 1,30,Houston Rockets,114,,100,36
"Sun, Mar 18, 2007",@,L,12:00p,L 2,31,New York Knicks,92,,74,36
"Wed, Mar 21, 2007",,W,7:00p,W 1,31,Orlando Magic,85,,92,37
"Fri, Mar 23, 2007",,W,7:00p,W 2,31,Denver Nuggets,94,,121,38
"Mon, Mar 26, 2007",@,L,7:30p,L 1,32,Boston Celtics,95,,87,38
"Wed, Mar 28, 2007",,W,7:00p,W 1,32,Miami Heat,83,,96,39
"Fri, Mar 30, 2007",@,W,7:00p,W 2,32,Washington Wizards,118,OT,123,40
"Sun, Apr 1, 2007",,W,6:00p,W 3,32,Charlotte Bobcats,94,,107,41
"Tue, Apr 3, 2007",@,L,7:30p,L 1,33,Miami Heat,92,,89,41
"Wed, Apr 4, 2007",@,W,7:00p,W 1,33,Orlando Magic,108,,111,42
"Fri, Apr 6, 2007",@,W,7:00p,W 2,33,Philadelphia 76ers,85,,94,43
"Sun, Apr 8, 2007",,W,6:00p,W 3,33,Chicago Bulls,89,,103,44
"Mon, Apr 9, 2007",@,W,8:00p,W 4,33,Minnesota Timberwolves,100,,111,45
"Fri, Apr 13, 2007",,W,7:00p,W 5,33,Detroit Pistons,84,,87,46
"Sun, Apr 15, 2007",,W,6:00p,W 6,33,New York Knicks,105,,107,47
"Tue, Apr 17, 2007",@,L,7:30p,L 1,34,Detroit Pistons,100,,84,47
"Wed, Apr 18, 2007",,L,7:00p,L 2,35,Philadelphia 76ers,122,,119,47
