date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Fri, Nov 2, 2007",,W,8:00p,W 1,0,Washington Wizards,83,,103,1
"Sun, Nov 4, 2007",@,W,2:30p,W 2,0,Toronto Raptors,95,OT,98,2
"Wed, Nov 7, 2007",,W,7:30p,W 3,0,Denver Nuggets,93,,119,3
"Fri, Nov 9, 2007",,W,7:30p,W 4,0,Atlanta Hawks,83,,106,4
"Sat, Nov 10, 2007",@,W,7:30p,W 5,0,New Jersey Nets,101,,112,5
"Tue, Nov 13, 2007",@,W,7:00p,W 6,0,Indiana Pacers,86,,101,6
"Wed, Nov 14, 2007",,W,7:30p,W 7,0,New Jersey Nets,69,,91,7
"Fri, Nov 16, 2007",,W,7:30p,W 8,0,Miami Heat,91,,92,8
"Sun, Nov 18, 2007",@,L,6:00p,L 1,1,Orlando Magic,104,,102,8
"Wed, Nov 21, 2007",,W,7:30p,W 1,1,Golden State Warriors,82,,105,9
"Fri, Nov 23, 2007",,W,7:30p,W 2,1,Los Angeles Lakers,94,,107,10
"Sat, Nov 24, 2007",@,W,7:00p,W 3,1,Charlotte Bobcats,95,,96,11
"Tue, Nov 27, 2007",@,L,7:00p,L 1,2,Cleveland Cavaliers,109,OT,104,11
"Thu, Nov 29, 2007",,W,8:00p,W 1,2,New York Knicks,59,,104,12
"Fri, Nov 30, 2007",@,W,8:00p,W 2,2,Miami Heat,85,,95,13
"Sun, Dec 2, 2007",,W,12:30p,W 3,2,Cleveland Cavaliers,70,,80,14
"Wed, Dec 5, 2007",@,W,7:00p,W 4,2,Philadelphia 76ers,103,,113,15
"Fri, Dec 7, 2007",,W,7:30p,W 5,2,Toronto Raptors,84,,112,16
"Sat, Dec 8, 2007",@,W,8:30p,W 6,2,Chicago Bulls,81,,92,17
"Wed, Dec 12, 2007",,W,7:30p,W 7,2,Sacramento Kings,78,,90,18
"Fri, Dec 14, 2007",,W,7:30p,W 8,2,Milwaukee Bucks,82,,104,19
"Sun, Dec 16, 2007",@,W,1:00p,W 9,2,Toronto Raptors,77,,90,20
"Wed, Dec 19, 2007",,L,7:00p,L 1,3,Detroit Pistons,87,,85,20
"Fri, Dec 21, 2007",,W,7:00p,W 1,3,Chicago Bulls,82,,107,21
"Sun, Dec 23, 2007",,W,6:30p,W 2,3,Orlando Magic,91,,103,22
"Wed, Dec 26, 2007",@,W,10:00p,W 3,3,Sacramento Kings,69,,89,23
"Thu, Dec 27, 2007",@,W,10:30p,W 4,3,Seattle SuperSonics,96,,104,24
"Sat, Dec 29, 2007",@,W,9:00p,W 5,3,Utah Jazz,98,,104,25
"Sun, Dec 30, 2007",@,W,10:00p,W 6,3,Los Angeles Lakers,91,,110,26
"Wed, Jan 2, 2008",,W,7:30p,W 7,3,Houston Rockets,93,,97,27
"Fri, Jan 4, 2008",,W,7:30p,W 8,3,Memphis Grizzlies,96,,100,28
"Sat, Jan 5, 2008",@,W,7:30p,W 9,3,Detroit Pistons,85,,92,29
"Wed, Jan 9, 2008",,L,7:30p,L 1,4,Charlotte Bobcats,95,,83,29
"Fri, Jan 11, 2008",@,W,7:30p,W 1,4,New Jersey Nets,77,,86,30
"Sat, Jan 12, 2008",@,L,7:30p,L 1,5,Washington Wizards,85,,78,30
"Mon, Jan 14, 2008",,L,7:30p,L 2,6,Washington Wizards,88,,83,30
"Wed, Jan 16, 2008",,W,7:30p,W 1,6,Portland Trail Blazers,90,,100,31
"Fri, Jan 18, 2008",,W,7:30p,W 2,6,Philadelphia 76ers,89,,116,32
"Mon, Jan 21, 2008",@,W,1:00p,W 3,6,New York Knicks,93,,109,33
"Wed, Jan 23, 2008",,L,7:30p,L 1,7,Toronto Raptors,114,,112,33
"Fri, Jan 25, 2008",,W,7:30p,W 1,7,Minnesota Timberwolves,86,,87,34
"Sun, Jan 27, 2008",@,L,1:00p,L 1,8,Orlando Magic,96,,93,34
"Tue, Jan 29, 2008",@,W,7:30p,W 1,8,Miami Heat,87,,117,35
"Thu, Jan 31, 2008",,W,8:00p,W 2,8,Dallas Mavericks,90,,96,36
"Tue, Feb 5, 2008",@,L,7:00p,L 1,9,Cleveland Cavaliers,114,,113,36
"Wed, Feb 6, 2008",,W,7:30p,W 1,9,Los Angeles Clippers,100,,111,37
"Fri, Feb 8, 2008",@,W,8:00p,W 2,9,Minnesota Timberwolves,86,,88,38
"Sun, Feb 10, 2008",,W,1:00p,W 3,9,San Antonio Spurs,90,,98,39
"Tue, Feb 12, 2008",@,W,7:00p,W 4,9,Indiana Pacers,97,,104,40
"Wed, Feb 13, 2008",,W,7:30p,W 5,9,New York Knicks,103,,111,41
"Tue, Feb 19, 2008",@,L,9:00p,L 1,10,Denver Nuggets,124,,118,41
"Wed, Feb 20, 2008",@,L,10:30p,L 2,11,Golden State Warriors,119,,117,41
"Fri, Feb 22, 2008",@,L,10:30p,L 3,12,Phoenix Suns,85,,77,41
"Sun, Feb 24, 2008",@,W,6:00p,W 1,12,Portland Trail Blazers,102,,112,42
"Mon, Feb 25, 2008",@,W,10:30p,W 2,12,Los Angeles Clippers,76,,104,43
"Wed, Feb 27, 2008",,W,7:30p,W 3,12,Cleveland Cavaliers,87,,92,44
"Fri, Feb 29, 2008",,W,7:30p,W 4,12,Charlotte Bobcats,100,,108,45
"Sun, Mar 2, 2008",,W,6:00p,W 5,12,Atlanta Hawks,88,,98,46
"Wed, Mar 5, 2008",,W,7:30p,W 6,12,Detroit Pistons,78,,90,47
"Fri, Mar 7, 2008",,W,8:00p,W 7,12,Chicago Bulls,93,,116,48
"Sat, Mar 8, 2008",@,W,8:00p,W 8,12,Memphis Grizzlies,89,,119,49
"Mon, Mar 10, 2008",@,W,7:00p,W 9,12,Philadelphia 76ers,86,,100,50
"Wed, Mar 12, 2008",,W,7:30p,W 10,12,Seattle SuperSonics,82,,111,51
"Fri, Mar 14, 2008",,L,7:30p,L 1,13,Utah Jazz,110,,92,51
"Sat, Mar 15, 2008",@,W,8:30p,W 1,13,Milwaukee Bucks,77,,99,52
"Mon, Mar 17, 2008",@,W,8:30p,W 2,13,San Antonio Spurs,91,,93,53
"Tue, Mar 18, 2008",@,W,9:30p,W 3,13,Houston Rockets,74,,94,54
"Thu, Mar 20, 2008",@,W,8:00p,W 4,13,Dallas Mavericks,90,,94,55
"Sat, Mar 22, 2008",@,L,8:00p,L 1,14,New Orleans Hornets,113,,106,55
"Mon, Mar 24, 2008",,L,7:30p,L 2,15,Philadelphia 76ers,95,,90,55
