date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Thu, Nov 1, 2007",@,W,8:00p,W 1,0,Miami Heat,80,,91,1
"Fri, Nov 2, 2007",@,W,7:00p,W 2,0,Orlando Magic,92,,116,2
"Sun, Nov 4, 2007",,W,7:30p,W 3,0,Atlanta Hawks,91,,92,3
"Thu, Nov 8, 2007",@,L,8:00p,L 1,1,Chicago Bulls,97,,93,3
"Fri, Nov 9, 2007",,W,8:00p,W 1,1,Los Angeles Clippers,79,,103,4
"Sun, Nov 11, 2007",@,W,9:00p,W 2,1,Seattle SuperSonics,103,,107,5
"Tue, Nov 13, 2007",@,L,10:00p,L 1,2,Portland Trail Blazers,102,,94,5
"Wed, Nov 14, 2007",@,W,10:30p,W 1,2,Golden State Warriors,104,,111,6
"Fri, Nov 16, 2007",@,L,10:30p,L 1,3,Los Angeles Lakers,103,,91,6
"Sun, Nov 18, 2007",@,L,9:00p,L 2,4,Sacramento Kings,105,,95,6
"Wed, Nov 21, 2007",,W,8:00p,W 1,4,New York Knicks,86,,98,7
"Fri, Nov 23, 2007",,W,8:00p,W 2,4,Philadelphia 76ers,78,,83,8
"Sun, Nov 25, 2007",,L,1:00p,L 1,5,Utah Jazz,103,,93,8
"Wed, Nov 28, 2007",,W,7:30p,W 1,5,Cleveland Cavaliers,74,,109,9
"Sat, Dec 1, 2007",@,W,8:30p,W 2,5,Milwaukee Bucks,91,,117,10
"Sun, Dec 2, 2007",,W,6:00p,W 3,5,New Jersey Nets,95,,118,11
"Tue, Dec 4, 2007",@,W,7:00p,W 4,5,Atlanta Hawks,95,,106,12
"Wed, Dec 5, 2007",@,W,8:00p,W 5,5,New Orleans Hornets,76,,91,13
"Fri, Dec 7, 2007",,L,7:00p,L 1,6,Chicago Bulls,98,,91,13
"Sun, Dec 9, 2007",,W,6:00p,W 1,6,Charlotte Bobcats,85,,104,14
"Tue, Dec 11, 2007",@,W,8:00p,W 2,6,Memphis Grizzlies,103,,113,15
"Wed, Dec 12, 2007",@,L,8:00p,L 1,7,Houston Rockets,80,,77,15
