date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Wed, Oct 31, 2007",,W,7:00p,W 1,0,Milwaukee Bucks,83,,102,1
"Fri, Nov 2, 2007",,L,7:00p,L 1,1,Detroit Pistons,116,,92,1
"Sat, Nov 3, 2007",@,W,7:00p,W 1,1,Washington Wizards,82,,94,2
"Tue, Nov 6, 2007",@,W,8:00p,W 2,1,Minnesota Timberwolves,103,,111,3
"Wed, Nov 7, 2007",@,W,7:00p,W 3,1,Toronto Raptors,96,,105,4
"Fri, Nov 9, 2007",@,W,7:30p,W 4,1,New York Knicks,102,,112,5
"Sat, Nov 10, 2007",,L,7:00p,L 1,2,Phoenix Suns,106,,96,5
"Tue, Nov 13, 2007",,W,7:00p,W 1,2,Seattle SuperSonics,76,,103,6
"Wed, Nov 14, 2007",@,W,7:00p,W 2,2,Cleveland Cavaliers,116,OT,117,7
"Fri, Nov 16, 2007",@,W,7:30p,W 3,2,New Jersey Nets,70,,95,8
"Sun, Nov 18, 2007",,W,6:00p,W 4,2,Boston Celtics,102,,104,9
"Mon, Nov 19, 2007",@,W,8:00p,W 5,2,New Orleans Hornets,88,,95,10
"Wed, Nov 21, 2007",@,L,8:30p,L 1,3,San Antonio Spurs,128,,110,10
"Fri, Nov 23, 2007",,W,7:00p,W 1,3,Charlotte Bobcats,92,,105,11
"Sat, Nov 24, 2007",,W,7:00p,W 2,3,Miami Heat,99,,120,12
"Mon, Nov 26, 2007",@,W,10:00p,W 3,3,Portland Trail Blazers,74,,85,13
"Wed, Nov 28, 2007",@,W,10:00p,W 4,3,Seattle SuperSonics,94,,110,14
"Fri, Nov 30, 2007",@,L,9:00p,L 1,4,Phoenix Suns,110,,106,14
"Sun, Dec 2, 2007",@,W,9:30p,W 1,4,Los Angeles Lakers,97,,104,15
"Mon, Dec 3, 2007",@,W,10:30p,W 2,4,Golden State Warriors,117,OT,123,16
"Fri, Dec 7, 2007",,L,7:00p,L 1,5,Indiana Pacers,115,,109,16
"Mon, Dec 10, 2007",,L,7:00p,L 2,6,Atlanta Hawks,98,,87,16
"Wed, Dec 12, 2007",@,L,8:00p,L 3,7,Milwaukee Bucks,100,,86,16
"Fri, Dec 14, 2007",@,W,8:00p,W 1,7,Charlotte Bobcats,87,,103,17
"Sat, Dec 15, 2007",,L,7:00p,L 1,8,Memphis Grizzlies,123,,119,17
"Mon, Dec 17, 2007",@,L,8:30p,L 2,9,Dallas Mavericks,111,,108,17
"Wed, Dec 19, 2007",@,W,8:30p,W 1,9,Houston Rockets,92,,97,18
"Fri, Dec 21, 2007",,L,7:00p,L 1,10,Utah Jazz,113,,94,18
"Sun, Dec 23, 2007",@,L,6:30p,L 2,11,Boston Celtics,103,,91,18
"Wed, Dec 26, 2007",,W,7:00p,W 1,11,New York Knicks,96,,110,19
