date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Wed, Oct 28, 2009",,L,10:30p,L 1,1,Houston Rockets,108,,107,0
"Fri, Oct 30, 2009",@,L,10:00p,L 2,2,Phoenix Suns,123,,101,0
"Wed, Nov 4, 2009",,W,10:30p,W 1,2,Memphis Grizzlies,105,,113,1
"Fri, Nov 6, 2009",,L,10:30p,L 1,3,Los Angeles Clippers,118,,90,1
"Sun, Nov 8, 2009",@,L,9:00p,L 2,4,Sacramento Kings,120,,107,1
"Mon, Nov 9, 2009",,W,10:30p,W 1,4,Minnesota Timberwolves,105,,146,2
"Wed, Nov 11, 2009",@,L,7:00p,L 1,5,Indiana Pacers,108,,94,2
"Fri, Nov 13, 2009",@,W,7:30p,W 1,5,New York Knicks,107,,121,3
"Sat, Nov 14, 2009",@,L,8:30p,L 1,6,Milwaukee Bucks,129,,125,3
"Tue, Nov 17, 2009",@,L,7:00p,L 2,7,Cleveland Cavaliers,114,,108,3
"Wed, Nov 18, 2009",@,L,7:30p,L 3,8,Boston Celtics,109,,95,3
"Fri, Nov 20, 2009",,W,10:30p,W 1,8,Portland Trail Blazers,94,,108,4
"Tue, Nov 24, 2009",@,W,8:30p,W 2,8,Dallas Mavericks,103,,111,5
"Wed, Nov 25, 2009",@,L,8:30p,L 1,9,San Antonio Spurs,118,,104,5
"Sat, Nov 28, 2009",,L,10:30p,L 2,10,Los Angeles Lakers,130,,97,5
"Mon, Nov 30, 2009",,W,10:30p,W 1,10,Indiana Pacers,107,,126,6
"Tue, Dec 1, 2009",@,L,9:00p,L 1,11,Denver Nuggets,135,,107,6
"Thu, Dec 3, 2009",,L,10:30p,L 2,12,Houston Rockets,111,,109,6
"Sat, Dec 5, 2009",,L,10:30p,L 3,13,Orlando Magic,126,,118,6
"Mon, Dec 7, 2009",@,L,8:00p,L 4,14,Oklahoma City Thunder,104,,88,6
"Wed, Dec 9, 2009",@,W,7:30p,W 1,14,New Jersey Nets,89,,105,7
"Fri, Dec 11, 2009",@,L,8:00p,L 1,15,Chicago Bulls,96,OT,91,7
"Sat, Dec 12, 2009",@,L,7:30p,L 2,16,Detroit Pistons,104,,95,7
"Mon, Dec 14, 2009",@,L,7:00p,L 3,17,Philadelphia 76ers,117,,101,7
"Wed, Dec 16, 2009",,L,10:30p,L 4,18,San Antonio Spurs,103,,91,7
"Fri, Dec 18, 2009",,L,10:30p,L 5,19,Washington Wizards,118,,109,7
"Tue, Dec 22, 2009",@,L,8:00p,L 6,20,Memphis Grizzlies,121,,108,7
"Wed, Dec 23, 2009",@,L,8:00p,L 7,21,New Orleans Hornets,108,,102,7
"Sat, Dec 26, 2009",,W,10:30p,W 1,21,Phoenix Suns,127,,132,8
"Mon, Dec 28, 2009",,W,10:30p,W 2,21,Boston Celtics,99,,103,9
"Tue, Dec 29, 2009",@,L,10:30p,L 1,22,Los Angeles Lakers,124,,118,9
"Sat, Jan 2, 2010",@,L,10:00p,L 2,23,Portland Trail Blazers,105,,89,9
"Tue, Jan 5, 2010",@,L,9:00p,L 3,24,Denver Nuggets,123,,122,9
"Wed, Jan 6, 2010",@,W,8:00p,W 1,24,Minnesota Timberwolves,101,,107,10
"Fri, Jan 8, 2010",,W,10:30p,W 2,24,Sacramento Kings,101,,108,11
"Mon, Jan 11, 2010",,L,10:30p,L 1,25,Cleveland Cavaliers,117,,114,11
"Wed, Jan 13, 2010",,L,10:30p,L 2,26,Miami Heat,115,,102,11
"Fri, Jan 15, 2010",,L,10:30p,L 3,27,Milwaukee Bucks,113,,104,11
"Mon, Jan 18, 2010",,W,4:00p,W 1,27,Chicago Bulls,97,,114,12
"Wed, Jan 20, 2010",,L,10:30p,L 1,28,Denver Nuggets,123,OT,118,12
"Fri, Jan 22, 2010",,W,10:30p,W 1,28,New Jersey Nets,79,,111,13
"Sat, Jan 23, 2010",@,L,9:00p,L 1,29,Phoenix Suns,112,,103,13
"Tue, Jan 26, 2010",@,L,10:00p,L 2,30,Sacramento Kings,99,,96,13
"Wed, Jan 27, 2010",,L,10:30p,L 3,31,New Orleans Hornets,123,,110,13
"Fri, Jan 29, 2010",,L,10:30p,L 4,32,Charlotte Bobcats,121,,110,13
"Sun, Jan 31, 2010",@,L,7:00p,L 5,33,Oklahoma City Thunder,112,,104,13
"Tue, Feb 2, 2010",@,L,8:30p,L 6,34,Houston Rockets,119,,97,13
"Wed, Feb 3, 2010",@,L,8:30p,L 7,35,Dallas Mavericks,110,,101,13
"Sat, Feb 6, 2010",,L,10:30p,L 8,36,Oklahoma City Thunder,104,,95,13
