date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Tue, Oct 27, 2009",@,W,8:30p,W 1,0,Dallas Mavericks,91,,102,1
"Fri, Oct 30, 2009",@,L,7:30p,L 1,1,Atlanta Hawks,100,,89,1
"Sat, Oct 31, 2009",,W,7:00p,W 1,1,New Jersey Nets,104,,123,2
"Tue, Nov 3, 2009",@,L,7:00p,L 1,2,Cleveland Cavaliers,102,,90,2
"Wed, Nov 4, 2009",,L,7:00p,L 2,3,Miami Heat,93,,89,2
"Fri, Nov 6, 2009",@,L,7:00p,L 3,4,Indiana Pacers,102,,86,2
"Sun, Nov 8, 2009",,L,1:00p,L 4,5,Phoenix Suns,102,,90,2
"Tue, Nov 10, 2009",@,L,7:30p,L 5,6,Miami Heat,90,,76,2
"Sat, Nov 14, 2009",,L,7:00p,L 6,7,Detroit Pistons,106,,103,2
"Wed, Nov 18, 2009",,W,7:00p,W 1,7,Cleveland Cavaliers,91,,108,3
"Fri, Nov 20, 2009",@,L,8:00p,L 1,8,Oklahoma City Thunder,127,,108,3
"Sat, Nov 21, 2009",@,L,8:30p,L 2,9,San Antonio Spurs,106,,84,3
"Tue, Nov 24, 2009",,W,7:00p,W 1,9,Philadelphia 76ers,107,,108,4
"Fri, Nov 27, 2009",@,W,7:00p,W 2,9,Miami Heat,84,,94,5
"Sat, Nov 28, 2009",,L,7:00p,L 1,10,Charlotte Bobcats,92,,76,5
"Tue, Dec 1, 2009",@,W,7:00p,W 1,10,Toronto Raptors,102,,106,6
"Wed, Dec 2, 2009",,W,7:00p,W 2,10,Milwaukee Bucks,102,,104,7
"Fri, Dec 4, 2009",,L,7:00p,L 1,11,Toronto Raptors,109,OT,107,7
"Sun, Dec 6, 2009",@,L,6:00p,L 2,12,Detroit Pistons,98,,94,7
"Thu, Dec 10, 2009",,L,8:00p,L 3,13,Boston Celtics,104,,102,7
"Sat, Dec 12, 2009",,L,7:00p,L 4,14,Indiana Pacers,114,,113,7
"Mon, Dec 14, 2009",@,L,10:30p,L 5,15,Los Angeles Clippers,97,,95,7
"Wed, Dec 16, 2009",@,L,10:30p,L 6,16,Sacramento Kings,112,,109,7
"Fri, Dec 18, 2009",@,W,10:30p,W 1,16,Golden State Warriors,109,,118,8
"Sat, Dec 19, 2009",@,L,9:00p,L 1,17,Phoenix Suns,121,,95,8
"Tue, Dec 22, 2009",,W,7:00p,W 1,17,Philadelphia 76ers,98,,105,9
"Wed, Dec 23, 2009",@,W,8:00p,W 2,17,Milwaukee Bucks,97,,109,10
"Sat, Dec 26, 2009",@,L,8:00p,L 1,18,Minnesota Timberwolves,101,,89,10
"Mon, Dec 28, 2009",@,L,8:00p,L 2,19,Memphis Grizzlies,116,OT,111,10
"Tue, Dec 29, 2009",,L,7:00p,L 3,20,Oklahoma City Thunder,110,,98,10
"Sat, Jan 2, 2010",,L,7:00p,L 4,21,San Antonio Spurs,97,,86,10
"Tue, Jan 5, 2010",@,W,7:00p,W 1,21,Philadelphia 76ers,97,,104,11
"Wed, Jan 6, 2010",@,L,7:00p,L 1,22,Cleveland Cavaliers,121,,98,11
"Fri, Jan 8, 2010",,W,7:00p,W 1,22,Orlando Magic,97,,104,12
"Sun, Jan 10, 2010",,L,1:00p,L 1,23,New Orleans Hornets,115,,110,12
"Tue, Jan 12, 2010",,L,7:00p,L 2,24,Detroit Pistons,99,,90,12
"Wed, Jan 13, 2010",@,L,7:00p,L 3,25,Atlanta Hawks,94,,82,12
"Fri, Jan 15, 2010",@,L,8:00p,L 4,26,Chicago Bulls,121,2OT,119,12
"Sat, Jan 16, 2010",,W,7:00p,W 1,26,Sacramento Kings,86,,96,13
"Mon, Jan 18, 2010",,W,1:00p,W 2,26,Portland Trail Blazers,92,,97,14
"Wed, Jan 20, 2010",,L,7:00p,L 1,27,Dallas Mavericks,94,,93,14
"Fri, Jan 22, 2010",,L,7:00p,L 2,28,Miami Heat,112,,88,14
"Sun, Jan 24, 2010",,L,1:00p,L 3,29,Los Angeles Clippers,92,,78,14
"Tue, Jan 26, 2010",,L,7:00p,L 4,30,Los Angeles Lakers,115,,103,14
"Fri, Jan 29, 2010",@,W,8:00p,W 1,30,New Jersey Nets,79,,81,15
"Sat, Jan 30, 2010",,W,8:00p,W 2,30,New York Knicks,96,,106,16
"Mon, Feb 1, 2010",,L,7:00p,L 1,31,Boston Celtics,99,,88,16
"Wed, Feb 3, 2010",@,L,7:30p,L 2,32,New York Knicks,107,,85,16
"Fri, Feb 5, 2010",@,W,7:00p,W 1,32,Orlando Magic,91,,92,17
"Tue, Feb 9, 2010",@,L,7:00p,L 1,33,Charlotte Bobcats,94,,92,17
"Wed, Feb 17, 2010",,W,7:00p,W 1,33,Minnesota Timberwolves,99,,108,18
"Fri, Feb 19, 2010",,W,7:00p,W 2,33,Denver Nuggets,97,,107,19
"Sat, Feb 20, 2010",@,L,7:00p,L 1,34,Toronto Raptors,109,,104,19
"Mon, Feb 22, 2010",,W,7:00p,W 1,34,Chicago Bulls,95,,101,20
"Wed, Feb 24, 2010",,L,7:00p,L 1,35,Memphis Grizzlies,99,,94,20
"Fri, Feb 26, 2010",,L,7:00p,L 2,36,New York Knicks,118,OT,116,20
"Sun, Feb 28, 2010",@,W,6:00p,W 1,36,New Jersey Nets,85,,89,21
"Wed, Mar 3, 2010",@,L,8:00p,L 1,37,Milwaukee Bucks,100,,87,21
"Fri, Mar 5, 2010",,L,7:00p,L 2,38,Milwaukee Bucks,102,,74,21
"Sun, Mar 7, 2010",@,L,8:00p,L 3,39,Boston Celtics,86,,83,21
"Tue, Mar 9, 2010",,L,7:00p,L 4,40,Houston Rockets,96,,88,21
"Thu, Mar 11, 2010",,L,7:00p,L 5,41,Atlanta Hawks,105,,99,21
"Fri, Mar 12, 2010",@,L,8:00p,L 6,42,Detroit Pistons,101,,87,21
"Sat, Mar 13, 2010",,L,7:00p,L 7,43,Orlando Magic,109,,95,21
"Mon, Mar 15, 2010",@,L,9:00p,L 8,44,Utah Jazz,112,,89,21
"Tue, Mar 16, 2010",@,L,9:00p,L 9,45,Denver Nuggets,97,,87,21
"Fri, Mar 19, 2010",@,L,10:00p,L 10,46,Portland Trail Blazers,76,,74,21
"Sun, Mar 21, 2010",@,L,9:30p,L 11,47,Los Angeles Lakers,99,,92,21
"Tue, Mar 23, 2010",,L,7:00p,L 12,48,Charlotte Bobcats,95,OT,86,21
"Wed, Mar 24, 2010",@,L,7:00p,L 13,49,Indiana Pacers,99,,82,21
"Fri, Mar 26, 2010",@,L,7:00p,L 14,50,Charlotte Bobcats,107,,96,21
"Sat, Mar 27, 2010",,L,7:00p,L 15,51,Utah Jazz,103,,87,21
"Tue, Mar 30, 2010",@,L,8:30p,L 16,52,Houston Rockets,98,,94,21
"Wed, Mar 31, 2010",@,W,8:00p,W 1,52,New Orleans Hornets,91,,96,22
"Fri, Apr 2, 2010",,L,7:00p,L 1,53,Chicago Bulls,95,,87,22
"Sun, Apr 4, 2010",,W,6:00p,W 1,53,New Jersey Nets,99,,109,23
"Tue, Apr 6, 2010",,W,7:00p,W 2,53,Golden State Warriors,94,,112,24
"Wed, Apr 7, 2010",@,L,7:00p,L 1,54,Orlando Magic,121,,94,24
"Fri, Apr 9, 2010",@,W,7:30p,W 1,54,Boston Celtics,96,,106,25
"Sat, Apr 10, 2010",,L,7:00p,L 1,55,Atlanta Hawks,105,,95,25
"Mon, Apr 12, 2010",@,L,7:30p,L 2,56,New York Knicks,114,,103,25
"Wed, Apr 14, 2010",,W,8:00p,W 1,56,Indiana Pacers,97,,98,26
