date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Wed, Oct 27, 2010",@,L,8:00p,L 1,1,Oklahoma City Thunder,106,,95,0
"Sat, Oct 30, 2010",,W,8:00p,W 1,1,Detroit Pistons,91,,101,1
"Mon, Nov 1, 2010",,W,8:00p,W 2,1,Portland Trail Blazers,98,,110,2
"Thu, Nov 4, 2010",,L,8:00p,L 1,2,New York Knicks,120,,112,2
"Fri, Nov 5, 2010",@,L,8:00p,L 2,3,Boston Celtics,110,OT,105,2
"Mon, Nov 8, 2010",,W,8:00p,W 1,3,Denver Nuggets,92,,94,3
"Thu, Nov 11, 2010",,W,8:00p,W 2,3,Golden State Warriors,90,,120,4
"Sat, Nov 13, 2010",,W,8:00p,W 3,3,Washington Wizards,96,,103,5
"Tue, Nov 16, 2010",@,W,8:30p,W 4,3,Houston Rockets,92,,95,6
"Wed, Nov 17, 2010",@,L,9:30p,L 1,4,San Antonio Spurs,103,,94,6
"Fri, Nov 19, 2010",@,W,9:30p,W 1,4,Dallas Mavericks,83,,88,7
"Tue, Nov 23, 2010",@,L,10:30p,L 1,5,Los Angeles Lakers,98,,91,7
"Wed, Nov 24, 2010",@,W,9:00p,W 1,5,Phoenix Suns,115,2OT,123,8
"Fri, Nov 26, 2010",@,L,9:00p,L 1,6,Denver Nuggets,98,,97,8
"Sat, Nov 27, 2010",@,W,10:00p,W 1,6,Sacramento Kings,85,,96,9
"Wed, Dec 1, 2010",,L,8:00p,L 1,7,Orlando Magic,107,,78,9
"Fri, Dec 3, 2010",@,L,8:00p,L 2,8,Boston Celtics,104,,92,9
"Sat, Dec 4, 2010",,W,8:00p,W 1,8,Houston Rockets,116,OT,119,10
"Mon, Dec 6, 2010",,W,8:00p,W 2,8,Oklahoma City Thunder,90,,99,11
"Wed, Dec 8, 2010",@,W,7:00p,W 3,8,Cleveland Cavaliers,83,,88,12
"Fri, Dec 10, 2010",,W,8:00p,W 4,8,Los Angeles Lakers,84,,88,13
"Sat, Dec 11, 2010",,W,8:00p,W 5,8,Minnesota Timberwolves,82,,113,14
"Mon, Dec 13, 2010",,W,8:00p,W 6,8,Indiana Pacers,73,,92,15
"Wed, Dec 15, 2010",@,W,7:00p,W 7,8,Toronto Raptors,93,,110,16
"Sat, Dec 18, 2010",,L,8:00p,L 1,9,Los Angeles Clippers,100,,99,16
"Tue, Dec 21, 2010",,W,8:00p,W 1,9,Philadelphia 76ers,76,,121,17
"Wed, Dec 22, 2010",@,W,7:00p,W 2,9,Washington Wizards,80,,87,18
"Sat, Dec 25, 2010",@,L,12:00p,L 1,10,New York Knicks,103,,95,18
"Sun, Dec 26, 2010",@,W,6:00p,W 1,10,Detroit Pistons,92,OT,95,19
"Tue, Dec 28, 2010",,W,8:00p,W 2,10,Milwaukee Bucks,77,,90,20
"Fri, Dec 31, 2010",,W,3:00p,W 3,10,New Jersey Nets,81,,90,21
"Sat, Jan 1, 2011",,W,7:00p,W 4,10,Cleveland Cavaliers,91,,100,22
"Tue, Jan 4, 2011",,W,8:00p,W 5,10,Toronto Raptors,91,,111,23
"Wed, Jan 5, 2011",@,L,7:00p,L 1,11,New Jersey Nets,96,,94,23
"Fri, Jan 7, 2011",@,L,7:00p,L 2,12,Philadelphia 76ers,105,,99,23
"Sat, Jan 8, 2011",,W,8:00p,W 1,12,Boston Celtics,79,,90,24
"Mon, Jan 10, 2011",,W,8:00p,W 2,12,Detroit Pistons,82,,95,25
"Wed, Jan 12, 2011",@,L,7:00p,L 1,13,Charlotte Bobcats,96,,91,25
"Fri, Jan 14, 2011",@,W,7:00p,W 1,13,Indiana Pacers,86,,99,26
"Sat, Jan 15, 2011",,W,8:00p,W 2,13,Miami Heat,96,,99,27
"Mon, Jan 17, 2011",@,W,1:00p,W 3,13,Memphis Grizzlies,84,,96,28
"Tue, Jan 18, 2011",,L,8:00p,L 1,14,Charlotte Bobcats,83,,82,28
"Thu, Jan 20, 2011",,W,8:00p,W 1,14,Dallas Mavericks,77,,82,29
"Sat, Jan 22, 2011",,W,8:00p,W 2,14,Cleveland Cavaliers,79,,92,30
"Mon, Jan 24, 2011",,W,8:00p,W 3,14,Milwaukee Bucks,83,,92,31
"Fri, Jan 28, 2011",,W,8:00p,W 4,14,Orlando Magic,90,,99,32
"Sat, Jan 29, 2011",,W,8:00p,W 5,14,Indiana Pacers,89,,110,33
"Wed, Feb 2, 2011",@,W,10:30p,W 6,14,Los Angeles Clippers,88,,106,34
"Sat, Feb 5, 2011",@,L,10:30p,L 1,15,Golden State Warriors,101,,90,34
"Mon, Feb 7, 2011",@,L,10:00p,L 2,16,Portland Trail Blazers,109,,103,34
"Wed, Feb 9, 2011",@,W,9:00p,W 1,16,Utah Jazz,86,,91,35
"Sat, Feb 12, 2011",@,W,8:00p,W 2,16,New Orleans Hornets,88,,97,36
"Tue, Feb 15, 2011",,W,8:00p,W 3,16,Charlotte Bobcats,94,,106,37
"Thu, Feb 17, 2011",,W,8:00p,W 4,16,San Antonio Spurs,99,,109,38
"Wed, Feb 23, 2011",@,L,7:00p,L 1,17,Toronto Raptors,118,,113,38
"Thu, Feb 24, 2011",,W,8:00p,W 1,17,Miami Heat,89,,93,39
"Sat, Feb 26, 2011",@,W,8:30p,W 2,17,Milwaukee Bucks,75,,83,40
"Mon, Feb 28, 2011",@,W,7:00p,W 3,17,Washington Wizards,77,,105,41
"Wed, Mar 2, 2011",@,L,7:00p,L 1,18,Atlanta Hawks,83,,80,41
"Fri, Mar 4, 2011",@,W,7:00p,W 1,18,Orlando Magic,81,,89,42
"Sun, Mar 6, 2011",@,W,1:00p,W 2,18,Miami Heat,86,,87,43
"Mon, Mar 7, 2011",,W,8:00p,W 3,18,New Orleans Hornets,77,,85,44
"Wed, Mar 9, 2011",@,W,7:00p,W 4,18,Charlotte Bobcats,84,,101,45
"Fri, Mar 11, 2011",,W,8:00p,W 5,18,Atlanta Hawks,76,,94,46
"Sat, Mar 12, 2011",,W,8:00p,W 6,18,Utah Jazz,100,,118,47
"Tue, Mar 15, 2011",,W,8:00p,W 7,18,Washington Wizards,79,,98,48
"Thu, Mar 17, 2011",@,W,7:00p,W 8,18,New Jersey Nets,73,,84,49
"Fri, Mar 18, 2011",@,L,7:00p,L 1,19,Indiana Pacers,115,OT,108,49
"Mon, Mar 21, 2011",,W,8:00p,W 1,19,Sacramento Kings,92,,132,50
"Tue, Mar 22, 2011",@,W,8:00p,W 2,19,Atlanta Hawks,81,,114,51
"Fri, Mar 25, 2011",,W,8:00p,W 3,19,Memphis Grizzlies,96,,99,52
"Sat, Mar 26, 2011",@,W,8:30p,W 4,19,Milwaukee Bucks,87,,95,53
"Mon, Mar 28, 2011",,L,8:00p,L 1,20,Philadelphia 76ers,97,,85,53
"Wed, Mar 30, 2011",@,W,8:00p,W 1,20,Minnesota Timberwolves,91,,108,54
"Fri, Apr 1, 2011",@,W,7:30p,W 2,20,Detroit Pistons,96,,101,55
"Sat, Apr 2, 2011",,W,8:00p,W 3,20,Toronto Raptors,106,,113,56
"Tue, Apr 5, 2011",,W,8:00p,W 4,20,Phoenix Suns,94,,97,57
"Thu, Apr 7, 2011",,W,8:00p,W 5,20,Boston Celtics,81,,97,58
"Fri, Apr 8, 2011",@,W,7:30p,W 6,20,Cleveland Cavaliers,82,,93,59
"Sun, Apr 10, 2011",@,W,1:00p,W 7,20,Orlando Magic,99,,102,60
"Tue, Apr 12, 2011",@,W,8:00p,W 8,20,New York Knicks,90,,103,61
"Wed, Apr 13, 2011",,W,8:00p,W 9,20,New Jersey Nets,92,,97,62
