date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Wed, Oct 27, 2010",,W,9:00p,W 1,0,Utah Jazz,88,,110,1
"Fri, Oct 29, 2010",@,L,8:00p,L 1,1,New Orleans Hornets,101,,95,1
"Sat, Oct 30, 2010",@,W,8:30p,W 1,1,Houston Rockets,94,,107,2
"Wed, Nov 3, 2010",,L,9:00p,L 1,2,Dallas Mavericks,102,,101,2
"Fri, Nov 5, 2010",,W,10:30p,W 1,2,Los Angeles Clippers,104,,111,3
"Sat, Nov 6, 2010",@,W,9:00p,W 2,2,Dallas Mavericks,92,,103,4
"Mon, Nov 8, 2010",@,L,8:00p,L 1,3,Chicago Bulls,94,,92,4
"Tue, Nov 9, 2010",@,L,7:00p,L 2,4,Indiana Pacers,144,,113,4
"Thu, Nov 11, 2010",,W,10:30p,W 1,4,Los Angeles Lakers,112,,118,5
"Mon, Nov 15, 2010",@,L,9:00p,L 1,5,Phoenix Suns,100,,94,5
"Tue, Nov 16, 2010",,W,9:00p,W 1,5,New York Knicks,118,,120,6
"Thu, Nov 18, 2010",@,L,10:30p,L 1,6,Portland Trail Blazers,86,,83,6
"Sat, Nov 20, 2010",,W,9:00p,W 1,6,New Jersey Nets,103,,107,7
"Mon, Nov 22, 2010",@,W,10:30p,W 2,6,Golden State Warriors,89,,106,8
"Fri, Nov 26, 2010",,W,9:00p,W 3,6,Chicago Bulls,97,,98,9
"Sun, Nov 28, 2010",,W,8:00p,W 4,6,Phoenix Suns,133,,138,10
"Wed, Dec 1, 2010",,W,9:00p,W 5,6,Milwaukee Bucks,94,,105,11
"Fri, Dec 3, 2010",,W,9:00p,W 6,6,Los Angeles Clippers,104,,109,12
"Sun, Dec 5, 2010",,W,8:00p,W 7,6,Memphis Grizzlies,107,,108,13
"Tue, Dec 7, 2010",@,L,7:00p,L 1,7,Charlotte Bobcats,100,,98,13
"Wed, Dec 8, 2010",@,L,7:00p,L 2,8,Boston Celtics,105,,89,13
"Fri, Dec 10, 2010",@,W,7:00p,W 1,8,Toronto Raptors,116,,123,14
"Sun, Dec 12, 2010",@,L,12:00p,L 1,9,New York Knicks,129,,125,14
"Tue, Dec 14, 2010",,W,9:00p,W 1,9,Orlando Magic,94,,111,15
"Thu, Dec 16, 2010",,L,10:30p,L 1,10,San Antonio Spurs,113,,112,15
"Sat, Dec 18, 2010",,W,9:00p,W 1,10,Minnesota Timberwolves,113,,115,16
"Wed, Dec 22, 2010",@,L,8:30p,L 1,11,San Antonio Spurs,109,,103,16
"Sat, Dec 25, 2010",@,L,8:00p,L 2,12,Oklahoma City Thunder,114,,106,16
