date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Sun, Dec 25, 2011",,W,8:00p,W 1,0,Orlando Magic,89,,97,1
"Mon, Dec 26, 2011",@,W,8:00p,W 2,0,Minnesota Timberwolves,100,,104,2
"Wed, Dec 28, 2011",@,W,8:00p,W 3,0,Memphis Grizzlies,95,,98,3
"Thu, Dec 29, 2011",,W,8:00p,W 4,0,Dallas Mavericks,102,,104,4
"Sat, Dec 31, 2011",,W,8:00p,W 5,0,Phoenix Suns,97,,107,5
"Mon, Jan 2, 2012",@,L,8:30p,L 1,1,Dallas Mavericks,100,,87,5
"Tue, Jan 3, 2012",,L,8:00p,L 2,2,Portland Trail Blazers,103,,93,5
"Fri, Jan 6, 2012",,W,8:00p,W 1,2,Houston Rockets,94,,109,6
"Sat, Jan 7, 2012",@,W,8:00p,W 2,2,Houston Rockets,95,,98,7
"Sun, Jan 8, 2012",,W,7:00p,W 3,2,San Antonio Spurs,96,,108,8
"Tue, Jan 10, 2012",@,W,8:00p,W 4,2,Memphis Grizzlies,95,,100,9
"Wed, Jan 11, 2012",@,W,8:00p,W 5,2,New Orleans Hornets,85,,95,10
"Sat, Jan 14, 2012",,W,8:00p,W 6,2,New York Knicks,92,,104,11
"Mon, Jan 16, 2012",@,W,8:00p,W 7,2,Boston Celtics,88,,97,12
"Wed, Jan 18, 2012",@,L,7:00p,L 1,3,Washington Wizards,105,,102,12
"Sat, Jan 21, 2012",@,W,8:00p,W 1,3,New Jersey Nets,74,,84,13
"Mon, Jan 23, 2012",,W,8:00p,W 2,3,Detroit Pistons,79,,99,14
"Wed, Jan 25, 2012",,W,8:00p,W 3,3,New Orleans Hornets,91,,101,15
"Fri, Jan 27, 2012",@,W,10:30p,W 4,3,Golden State Warriors,109,,120,16
"Mon, Jan 30, 2012",@,L,10:30p,L 1,4,Los Angeles Clippers,112,,100,16
"Wed, Feb 1, 2012",@,W,8:00p,W 1,4,Dallas Mavericks,86,,95,17
"Fri, Feb 3, 2012",,W,8:00p,W 2,4,Memphis Grizzlies,94,,101,18
"Sat, Feb 4, 2012",@,L,8:30p,L 1,5,San Antonio Spurs,107,,96,18
"Mon, Feb 6, 2012",@,W,10:00p,W 1,5,Portland Trail Blazers,107,OT,111,19
"Tue, Feb 7, 2012",@,W,10:30p,W 2,5,Golden State Warriors,116,,119,20
"Thu, Feb 9, 2012",@,L,10:30p,L 1,6,Sacramento Kings,106,,101,20
"Fri, Feb 10, 2012",@,W,10:30p,W 1,6,Utah Jazz,87,,101,21
"Tue, Feb 14, 2012",,W,8:00p,W 2,6,Utah Jazz,85,,111,22
"Wed, Feb 15, 2012",@,L,8:00p,L 1,7,Houston Rockets,96,,95,22
"Fri, Feb 17, 2012",,W,8:00p,W 1,7,Golden State Warriors,87,,110,23
"Sun, Feb 19, 2012",,W,8:00p,W 2,7,Denver Nuggets,118,OT,124,24
"Mon, Feb 20, 2012",,W,8:00p,W 3,7,New Orleans Hornets,93,,101,25
"Wed, Feb 22, 2012",,W,7:00p,W 4,7,Boston Celtics,104,,119,26
"Thu, Feb 23, 2012",,W,9:30p,W 5,7,Los Angeles Lakers,85,,100,27
"Wed, Feb 29, 2012",@,W,7:00p,W 6,7,Philadelphia 76ers,88,,92,28
"Thu, Mar 1, 2012",@,W,8:00p,W 7,7,Orlando Magic,102,,105,29
"Sat, Mar 3, 2012",@,L,7:00p,L 1,8,Atlanta Hawks,97,,90,29
