date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Mon, Dec 26, 2011",,L,9:00p,L 1,1,New Orleans Hornets,85,,84,0
"Wed, Dec 28, 2011",,L,9:00p,L 2,2,Philadelphia 76ers,103,,83,0
"Fri, Dec 30, 2011",@,W,8:00p,W 1,2,New Orleans Hornets,78,,93,1
"Sat, Dec 31, 2011",@,L,8:00p,L 1,3,Oklahoma City Thunder,107,,97,1
"Mon, Jan 2, 2012",,W,3:30p,W 1,3,Golden State Warriors,91,,102,2
"Wed, Jan 4, 2012",@,L,8:30p,L 1,4,Dallas Mavericks,98,,89,2
"Fri, Jan 6, 2012",,W,10:30p,W 1,4,Portland Trail Blazers,77,,102,3
"Sun, Jan 8, 2012",,W,8:00p,W 2,4,Milwaukee Bucks,93,,109,4
"Tue, Jan 10, 2012",@,L,10:30p,L 1,5,Los Angeles Lakers,99,,83,4
"Thu, Jan 12, 2012",,L,9:00p,L 2,6,Cleveland Cavaliers,101,,90,4
"Fri, Jan 13, 2012",,L,9:00p,L 3,7,New Jersey Nets,110,,103,4
"Sun, Jan 15, 2012",@,L,9:00p,L 4,8,San Antonio Spurs,102,,91,4
"Tue, Jan 17, 2012",@,L,8:00p,L 5,9,Chicago Bulls,118,,97,4
"Wed, Jan 18, 2012",@,W,7:30p,W 1,9,New York Knicks,88,,91,5
"Fri, Jan 20, 2012",@,W,7:30p,W 2,9,Boston Celtics,71,,79,6
"Mon, Jan 23, 2012",@,L,8:30p,L 1,10,Dallas Mavericks,93,,87,6
"Tue, Jan 24, 2012",,L,9:00p,L 2,11,Toronto Raptors,99,,96,6
"Fri, Jan 27, 2012",@,L,10:00p,L 3,12,Portland Trail Blazers,109,,71,6
"Sat, Jan 28, 2012",,W,9:00p,W 1,12,Memphis Grizzlies,84,,86,7
"Mon, Jan 30, 2012",,L,9:00p,L 1,13,Dallas Mavericks,122,,99,7
