date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Wed, Oct 30, 2013",,L,8:00p,L 1,1,Indiana Pacers,95,,90,0
"Fri, Nov 1, 2013",@,L,7:00p,L 2,2,Orlando Magic,110,,90,0
"Sat, Nov 2, 2013",,W,8:00p,W 1,2,Charlotte Bobcats,84,,105,1
"Tue, Nov 5, 2013",,L,8:00p,L 1,3,Phoenix Suns,104,,98,1
"Wed, Nov 6, 2013",@,W,8:00p,W 1,3,Memphis Grizzlies,84,,99,2
"Fri, Nov 8, 2013",,W,8:00p,W 2,3,Los Angeles Lakers,85,,96,3
"Sun, Nov 10, 2013",@,L,8:00p,L 1,4,Phoenix Suns,101,,94,3
"Tue, Nov 12, 2013",@,L,10:30p,L 2,5,Los Angeles Lakers,116,,95,3
"Wed, Nov 13, 2013",@,L,9:00p,L 3,6,Utah Jazz,111,,105,3
"Sat, Nov 16, 2013",,W,8:00p,W 1,6,Philadelphia 76ers,98,,135,4
"Wed, Nov 20, 2013",,W,8:00p,W 2,6,Utah Jazz,98,,105,5
"Fri, Nov 22, 2013",,W,8:00p,W 3,6,Cleveland Cavaliers,100,,104,6
"Mon, Nov 25, 2013",@,L,8:30p,L 1,7,San Antonio Spurs,112,,93,6
"Tue, Nov 26, 2013",,L,8:00p,L 2,8,Golden State Warriors,102,,101,6
"Fri, Nov 29, 2013",@,W,8:00p,W 1,8,Philadelphia 76ers,105,,121,7
"Sun, Dec 1, 2013",@,W,7:30p,W 2,8,New York Knicks,99,,103,8
"Mon, Dec 2, 2013",@,W,8:00p,W 3,8,Chicago Bulls,128,3OT,131,9
"Wed, Dec 4, 2013",,L,8:00p,L 1,9,Dallas Mavericks,100,,97,9
"Fri, Dec 6, 2013",,L,8:00p,L 2,10,Oklahoma City Thunder,109,,95,9
"Wed, Dec 11, 2013",,W,8:00p,W 1,10,Detroit Pistons,106,OT,111,10
"Fri, Dec 13, 2013",,W,8:00p,W 2,10,Memphis Grizzlies,98,,104,11
