date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Wed, Oct 30, 2013",,L,9:00p,L 1,1,Oklahoma City Thunder,101,,98,0
"Fri, Nov 1, 2013",@,L,10:00p,L 2,2,Phoenix Suns,87,,84,0
"Sat, Nov 2, 2013",,L,9:00p,L 3,3,Houston Rockets,104,,93,0
"Tue, Nov 5, 2013",@,L,7:30p,L 4,4,Brooklyn Nets,104,,88,0
"Wed, Nov 6, 2013",@,L,7:30p,L 5,5,Boston Celtics,97,,87,0
"Fri, Nov 8, 2013",@,L,8:00p,L 6,6,Chicago Bulls,97,,73,0
"Sat, Nov 9, 2013",@,L,7:00p,L 7,7,Toronto Raptors,115,,91,0
"Mon, Nov 11, 2013",,L,9:00p,L 8,8,Denver Nuggets,100,,81,0
"Wed, Nov 13, 2013",,W,9:00p,W 1,8,New Orleans Pelicans,105,,111,1
"Fri, Nov 15, 2013",,L,9:00p,L 1,9,San Antonio Spurs,91,,82,1
"Sat, Nov 16, 2013",@,L,10:30p,L 2,10,Golden State Warriors,102,,88,1
"Mon, Nov 18, 2013",,L,9:00p,L 3,11,Golden State Warriors,98,,87,1
"Wed, Nov 20, 2013",@,L,8:00p,L 4,12,New Orleans Pelicans,105,,98,1
"Fri, Nov 22, 2013",@,L,8:30p,L 5,13,Dallas Mavericks,103,,93,1
"Sun, Nov 24, 2013",@,L,7:00p,L 6,14,Oklahoma City Thunder,95,,73,1
"Mon, Nov 25, 2013",,W,9:00p,W 1,14,Chicago Bulls,83,OT,89,2
"Fri, Nov 29, 2013",,L,9:00p,L 1,15,Phoenix Suns,112,,101,2
"Sat, Nov 30, 2013",@,W,9:00p,W 1,15,Phoenix Suns,104,,112,3
"Mon, Dec 2, 2013",,W,9:00p,W 2,15,Houston Rockets,103,,109,4
"Wed, Dec 4, 2013",,L,9:00p,L 1,16,Indiana Pacers,95,,86,4
"Fri, Dec 6, 2013",@,L,10:00p,L 2,17,Portland Trail Blazers,130,,98,4
"Sat, Dec 7, 2013",,L,9:00p,L 3,18,Sacramento Kings,112,OT,102,4
"Mon, Dec 9, 2013",,L,9:00p,L 4,19,Portland Trail Blazers,105,,94,4
"Wed, Dec 11, 2013",@,W,10:00p,W 1,19,Sacramento Kings,101,,122,5
