date_game,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,overtimes,pts,wins
"Tue, Oct 28, 2014",@,W,10:30p,W 1,0,Los Angeles Lakers,90,,108,1
"Wed, Oct 29, 2014",@,W,9:00p,W 2,0,Utah Jazz,93,,104,2
"Sat, Nov 1, 2014",,W,8:00p,W 3,0,Boston Celtics,90,,104,3
"Mon, Nov 3, 2014",@,W,7:00p,W 4,0,Philadelphia 76ers,93,,104,4
"Tue, Nov 4, 2014",@,W,7:30p,W 5,0,Miami Heat,91,,108,5
"Thu, Nov 6, 2014",,W,8:00p,W 6,0,San Antonio Spurs,81,,98,6
"Sat, Nov 8, 2014",,L,8:00p,L 1,1,Golden State Warriors,98,,87,6
"Wed, Nov 12, 2014",@,W,10:00p,W 1,1,Minnesota Timberwolves,101,,113,7
"Fri, Nov 14, 2014",,W,8:00p,W 2,1,Philadelphia 76ers,87,,88,8
"Sun, Nov 16, 2014",@,W,7:00p,W 3,1,Oklahoma City Thunder,65,,69,9
"Mon, Nov 17, 2014",@,L,8:00p,L 1,2,Memphis Grizzlies,119,,93,9
"Wed, Nov 19, 2014",,L,9:30p,L 2,3,Los Angeles Lakers,98,,92,9
"Sat, Nov 22, 2014",,W,8:00p,W 1,3,Dallas Mavericks,92,,95,10
"Mon, Nov 24, 2014",,W,8:00p,W 2,3,New York Knicks,86,,91,11
"Wed, Nov 26, 2014",,W,8:00p,W 3,3,Sacramento Kings,89,,102,12
"Fri, Nov 28, 2014",,L,8:00p,L 1,4,Los Angeles Clippers,102,,85,12
"Sat, Nov 29, 2014",@,W,9:00p,W 1,4,Milwaukee Bucks,103,,117,13
"Wed, Dec 3, 2014",,W,8:00p,W 2,4,Memphis Grizzlies,96,,105,14
"Fri, Dec 5, 2014",@,W,8:00p,W 3,4,Minnesota Timberwolves,112,OT,114,15
"Sat, Dec 6, 2014",,W,8:00p,W 4,4,Phoenix Suns,95,,100,16
"Wed, Dec 10, 2014",@,L,10:30p,L 1,5,Golden State Warriors,105,,93,16
"Thu, Dec 11, 2014",@,W,10:30p,W 1,5,Sacramento Kings,109,OT,113,17
"Sat, Dec 13, 2014",,W,8:00p,W 2,5,Denver Nuggets,96,,108,18
"Wed, Dec 17, 2014",@,W,10:30p,W 3,5,Denver Nuggets,111,OT,115,19
"Thu, Dec 18, 2014",,L,8:30p,L 1,6,New Orleans Pelicans,99,,90,19
"Sat, Dec 20, 2014",,L,8:00p,L 2,7,Atlanta Hawks,104,,97,19
"Mon, Dec 22, 2014",,W,8:00p,W 1,7,Portland Trail Blazers,95,,110,20
"Fri, Dec 26, 2014",@,W,8:00p,W 2,7,Memphis Grizzlies,111,OT,117,21
"Sun, Dec 28, 2014",@,L,7:00p,L 1,8,San Antonio Spurs,110,,106,21
"Mon, Dec 29, 2014",,L,8:00p,L 2,9,Washington Wizards,104,,103,21
"Wed, Dec 31, 2014",,W,7:00p,W 1,9,Charlotte Hornets,83,,102,22
"Fri, Jan 2, 2015",@,L,8:00p,L 1,10,New Orleans Pelicans,111,,83,22
"Sat, Jan 3, 2015",,W,8:00p,W 1,10,Miami Heat,79,,115,23
"Mon, Jan 5, 2015",@,L,8:00p,L 1,11,Chicago Bulls,114,,105,23
"Wed, Jan 7, 2015",@,W,7:00p,W 1,11,Cleveland Cavaliers,93,,105,24
"Thu, Jan 8, 2015",@,W,8:00p,W 2,11,New York Knicks,96,,120,25
"Sat, Jan 10, 2015",,W,8:00p,W 3,11,Utah Jazz,82,,97,26
"Mon, Jan 12, 2015",@,W,7:30p,W 4,11,Brooklyn Nets,99,,113,27
"Wed, Jan 14, 2015",@,L,7:00p,L 1,12,Orlando Magic,120,,113,27
"Thu, Jan 15, 2015",,W,8:00p,W 1,12,Oklahoma City Thunder,101,,112,28
"Sat, Jan 17, 2015",,L,8:00p,L 1,13,Golden State Warriors,131,,106,28
"Mon, Jan 19, 2015",,W,5:30p,W 1,13,Indiana Pacers,98,,110,29
"Wed, Jan 21, 2015",@,L,10:30p,L 1,14,Golden State Warriors,126,,113,29
"Fri, Jan 23, 2015",@,W,9:00p,W 1,14,Phoenix Suns,111,,113,30
"Sun, Jan 25, 2015",@,W,9:30p,W 2,14,Los Angeles Lakers,87,,99,31
"Wed, Jan 28, 2015",,W,8:00p,W 3,14,Dallas Mavericks,94,,99,32
"Fri, Jan 30, 2015",@,W,7:30p,W 4,14,Boston Celtics,87,,93,33
"Sat, Jan 31, 2015",@,L,7:30p,L 1,15,Detroit Pistons,114,,101,33
"Wed, Feb 4, 2015",,W,8:00p,W 1,15,Chicago Bulls,90,,101,34
"Fri, Feb 6, 2015",,W,8:00p,W 2,15,Milwaukee Bucks,111,,117,35
"Sun, Feb 8, 2015",,L,7:00p,L 1,16,Portland Trail Blazers,109,,98,35
"Tue, Feb 10, 2015",@,W,8:00p,W 1,16,Phoenix Suns,118,,127,36
"Wed, Feb 11, 2015",@,L,10:30p,L 1,17,Los Angeles Clippers,110,,95,36
"Fri, Feb 20, 2015",@,L,8:30p,L 2,18,Dallas Mavericks,111,,100,36
"Sat, Feb 21, 2015",,W,8:00p,W 1,18,Toronto Raptors,76,,98,37
"Mon, Feb 23, 2015",,W,8:00p,W 2,18,Minnesota Timberwolves,102,,113,38
"Wed, Feb 25, 2015",,W,8:00p,W 3,18,Los Angeles Clippers,105,,110,39
"Fri, Feb 27, 2015",,W,8:00p,W 4,18,Brooklyn Nets,98,,102,40
"Sun, Mar 1, 2015",,W,3:30p,W 5,18,Cleveland Cavaliers,103,OT,105,41
"Tue, Mar 3, 2015",@,L,7:30p,L 1,19,Atlanta Hawks,104,,96,41
"Wed, Mar 4, 2015",,L,8:00p,L 2,20,Memphis Grizzlies,102,,100,41
"Fri, Mar 6, 2015",,W,8:00p,W 1,20,Detroit Pistons,93,,103,42
"Sat, Mar 7, 2015",@,W,9:00p,W 2,20,Denver Nuggets,100,,114,43
"Wed, Mar 11, 2015",@,L,10:30p,L 1,21,Portland Trail Blazers,105,,100,43
"Thu, Mar 12, 2015",@,L,9:00p,L 2,22,Utah Jazz,109,,91,43
"Sun, Mar 15, 2015",@,W,3:30p,W 1,22,Los Angeles Clippers,98,,100,44
"Tue, Mar 17, 2015",,W,8:00p,W 2,22,Orlando Magic,94,,107,45
"Thu, Mar 19, 2015",,W,8:00p,W 3,22,Denver Nuggets,108,,118,46
"Sat, Mar 21, 2015",,L,8:00p,L 1,23,Phoenix Suns,117,,102,46
"Mon, Mar 23, 2015",@,W,7:00p,W 1,23,Indiana Pacers,100,,110,47
"Wed, Mar 25, 2015",@,W,8:00p,W 2,23,New Orleans Pelicans,93,,95,48
"Fri, Mar 27, 2015",,W,8:00p,W 3,23,Minnesota Timberwolves,110,,120,49
"Sun, Mar 29, 2015",@,W,12:30p,W 4,23,Washington Wizards,91,,99,50
"Mon, Mar 30, 2015",@,L,7:30p,L 1,24,Toronto Raptors,99,,96,50
"Wed, Apr 1, 2015",,W,8:00p,W 1,24,Sacramento Kings,111,,115,51
"Thu, Apr 2, 2015",@,W,8:30p,W 2,24,Dallas Mavericks,101,,108,52
"Sun, Apr 5, 2015",@,W,1:00p,W 3,24,Oklahoma City Thunder,112,,115,53
"Wed, Apr 8, 2015",@,L,8:30p,L 1,25,San Antonio Spurs,110,,98,53
"Fri, Apr 10, 2015",,L,8:00p,L 2,26,San Antonio Spurs,104,,103,53
"Sun, Apr 12, 2015",,W,7:00p,W 1,26,New Orleans Pelicans,114,,121,54
"Mon, Apr 13, 2015",@,W,7:00p,W 2,26,Charlotte Hornets,90,,100,55
"Wed, Apr 15, 2015",,W,8:00p,W 3,26,Utah Jazz,91,,117,56
