ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
22.0,4.0,"Tue, Oct 27, 2015",33.0,37.0,8.0,27.0,82.0,12.0,15.0,,L,8:00p,L 1,1,Detroit Pistons,106,7.0,,25.0,-60.0,94,9.0,15.0,40.0,0
26.0,4.0,"Thu, Oct 29, 2015",32.0,42.0,10.0,24.0,83.0,18.0,26.0,@,W,8:00p,W 1,1,New York Knicks,101,7.0,,18.0,55.0,112,11.0,15.0,39.0,1
23.0,4.0,"Fri, Oct 30, 2015",37.0,36.0,8.0,23.0,83.0,17.0,22.0,,W,8:00p,W 2,1,Charlotte Hornets,94,8.0,,17.0,15.0,97,9.0,15.0,45.0,2
22.0,6.0,"Sun, Nov 1, 2015",39.0,37.0,7.0,29.0,88.0,13.0,14.0,@,W,2:00p,W 3,1,Charlotte Hornets,92,9.0,,16.0,10.0,94,9.0,11.0,48.0,3
25.0,1.0,"Tue, Nov 3, 2015",35.0,37.0,7.0,21.0,90.0,17.0,22.0,@,W,7:30p,W 4,1,Miami Heat,92,16.0,,14.0,30.0,98,10.0,15.0,51.0,4
27.0,10.0,"Wed, Nov 4, 2015",28.0,37.0,8.0,22.0,76.0,19.0,24.0,,W,8:00p,W 5,1,Brooklyn Nets,87,6.0,,17.0,70.0,101,15.0,13.0,34.0,5
30.0,6.0,"Fri, Nov 6, 2015",35.0,41.0,9.0,21.0,77.0,30.0,35.0,@,W,8:00p,W 6,1,New Orleans Pelicans,115,6.0,,21.0,30.0,121,10.0,15.0,41.0,6
37.0,4.0,"Sat, Nov 7, 2015",29.0,43.0,13.0,33.0,92.0,15.0,15.0,,W,7:30p,W 7,1,Washington Wizards,99,10.0,,15.0,75.0,114,12.0,14.0,39.0,7
30.0,6.0,"Mon, Nov 9, 2015",23.0,44.0,13.0,31.0,86.0,6.0,7.0,,L,8:00p,L 1,2,Minnesota Timberwolves,117,4.0,,19.0,-50.0,107,13.0,17.0,27.0,7
26.0,7.0,"Wed, Nov 11, 2015",36.0,42.0,10.0,26.0,86.0,12.0,16.0,,W,8:00p,W 1,2,New Orleans Pelicans,98,8.0,,16.0,40.0,106,10.0,12.0,44.0,8
26.0,2.0,"Fri, Nov 13, 2015",30.0,36.0,6.0,20.0,76.0,15.0,20.0,@,L,7:30p,L 1,3,Boston Celtics,106,5.0,,14.0,-65.0,93,3.0,16.0,35.0,8
26.0,5.0,"Sun, Nov 15, 2015",25.0,37.0,8.0,22.0,76.0,14.0,17.0,,L,6:00p,L 2,4,Utah Jazz,97,8.0,,16.0,-5.0,96,9.0,15.0,33.0,8
22.0,7.0,"Tue, Nov 17, 2015",36.0,33.0,12.0,29.0,76.0,10.0,14.0,@,L,7:30p,L 3,5,Brooklyn Nets,90,8.0,,17.0,-10.0,88,7.0,20.0,44.0,8
23.0,6.0,"Wed, Nov 18, 2015",33.0,38.0,9.0,30.0,89.0,18.0,24.0,,W,8:00p,W 1,5,Sacramento Kings,97,12.0,,15.0,30.0,103,9.0,11.0,45.0,9
22.0,4.0,"Sat, Nov 21, 2015",26.0,32.0,11.0,28.0,86.0,22.0,25.0,@,L,7:30p,L 1,6,Cleveland Cavaliers,109,12.0,,20.0,-60.0,97,10.0,12.0,38.0,9
33.0,7.0,"Tue, Nov 24, 2015",37.0,45.0,12.0,24.0,80.0,19.0,22.0,,W,8:00p,W 1,6,Boston Celtics,97,6.0,,25.0,120.0,121,8.0,20.0,43.0,10
