ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
15.0,3.0,"Wed, Oct 28, 2015",29.0,29.0,2.0,16.0,82.0,16.0,22.0,,L,8:00p,L 1,1,Cleveland Cavaliers,106,11.0,,18.0,-150.0,76,8.0,16.0,40.0,0
26.0,5.0,"Thu, Oct 29, 2015",30.0,41.0,7.0,16.0,82.0,23.0,29.0,@,W,7:00p,W 1,1,Indiana Pacers,103,12.0,,25.0,45.0,112,12.0,14.0,42.0,1
26.0,2.0,"Sat, Oct 31, 2015",31.0,34.0,9.0,23.0,80.0,24.0,28.0,,W,8:00p,W 2,1,Brooklyn Nets,91,11.0,,19.0,50.0,101,6.0,9.0,42.0,2
21.0,7.0,"Mon, Nov 2, 2015",33.0,26.0,3.0,23.0,96.0,14.0,20.0,@,L,10:30p,L 1,2,Golden State Warriors,119,11.0,,24.0,-250.0,69,8.0,11.0,44.0,2
23.0,7.0,"Tue, Nov 3, 2015",38.0,40.0,3.0,20.0,83.0,20.0,25.0,@,W,10:00p,W 1,2,Sacramento Kings,89,12.0,,31.0,70.0,103,5.0,16.0,50.0,3
20.0,5.0,"Thu, Nov 5, 2015",29.0,37.0,7.0,20.0,77.0,15.0,21.0,@,L,10:30p,L 1,3,Portland Trail Blazers,115,7.0,,14.0,-95.0,96,4.0,8.0,36.0,3
16.0,1.0,"Sat, Nov 7, 2015",31.0,30.0,6.0,19.0,91.0,13.0,14.0,@,L,9:00p,L 2,4,Utah Jazz,89,13.0,,21.0,-50.0,79,8.0,14.0,44.0,3
21.0,3.0,"Mon, Nov 9, 2015",30.0,35.0,2.0,11.0,80.0,20.0,29.0,@,L,10:30p,L 3,5,Los Angeles Clippers,94,10.0,,28.0,-10.0,92,11.0,14.0,40.0,3
15.0,5.0,"Wed, Nov 11, 2015",31.0,24.0,3.0,15.0,70.0,33.0,36.0,,L,8:00p,L 4,6,Golden State Warriors,100,10.0,,26.0,-80.0,84,14.0,21.0,41.0,3
22.0,0.0,"Fri, Nov 13, 2015",21.0,36.0,6.0,16.0,86.0,23.0,27.0,,W,8:00p,W 1,6,Portland Trail Blazers,100,14.0,,21.0,5.0,101,10.0,8.0,35.0,4
21.0,6.0,"Sun, Nov 15, 2015",30.0,40.0,9.0,17.0,71.0,25.0,27.0,@,W,3:30p,W 2,6,Minnesota Timberwolves,106,4.0,,16.0,40.0,114,7.0,15.0,34.0,5
23.0,4.0,"Mon, Nov 16, 2015",22.0,37.0,12.0,17.0,84.0,36.0,39.0,,W,8:00p,W 3,6,Oklahoma City Thunder,114,12.0,,22.0,40.0,122,11.0,10.0,34.0,6
26.0,4.0,"Fri, Nov 20, 2015",39.0,36.0,8.0,24.0,85.0,16.0,19.0,,W,8:00p,W 4,6,Houston Rockets,84,8.0,,30.0,60.0,96,16.0,11.0,47.0,7
19.0,2.0,"Sat, Nov 21, 2015",28.0,32.0,1.0,9.0,74.0,17.0,17.0,@,L,8:30p,L 1,7,San Antonio Spurs,92,7.0,,23.0,-50.0,82,13.0,16.0,35.0,7
20.0,4.0,"Tue, Nov 24, 2015",37.0,37.0,7.0,21.0,86.0,29.0,37.0,,W,8:00p,W 1,7,Dallas Mavericks,96,5.0,,24.0,70.0,110,12.0,9.0,42.0,8
21.0,3.0,"Wed, Nov 25, 2015",32.0,39.0,3.0,16.0,80.0,21.0,23.0,@,W,8:00p,W 2,7,Houston Rockets,93,9.0,,23.0,45.0,102,8.0,17.0,41.0,9
20.0,1.0,"Fri, Nov 27, 2015",32.0,35.0,12.0,30.0,80.0,19.0,21.0,,L,8:00p,L 1,8,Atlanta Hawks,116,5.0,,25.0,-75.0,101,3.0,13.0,37.0,9
19.0,7.0,"Sun, Nov 29, 2015",34.0,34.0,4.0,13.0,81.0,20.0,27.0,,W,6:00p,W 1,8,Philadelphia 76ers,84,15.0,,18.0,40.0,92,11.0,26.0,49.0,10
21.0,4.0,"Tue, Dec 1, 2015",36.0,43.0,2.0,10.0,90.0,25.0,26.0,@,W,8:00p,W 2,8,New Orleans Pelicans,104,13.0,,23.0,45.0,113,3.0,6.0,49.0,11
19.0,6.0,"Thu, Dec 3, 2015",28.0,30.0,2.0,16.0,80.0,21.0,25.0,,L,9:30p,L 1,9,San Antonio Spurs,103,9.0,,17.0,-100.0,83,6.0,11.0,37.0,11
23.0,5.0,"Sun, Dec 6, 2015",31.0,36.0,5.0,15.0,90.0,18.0,24.0,,W,3:30p,W 1,9,Phoenix Suns,93,15.0,,16.0,10.0,95,8.0,12.0,46.0,12
14.0,4.0,"Tue, Dec 8, 2015",22.0,33.0,3.0,14.0,81.0,19.0,22.0,,L,8:00p,L 1,10,Oklahoma City Thunder,125,11.0,,17.0,-185.0,88,6.0,15.0,33.0,12
23.0,4.0,"Wed, Dec 9, 2015",37.0,41.0,4.0,15.0,88.0,7.0,13.0,@,W,7:30p,W 1,10,Detroit Pistons,92,16.0,,15.0,5.0,93,4.0,17.0,53.0,13
19.0,5.0,"Fri, Dec 11, 2015",29.0,32.0,7.0,20.0,80.0,28.0,37.0,,L,8:00p,L 1,11,Charlotte Hornets,123,11.0,,24.0,-120.0,99,8.0,12.0,40.0,13
23.0,3.0,"Sun, Dec 13, 2015",28.0,40.0,7.0,19.0,77.0,10.0,14.0,@,L,6:00p,L 2,12,Miami Heat,100,5.0,,21.0,-15.0,97,10.0,13.0,33.0,13
26.0,5.0,"Mon, Dec 14, 2015",33.0,44.0,10.0,15.0,78.0,14.0,15.0,,W,8:00p,W 1,12,Washington Wizards,95,6.0,,18.0,85.0,112,8.0,17.0,39.0,14
27.0,5.0,"Wed, Dec 16, 2015",36.0,32.0,5.0,19.0,76.0,16.0,28.0,@,L,8:00p,L 1,13,Chicago Bulls,98,5.0,,20.0,-65.0,85,6.0,13.0,41.0,14
13.0,3.0,"Fri, Dec 18, 2015",29.0,30.0,6.0,17.0,80.0,22.0,24.0,@,L,8:30p,L 2,14,Dallas Mavericks,97,10.0,,19.0,-45.0,88,11.0,12.0,39.0,14
21.0,6.0,"Sat, Dec 19, 2015",37.0,37.0,5.0,19.0,83.0,17.0,21.0,,W,8:00p,W 1,14,Indiana Pacers,84,9.0,,20.0,60.0,96,9.0,9.0,46.0,15
26.0,3.0,"Tue, Dec 22, 2015",27.0,40.0,5.0,15.0,85.0,19.0,24.0,@,W,7:00p,W 2,14,Philadelphia 76ers,90,9.0,,23.0,70.0,104,16.0,12.0,36.0,16
12.0,7.0,"Wed, Dec 23, 2015",29.0,33.0,3.0,17.0,72.0,22.0,32.0,@,L,7:00p,L 1,15,Washington Wizards,100,6.0,,17.0,-45.0,91,13.0,8.0,35.0,16
21.0,5.0,"Sat, Dec 26, 2015",32.0,37.0,7.0,19.0,90.0,11.0,21.0,@,L,7:00p,L 2,16,Charlotte Hornets,98,16.0,,24.0,-30.0,92,9.0,13.0,48.0,16
30.0,4.0,"Sun, Dec 27, 2015",34.0,45.0,6.0,16.0,80.0,16.0,22.0,,W,6:00p,W 1,16,Los Angeles Lakers,96,7.0,,22.0,80.0,112,11.0,10.0,41.0,17
25.0,6.0,"Tue, Dec 29, 2015",30.0,38.0,4.0,15.0,87.0,19.0,20.0,,W,8:00p,W 2,16,Miami Heat,90,16.0,OT,18.0,45.0,99,4.0,8.0,46.0,18
17.0,4.0,"Sat, Jan 2, 2016",32.0,33.0,7.0,18.0,81.0,14.0,26.0,@,L,9:00p,L 1,17,Utah Jazz,92,8.0,OT,24.0,-25.0,87,8.0,11.0,40.0,18
21.0,3.0,"Mon, Jan 4, 2016",35.0,35.0,3.0,15.0,91.0,18.0,26.0,@,W,10:00p,W 1,17,Portland Trail Blazers,78,17.0,,19.0,65.0,91,10.0,11.0,52.0,19
21.0,4.0,"Wed, Jan 6, 2016",30.0,35.0,7.0,21.0,90.0,17.0,24.0,@,L,9:30p,L 1,18,Oklahoma City Thunder,112,9.0,,24.0,-90.0,94,9.0,8.0,39.0,19
14.0,6.0,"Fri, Jan 8, 2016",32.0,30.0,8.0,18.0,82.0,23.0,30.0,,W,8:00p,W 1,18,Denver Nuggets,84,11.0,,19.0,35.0,91,10.0,7.0,43.0,20
12.0,9.0,"Sun, Jan 10, 2016",37.0,31.0,4.0,16.0,84.0,35.0,40.0,,W,6:00p,W 2,18,Boston Celtics,98,21.0,,23.0,15.0,101,8.0,21.0,58.0,21
22.0,3.0,"Tue, Jan 12, 2016",18.0,33.0,7.0,18.0,72.0,18.0,24.0,,L,8:00p,L 1,19,Houston Rockets,107,13.0,,24.0,-80.0,91,9.0,17.0,31.0,21
21.0,3.0,"Thu, Jan 14, 2016",24.0,37.0,9.0,16.0,76.0,20.0,25.0,,W,8:00p,W 1,19,Detroit Pistons,101,5.0,,19.0,10.0,103,13.0,15.0,29.0,22
24.0,5.0,"Sat, Jan 16, 2016",31.0,39.0,5.0,10.0,82.0,20.0,26.0,,W,8:00p,W 2,19,New York Knicks,95,13.0,,19.0,40.0,103,2.0,8.0,44.0,23
27.0,3.0,"Mon, Jan 18, 2016",29.0,35.0,8.0,19.0,75.0,23.0,30.0,,W,2:30p,W 3,19,New Orleans Pelicans,99,11.0,,25.0,10.0,101,9.0,10.0,40.0,24
21.0,6.0,"Thu, Jan 21, 2016",33.0,36.0,6.0,21.0,72.0,24.0,29.0,@,W,9:00p,W 4,19,Denver Nuggets,101,4.0,,23.0,5.0,102,7.0,12.0,37.0,25
22.0,3.0,"Sat, Jan 23, 2016",24.0,37.0,9.0,19.0,79.0,18.0,22.0,@,L,8:00p,L 1,20,Minnesota Timberwolves,106,10.0,,23.0,-25.0,101,9.0,13.0,34.0,25
25.0,5.0,"Mon, Jan 25, 2016",36.0,43.0,6.0,18.0,100.0,16.0,25.0,,W,8:00p,W 1,20,Orlando Magic,102,18.0,OT,16.0,30.0,108,12.0,10.0,54.0,26
28.0,5.0,"Thu, Jan 28, 2016",28.0,38.0,10.0,28.0,80.0,17.0,20.0,,W,8:00p,W 2,20,Milwaukee Bucks,83,9.0,,23.0,100.0,103,7.0,11.0,37.0,27
23.0,9.0,"Sat, Jan 30, 2016",30.0,41.0,8.0,18.0,79.0,31.0,37.0,,W,8:00p,W 3,20,Sacramento Kings,117,2.0,,26.0,20.0,121,15.0,13.0,32.0,28
27.0,5.0,"Mon, Feb 1, 2016",37.0,43.0,9.0,16.0,71.0,15.0,18.0,@,W,8:00p,W 4,20,New Orleans Pelicans,95,3.0,,21.0,75.0,110,4.0,14.0,40.0,29
17.0,5.0,"Fri, Feb 5, 2016",33.0,33.0,4.0,18.0,76.0,21.0,24.0,@,W,7:30p,W 5,20,New York Knicks,85,4.0,,18.0,30.0,91,8.0,9.0,37.0,30
27.0,4.0,"Sat, Feb 6, 2016",44.0,44.0,9.0,23.0,88.0,13.0,23.0,,L,8:00p,L 1,21,Dallas Mavericks,114,7.0,OT,24.0,-20.0,110,3.0,11.0,51.0,30
18.0,3.0,"Mon, Feb 8, 2016",34.0,43.0,7.0,19.0,86.0,13.0,19.0,,L,8:00p,L 2,22,Portland Trail Blazers,112,5.0,OT,24.0,-30.0,106,5.0,15.0,39.0,30
26.0,2.0,"Wed, Feb 10, 2016",25.0,45.0,9.0,20.0,86.0,10.0,12.0,@,W,7:30p,W 1,22,Brooklyn Nets,90,10.0,,18.0,95.0,109,15.0,10.0,35.0,31
17.0,5.0,"Fri, Feb 19, 2016",31.0,40.0,7.0,21.0,82.0,22.0,28.0,,W,8:00p,W 2,22,Minnesota Timberwolves,104,11.0,,24.0,25.0,109,13.0,14.0,42.0,32
13.0,3.0,"Sun, Feb 21, 2016",34.0,28.0,3.0,20.0,76.0,26.0,32.0,@,L,6:00p,L 1,23,Toronto Raptors,98,10.0,,25.0,-65.0,85,6.0,13.0,44.0,32
26.0,4.0,"Wed, Feb 24, 2016",37.0,48.0,13.0,27.0,85.0,19.0,29.0,,W,8:00p,W 1,23,Los Angeles Lakers,119,9.0,,20.0,45.0,128,6.0,9.0,46.0,33
24.0,7.0,"Fri, Feb 26, 2016",37.0,43.0,13.0,32.0,85.0,13.0,15.0,@,W,10:30p,W 2,23,Los Angeles Lakers,95,10.0,,26.0,85.0,112,6.0,13.0,47.0,34
15.0,4.0,"Sat, Feb 27, 2016",27.0,32.0,6.0,20.0,80.0,36.0,42.0,@,L,9:30p,L 1,24,Phoenix Suns,111,7.0,,26.0,-25.0,106,11.0,8.0,34.0,34
27.0,4.0,"Mon, Feb 29, 2016",23.0,36.0,3.0,20.0,75.0,28.0,36.0,@,W,9:00p,W 1,24,Denver Nuggets,96,4.0,,16.0,35.0,103,7.0,8.0,27.0,35
20.0,4.0,"Wed, Mar 2, 2016",23.0,35.0,5.0,18.0,79.0,29.0,33.0,,W,8:00p,W 2,24,Sacramento Kings,98,14.0,,23.0,30.0,104,13.0,19.0,37.0,36
14.0,5.0,"Fri, Mar 4, 2016",33.0,37.0,4.0,18.0,81.0,16.0,19.0,,W,8:00p,W 3,24,Utah Jazz,88,9.0,,22.0,30.0,94,8.0,11.0,42.0,37
17.0,3.0,"Sun, Mar 6, 2016",26.0,32.0,10.0,22.0,80.0,26.0,33.0,,L,4:00p,L 1,25,Phoenix Suns,109,12.0,,27.0,-45.0,100,6.0,10.0,38.0,37
23.0,8.0,"Mon, Mar 7, 2016",26.0,41.0,6.0,20.0,86.0,18.0,22.0,@,W,7:00p,W 1,25,Cleveland Cavaliers,103,9.0,,26.0,15.0,106,16.0,16.0,35.0,38
20.0,7.0,"Wed, Mar 9, 2016",32.0,32.0,7.0,26.0,84.0,25.0,31.0,@,L,7:00p,L 1,26,Boston Celtics,116,16.0,,22.0,-100.0,96,8.0,19.0,48.0,38
