ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
17.0,4.0,"Wed, Oct 28, 2015",29.0,30.0,9.0,18.0,86.0,28.0,31.0,,L,8:00p,L 1,1,New York Knicks,122,18.0,,27.0,-125.0,97,7.0,18.0,47.0,0
33.0,2.0,"Fri, Oct 30, 2015",26.0,42.0,7.0,24.0,82.0,22.0,28.0,,L,8:00p,L 2,2,Washington Wizards,118,6.0,,32.0,-25.0,113,9.0,16.0,32.0,0
21.0,8.0,"Sun, Nov 1, 2015",26.0,29.0,5.0,19.0,69.0,24.0,24.0,@,L,6:00p,L 3,3,Toronto Raptors,106,7.0,,21.0,-95.0,87,6.0,18.0,33.0,0
24.0,7.0,"Mon, Nov 2, 2015",28.0,38.0,9.0,23.0,73.0,18.0,26.0,@,W,7:30p,W 1,3,Brooklyn Nets,96,8.0,,23.0,35.0,103,6.0,14.0,36.0,1
24.0,4.0,"Wed, Nov 4, 2015",28.0,35.0,8.0,23.0,86.0,13.0,17.0,,W,8:00p,W 2,3,Philadelphia 76ers,87,8.0,,19.0,20.0,91,6.0,10.0,36.0,2
21.0,5.0,"Fri, Nov 6, 2015",28.0,35.0,3.0,14.0,81.0,26.0,29.0,@,W,7:30p,W 3,3,New York Knicks,92,13.0,,24.0,35.0,99,6.0,12.0,41.0,3
27.0,6.0,"Sat, Nov 7, 2015",31.0,37.0,8.0,20.0,82.0,12.0,16.0,,W,8:30p,W 4,3,Brooklyn Nets,86,10.0,,16.0,40.0,94,9.0,15.0,41.0,4
14.0,2.0,"Tue, Nov 10, 2015",32.0,30.0,6.0,17.0,73.0,17.0,23.0,,L,8:00p,L 1,4,Boston Celtics,99,9.0,,18.0,-80.0,83,10.0,17.0,41.0,4
26.0,4.0,"Wed, Nov 11, 2015",25.0,42.0,10.0,22.0,79.0,8.0,9.0,@,L,9:00p,L 2,5,Denver Nuggets,103,8.0,,23.0,-5.0,102,8.0,16.0,33.0,4
20.0,9.0,"Sat, Nov 14, 2015",36.0,43.0,6.0,16.0,102.0,16.0,22.0,,W,8:30p,W 1,5,Cleveland Cavaliers,105,15.0,2OT,25.0,15.0,108,6.0,12.0,51.0,5
22.0,3.0,"Tue, Nov 17, 2015",28.0,31.0,10.0,21.0,72.0,14.0,24.0,@,L,7:00p,L 1,6,Washington Wizards,115,6.0,,27.0,-145.0,86,5.0,19.0,34.0,5
22.0,2.0,"Thu, Nov 19, 2015",16.0,38.0,3.0,8.0,73.0,21.0,26.0,@,L,8:00p,L 2,7,Cleveland Cavaliers,115,6.0,,29.0,-75.0,100,8.0,11.0,22.0,5
19.0,5.0,"Sat, Nov 21, 2015",30.0,34.0,5.0,17.0,79.0,13.0,19.0,@,L,7:00p,L 3,8,Indiana Pacers,123,13.0,,19.0,-185.0,86,9.0,23.0,43.0,5
30.0,4.0,"Mon, Nov 23, 2015",33.0,43.0,9.0,13.0,83.0,14.0,17.0,,W,8:00p,W 1,8,Detroit Pistons,88,12.0,,23.0,105.0,109,12.0,12.0,45.0,6
30.0,7.0,"Wed, Nov 25, 2015",27.0,42.0,13.0,31.0,88.0,21.0,27.0,,L,8:00p,L 1,9,Sacramento Kings,129,10.0,,22.0,-55.0,118,7.0,11.0,37.0,6
20.0,2.0,"Fri, Nov 27, 2015",32.0,31.0,8.0,26.0,74.0,20.0,22.0,@,L,7:00p,L 2,10,Orlando Magic,114,6.0,,20.0,-120.0,90,8.0,21.0,38.0,6
25.0,2.0,"Sun, Nov 29, 2015",33.0,33.0,8.0,28.0,82.0,8.0,14.0,@,L,2:00p,L 3,11,Charlotte Hornets,87,13.0,,24.0,-25.0,82,9.0,14.0,46.0,6
25.0,12.0,"Mon, Nov 30, 2015",30.0,35.0,6.0,18.0,77.0,16.0,22.0,,W,8:00p,W 1,11,Denver Nuggets,74,8.0,,19.0,90.0,92,10.0,13.0,38.0,7
