ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
21.0,3.0,"Tue, Oct 27, 2015",25.0,35.0,6.0,18.0,83.0,19.0,27.0,@,L,10:30p,L 1,1,Golden State Warriors,111,8.0,,26.0,-80.0,95,9.0,18.0,33.0,0
19.0,2.0,"Wed, Oct 28, 2015",34.0,36.0,11.0,33.0,91.0,11.0,18.0,@,L,10:00p,L 2,2,Portland Trail Blazers,112,5.0,,17.0,-90.0,94,7.0,11.0,39.0,0
22.0,4.0,"Sat, Oct 31, 2015",32.0,46.0,8.0,22.0,100.0,20.0,23.0,,L,7:30p,L 3,3,Golden State Warriors,134,16.0,,23.0,-70.0,120,4.0,15.0,48.0,0
23.0,9.0,"Tue, Nov 3, 2015",36.0,32.0,12.0,36.0,90.0,18.0,25.0,,L,8:00p,L 4,4,Orlando Magic,103,10.0,,14.0,-45.0,94,12.0,14.0,46.0,0
30.0,7.0,"Fri, Nov 6, 2015",26.0,42.0,10.0,30.0,84.0,21.0,24.0,,L,8:00p,L 5,5,Atlanta Hawks,121,6.0,,24.0,-30.0,115,9.0,12.0,32.0,0
21.0,6.0,"Sat, Nov 7, 2015",35.0,39.0,9.0,28.0,86.0,11.0,13.0,@,L,8:30p,L 6,6,Dallas Mavericks,107,7.0,,24.0,-45.0,98,7.0,12.0,42.0,0
25.0,5.0,"Tue, Nov 10, 2015",39.0,46.0,14.0,33.0,92.0,14.0,18.0,,W,8:00p,W 1,6,Dallas Mavericks,105,9.0,,27.0,75.0,120,9.0,11.0,48.0,1
21.0,0.0,"Wed, Nov 11, 2015",32.0,37.0,14.0,29.0,83.0,10.0,15.0,@,L,8:00p,L 1,7,Atlanta Hawks,106,8.0,,21.0,-40.0,98,6.0,19.0,40.0,1
15.0,4.0,"Fri, Nov 13, 2015",28.0,30.0,7.0,23.0,82.0,14.0,20.0,@,L,7:30p,L 2,8,Toronto Raptors,100,10.0,,22.0,-95.0,81,10.0,14.0,38.0,1
16.0,5.0,"Sun, Nov 15, 2015",32.0,32.0,6.0,21.0,71.0,17.0,19.0,@,L,12:00p,L 3,9,New York Knicks,95,4.0,,22.0,-40.0,87,5.0,18.0,36.0,1
25.0,8.0,"Tue, Nov 17, 2015",25.0,41.0,7.0,23.0,83.0,9.0,11.0,,L,8:00p,L 4,10,Denver Nuggets,115,8.0,,17.0,-85.0,98,4.0,9.0,33.0,1
21.0,4.0,"Wed, Nov 18, 2015",30.0,43.0,8.0,32.0,95.0,9.0,9.0,@,L,8:00p,L 5,11,Oklahoma City Thunder,110,10.0,,25.0,-35.0,103,8.0,11.0,40.0,1
26.0,3.0,"Fri, Nov 20, 2015",46.0,40.0,8.0,22.0,88.0,16.0,17.0,,W,8:00p,W 1,11,San Antonio Spurs,90,7.0,,17.0,70.0,104,3.0,9.0,53.0,2
23.0,6.0,"Sun, Nov 22, 2015",39.0,39.0,11.0,30.0,85.0,33.0,40.0,,W,6:00p,W 2,11,Phoenix Suns,116,10.0,,26.0,30.0,122,11.0,14.0,49.0,3
20.0,6.0,"Wed, Nov 25, 2015",37.0,42.0,10.0,22.0,81.0,26.0,34.0,@,W,9:00p,W 3,11,Phoenix Suns,114,5.0,,23.0,30.0,120,4.0,14.0,42.0,4
20.0,1.0,"Fri, Nov 27, 2015",35.0,34.0,5.0,20.0,94.0,17.0,23.0,@,L,10:30p,L 1,12,Los Angeles Clippers,111,15.0,,23.0,-105.0,90,8.0,12.0,50.0,4
19.0,4.0,"Sat, Nov 28, 2015",31.0,29.0,5.0,17.0,69.0,24.0,30.0,@,L,9:00p,L 2,13,Utah Jazz,101,4.0,,19.0,-70.0,87,8.0,16.0,35.0,4
25.0,11.0,"Tue, Dec 1, 2015",28.0,35.0,9.0,27.0,81.0,25.0,33.0,,L,8:00p,L 3,14,Memphis Grizzlies,113,9.0,,21.0,-45.0,104,3.0,8.0,37.0,4
20.0,6.0,"Wed, Dec 2, 2015",40.0,36.0,7.0,25.0,88.0,22.0,25.0,@,L,8:00p,L 4,15,Houston Rockets,108,16.0,,32.0,-35.0,101,5.0,23.0,56.0,4
25.0,2.0,"Fri, Dec 4, 2015",35.0,42.0,9.0,25.0,85.0,21.0,31.0,,W,9:30p,W 1,15,Cleveland Cavaliers,108,11.0,OT,25.0,30.0,114,10.0,15.0,46.0,5
21.0,6.0,"Mon, Dec 7, 2015",31.0,37.0,4.0,13.0,90.0,15.0,18.0,,L,8:00p,L 1,16,Boston Celtics,111,13.0,,17.0,-90.0,93,8.0,14.0,44.0,5
21.0,0.0,"Fri, Dec 11, 2015",34.0,39.0,16.0,27.0,79.0,13.0,18.0,,W,8:00p,W 1,16,Washington Wizards,105,7.0,,18.0,10.0,107,9.0,16.0,41.0,6
26.0,6.0,"Sat, Dec 12, 2015",36.0,40.0,6.0,16.0,89.0,8.0,11.0,@,L,8:00p,L 1,17,Chicago Bulls,98,5.0,,22.0,-20.0,94,9.0,10.0,41.0,6
15.0,9.0,"Mon, Dec 14, 2015",36.0,36.0,8.0,25.0,82.0,21.0,27.0,@,L,10:00p,L 2,18,Portland Trail Blazers,105,5.0,,22.0,-20.0,101,9.0,9.0,41.0,6
14.0,2.0,"Wed, Dec 16, 2015",28.0,34.0,10.0,21.0,73.0,26.0,28.0,@,W,9:00p,W 1,18,Utah Jazz,94,8.0,,24.0,50.0,104,9.0,10.0,36.0,7
13.0,7.0,"Fri, Dec 18, 2015",26.0,26.0,4.0,22.0,71.0,32.0,38.0,@,L,10:30p,L 1,19,Phoenix Suns,104,10.0,,23.0,-80.0,88,8.0,21.0,36.0,7
