ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
24.0,7.0,"Wed, Oct 28, 2015",30.0,42.0,9.0,23.0,93.0,29.0,35.0,@,W,8:00p,W 1,0,Milwaukee Bucks,97,19.0,,28.0,125.0,122,11.0,11.0,49.0,1
21.0,4.0,"Thu, Oct 29, 2015",32.0,38.0,6.0,29.0,93.0,19.0,21.0,,L,8:00p,L 1,1,Atlanta Hawks,112,16.0,,24.0,-55.0,101,10.0,21.0,48.0,1
21.0,5.0,"Sat, Oct 31, 2015",31.0,41.0,9.0,19.0,86.0,26.0,32.0,@,W,7:00p,W 1,1,Washington Wizards,110,9.0,,30.0,35.0,117,8.0,18.0,40.0,2
17.0,3.0,"Mon, Nov 2, 2015",32.0,32.0,4.0,13.0,89.0,16.0,21.0,,L,7:30p,L 1,2,San Antonio Spurs,94,17.0,,18.0,-50.0,84,8.0,10.0,49.0,2
16.0,7.0,"Wed, Nov 4, 2015",31.0,33.0,8.0,24.0,84.0,12.0,15.0,@,L,8:00p,L 2,3,Cleveland Cavaliers,96,9.0,,23.0,-50.0,86,6.0,12.0,40.0,2
20.0,5.0,"Fri, Nov 6, 2015",29.0,33.0,4.0,24.0,81.0,22.0,28.0,,L,7:30p,L 3,4,Milwaukee Bucks,99,14.0,,22.0,-35.0,92,3.0,15.0,43.0,2
22.0,5.0,"Sun, Nov 8, 2015",42.0,33.0,9.0,27.0,84.0,24.0,29.0,,W,3:30p,W 1,4,Los Angeles Lakers,95,10.0,,15.0,20.0,99,5.0,9.0,52.0,3
22.0,7.0,"Tue, Nov 10, 2015",31.0,42.0,11.0,23.0,95.0,16.0,18.0,@,W,7:30p,W 2,4,Toronto Raptors,109,13.0,,27.0,10.0,111,8.0,9.0,44.0,4
20.0,5.0,"Wed, Nov 11, 2015",41.0,42.0,4.0,21.0,86.0,5.0,7.0,@,L,7:00p,L 1,5,Charlotte Hornets,95,11.0,,24.0,-10.0,93,5.0,16.0,52.0,4
16.0,4.0,"Fri, Nov 13, 2015",36.0,29.0,9.0,27.0,79.0,17.0,21.0,,L,7:30p,L 2,6,Cleveland Cavaliers,90,10.0,,26.0,-30.0,84,7.0,14.0,46.0,4
18.0,4.0,"Sun, Nov 15, 2015",31.0,38.0,4.0,18.0,88.0,15.0,19.0,,W,12:00p,W 1,6,New Orleans Pelicans,87,10.0,,20.0,40.0,95,8.0,9.0,41.0,5
22.0,6.0,"Tue, Nov 17, 2015",35.0,36.0,10.0,20.0,89.0,20.0,21.0,,W,7:30p,W 2,6,Charlotte Hornets,94,10.0,,20.0,40.0,102,4.0,10.0,45.0,6
23.0,5.0,"Fri, Nov 20, 2015",30.0,33.0,12.0,20.0,72.0,15.0,23.0,@,W,8:00p,W 3,6,Oklahoma City Thunder,90,6.0,,20.0,15.0,93,10.0,20.0,36.0,7
20.0,8.0,"Sat, Nov 21, 2015",26.0,34.0,12.0,25.0,80.0,27.0,34.0,@,W,8:00p,W 4,6,Houston Rockets,102,19.0,,22.0,25.0,107,4.0,11.0,45.0,8
12.0,4.0,"Mon, Nov 23, 2015",34.0,28.0,4.0,24.0,87.0,18.0,21.0,@,L,7:30p,L 1,7,Miami Heat,95,15.0,,23.0,-85.0,78,7.0,11.0,49.0,8
16.0,10.0,"Wed, Nov 25, 2015",35.0,31.0,9.0,27.0,83.0,20.0,25.0,@,L,7:00p,L 2,8,Orlando Magic,100,12.0,,23.0,-45.0,91,2.0,11.0,47.0,8
16.0,5.0,"Fri, Nov 27, 2015",32.0,32.0,3.0,14.0,85.0,11.0,15.0,,L,7:30p,L 3,9,Miami Heat,97,7.0,,24.0,-95.0,78,7.0,10.0,39.0,8
22.0,7.0,"Sun, Nov 29, 2015",38.0,45.0,6.0,18.0,78.0,15.0,17.0,,L,7:30p,L 4,10,Houston Rockets,116,5.0,OT,24.0,-25.0,111,5.0,21.0,43.0,8
