ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
12.0,6.0,"Wed, Oct 28, 2015",32.0,34.0,7.0,22.0,83.0,20.0,23.0,@,L,7:30p,L 1,1,Boston Celtics,112,14.0,,22.0,-85.0,95,11.0,22.0,46.0,0
15.0,5.0,"Fri, Oct 30, 2015",31.0,19.0,6.0,15.0,63.0,27.0,37.0,,L,7:00p,L 2,2,Utah Jazz,99,8.0,,22.0,-140.0,71,4.0,18.0,39.0,0
22.0,5.0,"Mon, Nov 2, 2015",28.0,38.0,7.0,24.0,85.0,17.0,23.0,,L,7:00p,L 3,3,Cleveland Cavaliers,107,9.0,,18.0,-35.0,100,7.0,13.0,37.0,0
23.0,9.0,"Wed, Nov 4, 2015",39.0,34.0,6.0,28.0,81.0,13.0,15.0,@,L,8:00p,L 4,4,Milwaukee Bucks,91,12.0,,23.0,-20.0,87,4.0,18.0,51.0,0
23.0,4.0,"Fri, Nov 6, 2015",31.0,41.0,10.0,23.0,79.0,10.0,15.0,@,L,7:30p,L 5,5,Cleveland Cavaliers,108,7.0,,18.0,-30.0,102,9.0,16.0,38.0,0
24.0,10.0,"Sat, Nov 7, 2015",28.0,36.0,11.0,33.0,80.0,14.0,26.0,,L,7:00p,L 6,6,Orlando Magic,105,10.0,,20.0,-40.0,97,6.0,16.0,38.0,0
19.0,9.0,"Mon, Nov 9, 2015",37.0,35.0,5.0,25.0,100.0,13.0,23.0,,L,7:00p,L 7,7,Chicago Bulls,111,15.0,,13.0,-115.0,88,6.0,13.0,52.0,0
28.0,7.0,"Wed, Nov 11, 2015",26.0,40.0,12.0,29.0,87.0,11.0,17.0,,L,7:00p,L 8,8,Toronto Raptors,119,11.0,,24.0,-80.0,103,2.0,11.0,37.0,0
16.0,7.0,"Fri, Nov 13, 2015",31.0,30.0,5.0,17.0,86.0,20.0,28.0,@,L,8:00p,L 9,9,Oklahoma City Thunder,102,12.0,,17.0,-85.0,85,11.0,17.0,43.0,0
15.0,3.0,"Sat, Nov 14, 2015",35.0,33.0,8.0,22.0,82.0,9.0,11.0,@,L,8:30p,L 10,10,San Antonio Spurs,92,6.0,,21.0,-45.0,83,7.0,15.0,41.0,0
