ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
11,0,3,4,0,.000,1,.571,7,3,.750,4,27:36,0,0,+12,11,1,2,3
4,0,4,6,0,.000,2,.429,14,5,.833,6,27:11,0,3,+20,17,1,2,4
3,0,2,6,3,.750,4,.750,8,0,,0,24:23,0,0,+14,15,2,2,2
2,0,4,4,0,.000,2,.364,11,0,,0,23:32,0,1,+5,8,1,3,4
1,3,4,1,0,,0,.250,4,0,,0,19:10,3,4,+14,2,0,1,7
1,2,9,1,0,.000,1,.167,6,1,.500,2,22:25,1,1,+13,3,2,2,10
2,2,4,7,0,.000,1,.875,8,0,,0,21:29,1,3,+10,14,1,0,5
4,0,2,3,1,1.000,1,.500,6,1,.500,2,20:24,0,1,+21,8,1,0,2
1,0,4,4,0,,0,1.000,4,3,.750,4,19:25,0,1,+19,11,1,0,4
1,0,3,3,1,.167,6,.273,11,0,.000,1,19:00,0,0,+12,7,1,0,3
0,0,1,1,0,.000,1,.333,3,0,,0,6:04,1,0,+8,2,0,0,2
1,0,0,1,0,.000,1,.500,2,2,1.000,2,5:45,0,0,+6,4,0,0,0
0,0,1,1,0,,0,1.000,1,0,.000,2,3:36,0,0,+6,2,0,0,1
