ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,0,4,7,2,.500,4,.438,16,5,.833,6,35:45,1,5,+10,21,0,3,5
1,0,3,2,1,.333,3,.333,6,0,,0,35:22,2,3,-7,5,1,1,5
3,0,5,8,4,.667,6,.615,13,5,.714,7,32:36,1,2,-6,25,0,1,6
6,0,1,10,3,.500,6,.625,16,5,1.000,5,32:09,1,3,+2,28,0,4,2
2,3,15,3,0,,0,.600,5,1,.250,4,26:59,2,4,+4,7,0,3,17
2,0,1,3,1,.143,7,.273,11,1,.500,2,28:48,1,0,+13,8,0,1,2
2,1,0,5,0,.000,2,.625,8,0,,0,22:00,3,0,-6,10,0,2,3
4,0,4,2,0,,0,.667,3,0,,0,13:54,0,2,+3,4,0,3,4
0,0,4,1,0,,0,.500,2,0,,0,8:37,0,1,+8,2,0,1,4
1,0,2,0,0,.000,1,.000,1,0,,0,3:50,0,1,-1,0,0,0,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
