ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,2,6,2,.286,7,.316,19,2,1.000,2,27:57,0,2,-14,16,2,2,2
0,2,3,4,1,.500,2,.364,11,2,1.000,2,27:36,1,3,-8,11,1,1,4
0,1,5,2,0,,0,.222,9,0,,0,26:49,2,4,-18,4,0,2,7
1,0,4,1,1,.500,2,.250,4,0,.000,1,26:19,0,0,-8,3,2,0,4
0,0,5,1,0,.000,1,.125,8,1,.500,2,20:18,0,2,-13,3,1,0,5
2,0,4,4,0,.000,1,.571,7,3,.750,4,23:12,3,0,-23,11,0,0,7
3,0,4,3,3,.600,5,.500,6,0,,0,18:59,0,3,-25,9,0,1,4
1,0,1,1,0,.000,2,.200,5,0,,0,17:30,0,2,-7,2,0,2,1
1,0,2,1,0,.000,1,.167,6,0,.000,1,17:18,0,0,+2,2,1,1,2
0,0,0,0,0,.000,2,.000,4,0,,0,13:03,0,0,-9,0,1,1,0
1,1,3,1,1,1.000,1,1.000,1,0,,0,7:00,0,0,-4,3,0,1,3
0,0,1,1,0,.000,1,.500,2,0,,0,7:00,0,0,-4,2,0,1,1
0,0,0,1,0,,0,1.000,1,0,,0,7:00,0,0,-4,2,0,2,0
