ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,1,12,5,0,,0,.625,8,4,.500,8,36:46,4,4,0,14,1,3,16
3,0,9,3,2,.400,5,.273,11,6,.857,7,35:04,5,2,+1,14,1,3,14
6,1,1,10,1,.250,4,.526,19,3,.750,4,34:01,0,2,0,24,2,5,1
3,0,1,1,1,.250,4,.167,6,0,,0,30:29,0,2,0,3,1,3,1
1,1,5,4,0,.000,6,.267,15,0,,0,28:23,2,5,+3,8,2,2,7
2,1,5,3,0,,0,.375,8,3,.750,4,25:34,0,3,-7,9,2,1,5
1,0,2,4,1,.500,2,.800,5,0,.000,1,20:27,2,2,-9,9,1,1,4
4,0,1,3,1,.500,2,.600,5,2,1.000,2,15:00,0,1,-7,9,0,0,1
0,0,1,3,1,.167,6,.375,8,3,.750,4,14:16,0,1,-6,10,1,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
