ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,1,4,8,4,.500,8,.471,17,2,1.000,2,40:28,1,2,+6,22,3,3,5
9,1,3,13,2,.333,6,.565,23,3,1.000,3,36:12,1,3,+15,31,0,5,4
1,0,11,8,0,,0,.800,10,1,1.000,1,33:13,3,3,+10,17,0,6,14
1,2,3,0,0,,0,.000,5,0,,0,29:14,0,0,-3,0,0,2,3
1,1,1,1,1,1.000,1,.500,2,0,,0,16:24,0,2,-1,3,0,0,1
1,0,7,3,0,,0,.500,6,0,,0,30:43,1,4,-6,6,5,1,8
3,0,1,9,2,.286,7,.529,17,1,.500,2,25:58,0,4,-2,21,1,1,1
0,1,2,2,0,.000,1,.500,4,1,.500,2,14:47,1,1,-12,5,0,1,3
1,0,0,1,0,.000,1,.250,4,0,,0,9:24,0,3,-8,2,0,0,0
0,0,1,0,0,.000,1,.000,1,0,,0,3:37,0,0,-9,0,0,1,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
