ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,2,2,0,.000,3,.250,8,3,.750,4,33:38,0,0,-28,7,1,0,2
0,2,5,1,0,,0,.250,4,0,,0,25:27,1,5,-22,2,0,2,6
11,0,2,7,1,.500,2,.538,13,2,.667,3,24:56,0,0,-13,17,0,1,2
1,0,1,3,1,.333,3,.273,11,0,,0,18:08,1,0,-25,7,1,0,2
0,0,2,2,1,1.000,1,.400,5,0,,0,16:35,0,0,-16,5,1,0,2
2,0,2,5,0,.000,6,.357,14,1,.500,2,27:22,0,1,-6,11,1,0,2
1,0,0,5,1,1.000,1,.714,7,0,,0,23:30,0,3,-20,11,2,1,0
3,0,1,2,0,,0,.500,4,4,.800,5,19:15,0,2,-18,8,0,2,1
0,0,2,3,1,.500,2,.250,12,3,.750,4,18:48,3,0,-14,10,0,0,5
1,0,6,1,1,.250,4,.167,6,2,1.000,2,17:00,0,0,-17,5,0,0,6
3,0,2,1,0,.000,2,.250,4,0,,0,11:32,1,1,+4,2,0,1,3
0,0,1,0,0,,0,,0,0,,0,3:49,0,0,-5,0,0,0,1
,,,,,,,,,,,,,,,,,,,
