ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,1,7,5,2,.400,5,.333,15,8,.800,10,37:44,1,4,-1,20,1,1,8
5,0,6,9,2,.500,4,.474,19,7,1.000,7,36:13,0,2,+14,27,1,3,6
4,0,2,2,0,.000,2,.222,9,1,.500,2,31:03,0,3,-15,5,2,2,2
3,1,2,4,2,.667,3,.500,8,2,1.000,2,29:15,2,1,+9,12,4,0,4
2,1,5,4,0,.000,1,.400,10,2,1.000,2,22:22,3,4,-6,10,0,1,8
3,0,1,3,1,.333,3,.375,8,0,,0,29:44,0,3,+2,7,0,1,1
2,1,3,5,1,.333,3,.714,7,2,.667,3,21:27,0,5,+6,13,0,0,3
1,0,2,4,0,.000,1,.667,6,1,1.000,1,19:15,2,2,-10,9,1,0,4
3,0,3,1,0,.000,3,.250,4,3,.750,4,11:43,1,1,+7,5,1,0,4
0,0,0,0,0,,0,,0,1,.500,2,1:14,0,0,-1,1,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
