ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,1,6,8,3,.600,5,.571,14,2,.667,3,35:52,0,5,+3,21,0,4,6
2,1,10,6,0,,0,.600,10,4,.800,5,34:03,2,0,+10,16,1,1,12
0,0,2,6,3,.750,4,.750,8,3,.750,4,33:19,1,0,-9,18,1,1,3
7,3,5,7,2,.500,4,.500,14,0,,0,32:55,1,3,+6,16,1,1,6
9,0,2,7,4,.667,6,.467,15,6,1.000,6,32:37,0,4,+9,24,1,3,2
5,0,2,6,4,.667,6,.545,11,1,1.000,1,32:50,0,3,+17,17,0,2,2
4,0,1,1,0,.000,1,.250,4,0,,0,18:03,1,2,+2,2,0,0,2
0,0,5,1,0,.000,2,.250,4,0,,0,13:47,0,2,-3,2,1,0,5
0,0,0,1,1,.500,2,.333,3,0,,0,6:35,1,1,-10,3,0,1,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
