ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,1,5,0,.000,2,.455,11,2,1.000,2,26:01,0,0,-16,12,1,4,1
2,0,4,2,2,.400,5,.222,9,4,1.000,4,26:01,0,0,-16,10,0,0,4
1,2,8,2,0,,0,.333,6,2,1.000,2,25:00,3,3,-11,6,1,0,11
2,0,5,4,0,.000,3,.333,12,1,1.000,1,24:04,2,1,-15,9,2,1,7
1,1,0,6,1,.333,3,.545,11,1,1.000,1,23:12,0,0,-11,14,2,2,0
3,1,3,2,0,,0,.333,6,0,.000,1,21:59,0,1,-7,4,1,1,3
0,0,4,3,1,.200,5,.429,7,4,1.000,4,19:32,2,0,-7,11,0,1,6
0,1,3,3,1,1.000,1,.750,4,1,.500,2,16:26,0,1,-6,8,1,0,3
0,0,0,3,2,.667,3,.600,5,0,,0,14:27,1,2,-18,8,1,2,1
0,1,1,0,0,.000,2,.000,4,0,,0,13:46,0,1,0,0,0,0,1
0,0,3,2,0,.000,1,.400,5,0,.000,1,12:00,1,2,0,4,0,2,4
1,0,0,1,0,.000,1,.250,4,2,1.000,2,11:25,0,2,-13,4,0,1,0
1,0,2,1,0,,0,.500,2,1,1.000,1,6:07,0,1,+5,3,1,1,2
