ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,4,7,2,.333,6,.538,13,9,.818,11,38:05,2,2,+6,25,2,2,6
2,0,4,9,3,.333,9,.529,17,7,.875,8,36:06,0,2,+9,28,0,2,4
5,0,2,6,2,.500,4,.500,12,6,.857,7,33:18,0,1,+3,20,1,6,2
2,3,6,5,1,.250,4,.455,11,1,.500,2,32:41,0,1,+1,12,1,1,6
1,1,10,3,0,,0,.600,5,0,,0,31:46,1,6,+10,6,1,2,11
2,1,1,0,0,.000,2,.000,2,0,,0,18:36,0,0,-14,0,1,2,1
3,0,1,1,0,.000,1,.250,4,1,1.000,1,14:39,0,2,-4,3,0,0,1
0,0,4,2,1,1.000,1,1.000,2,0,.000,2,12:18,0,2,-6,5,0,0,4
0,0,1,3,2,.667,3,.600,5,0,,0,12:00,0,1,-1,8,0,0,1
1,0,1,0,0,,0,,0,0,,0,10:31,0,0,-9,0,0,1,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
