ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,0,10,7,0,.000,3,.389,18,3,1.000,3,31:56,0,3,+21,17,2,3,10
5,0,4,9,0,.000,3,.643,14,3,1.000,3,29:49,0,1,+15,21,1,2,4
1,2,6,6,0,,0,.545,11,5,.556,9,27:25,6,1,+12,17,0,2,12
0,1,3,7,1,.333,3,.538,13,0,,0,26:25,1,2,+15,15,1,2,4
2,2,3,5,2,1.000,2,.833,6,0,,0,20:52,0,3,+8,12,2,1,3
3,1,7,3,0,.000,1,.333,9,2,1.000,2,30:25,5,2,+10,8,2,1,12
1,1,4,4,2,.286,7,.400,10,0,,0,26:42,0,1,+17,10,1,1,4
4,0,1,2,0,,0,.500,4,1,1.000,1,18:11,0,2,+1,5,1,1,1
1,1,3,2,1,.200,5,.250,8,2,1.000,2,17:14,1,3,-7,7,0,1,4
1,2,1,0,0,.000,1,.000,1,0,,0,5:52,0,1,+1,0,0,0,1
0,0,0,1,0,,0,1.000,1,0,,0,2:38,0,0,-8,2,0,0,0
0,0,0,0,0,,0,,0,0,,0,2:31,0,0,-5,0,0,0,0
,,,,,,,,,,,,,,,,,,,
