ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,1,2,6,0,.000,2,.462,13,4,.667,6,39:32,1,5,-12,16,1,4,3
10,0,2,10,0,.000,4,.455,22,2,1.000,2,37:33,0,1,-5,22,2,2,2
1,0,2,5,1,.500,2,.833,6,4,.800,5,30:34,0,6,-8,15,1,1,2
1,0,11,2,0,,0,.400,5,3,.300,10,30:02,2,1,+5,7,1,1,13
3,0,4,3,0,.000,1,.375,8,3,.750,4,27:18,1,1,-10,9,1,1,5
4,1,2,6,3,.429,7,.429,14,2,1.000,2,28:40,0,1,+2,17,2,1,2
2,1,4,3,1,.500,2,.429,7,1,1.000,1,23:01,1,2,-4,8,2,3,5
1,0,0,0,0,.000,2,.000,2,0,,0,10:27,0,0,-3,0,2,1,0
0,0,1,2,1,.500,2,.500,4,0,,0,9:50,0,2,-2,5,1,1,1
0,0,2,0,0,,0,,0,0,,0,3:04,1,1,-3,0,0,1,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
