ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,1,5,6,1,.333,3,.500,12,3,.750,4,40:36,1,2,-10,16,0,2,6
1,0,5,4,1,.500,2,.667,6,5,1.000,5,35:26,1,4,-2,14,2,1,6
4,0,3,10,3,.429,7,.667,15,2,.333,6,34:47,0,2,-6,25,2,5,3
5,1,7,4,0,.000,2,.444,9,3,.750,4,30:03,0,5,-3,11,0,1,7
1,1,1,2,0,,0,.500,4,1,.500,2,15:47,0,3,-11,5,0,0,1
4,0,4,3,2,.400,5,.429,7,0,,0,22:39,0,1,0,8,2,0,4
1,0,1,4,0,.000,1,.571,7,0,,0,20:26,0,3,-5,8,0,1,1
1,2,4,3,0,,0,.333,9,0,.000,1,20:18,1,3,+2,6,0,1,5
0,1,2,1,0,.000,2,.250,4,0,,0,10:20,0,0,+7,2,0,0,2
0,0,1,1,1,1.000,1,.333,3,1,.500,2,9:38,0,2,-2,4,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
