ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,0,4,5,2,.200,10,.333,15,2,1.000,2,35:51,1,0,-3,14,2,0,5
0,0,6,4,4,.500,8,.333,12,2,1.000,2,35:33,0,1,-9,14,1,1,6
4,0,0,10,3,.429,7,.500,20,4,1.000,4,33:16,0,0,-6,27,0,2,0
4,2,5,3,1,.500,2,.600,5,2,1.000,2,31:39,0,2,-9,9,0,1,5
1,1,2,4,0,.000,1,.571,7,3,1.000,3,14:54,3,3,-1,11,1,0,5
2,0,2,7,3,.750,4,.778,9,2,1.000,2,26:21,1,4,+10,19,0,1,3
3,0,0,4,2,.250,8,.286,14,2,1.000,2,23:46,2,3,+1,12,1,0,2
6,0,2,1,0,.000,2,.200,5,1,1.000,1,14:41,0,2,-2,3,1,0,2
1,0,3,2,0,,0,1.000,2,0,,0,14:39,1,0,-8,4,0,0,4
0,0,0,0,0,,0,,0,1,.500,2,4:57,1,2,-1,1,0,0,1
1,0,0,0,0,,0,.000,2,0,,0,4:24,0,0,-7,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
