ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,1,4,4,1,.333,3,.400,10,2,1.000,2,33:46,0,2,-9,11,0,1,4
7,0,3,11,2,.667,3,.579,19,13,.867,15,33:11,1,2,+4,37,1,2,4
3,0,3,4,2,.500,4,.500,8,0,,0,32:59,1,4,+7,10,1,0,4
2,0,7,9,1,.167,6,.563,16,1,.500,2,32:19,2,1,-7,20,1,1,9
1,1,2,3,0,.000,1,.750,4,0,,0,15:24,0,2,+3,6,0,0,2
3,0,3,2,0,.000,4,.333,6,3,.750,4,32:25,0,2,+10,7,1,1,3
1,0,5,2,1,.500,2,.500,4,0,,0,16:24,1,3,-3,5,0,1,6
1,1,2,1,0,,0,.500,2,2,1.000,2,15:16,0,0,+2,4,0,0,2
1,0,0,2,1,1.000,1,1.000,2,1,.500,2,11:26,0,4,+2,6,0,3,0
0,0,2,0,0,.000,1,.000,3,0,,0,10:10,1,0,-6,0,0,1,3
0,0,0,0,0,,0,,0,0,,0,3:46,0,1,+1,0,0,0,0
0,0,0,0,0,.000,1,.000,2,1,.500,2,2:54,0,0,+1,1,1,0,0
,,,,,,,,,,,,,,,,,,,
