ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,0,2,6,3,.300,10,.353,17,5,.833,6,35:08,1,3,-17,20,0,3,3
1,0,3,6,4,.444,9,.500,12,3,.750,4,30:58,1,2,-18,19,0,0,4
1,0,5,3,0,,0,.600,5,2,1.000,2,29:44,0,2,-19,8,1,2,5
2,1,0,5,2,.500,4,.625,8,1,1.000,1,27:42,0,3,+2,13,1,1,0
1,2,6,1,0,,0,.333,3,0,,0,19:20,0,1,+7,2,0,2,6
4,0,4,6,1,.143,7,.400,15,6,.857,7,32:26,1,2,-13,19,0,0,5
2,0,3,1,1,.333,3,.200,5,0,,0,19:24,2,3,+8,3,0,0,5
3,0,2,2,0,.000,2,.333,6,0,,0,16:44,0,1,+9,4,0,1,2
0,0,3,1,0,,0,.333,3,2,1.000,2,16:09,2,4,-2,4,0,1,5
0,0,1,2,1,.333,3,.500,4,0,,0,12:03,0,0,-5,5,2,1,1
0,0,0,0,0,,0,,0,0,,0,0:11,0,0,-1,0,0,0,0
0,0,0,0,0,,0,,0,0,,0,0:11,0,0,-1,0,0,0,0
,,,,,,,,,,,,,,,,,,,
