ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,1,9,2,0,.000,3,.182,11,0,,0,36:28,0,3,+4,4,0,0,9
3,0,2,10,5,.417,12,.435,23,8,.889,9,34:50,0,3,+7,33,3,2,2
5,0,11,3,1,.250,4,.375,8,7,.778,9,33:25,0,3,+2,14,1,0,11
1,0,3,5,2,1.000,2,.556,9,1,.333,3,25:39,2,2,+19,13,2,4,5
3,0,8,2,0,,0,.667,3,0,,0,19:27,1,5,+17,4,0,2,9
2,0,1,5,0,.000,3,.500,10,4,.800,5,31:00,4,3,-7,14,1,2,5
1,0,6,2,1,.333,3,.250,8,0,,0,19:16,0,3,-11,5,1,3,6
2,0,2,4,3,.750,4,.800,5,2,1.000,2,17:44,1,3,+4,13,0,1,3
0,0,1,1,0,.000,2,.167,6,2,1.000,2,12:43,1,0,0,4,1,0,2
0,0,0,0,0,.000,2,.000,2,0,,0,5:37,0,0,-4,0,0,0,0
0,0,0,0,0,,0,,0,0,,0,3:51,0,1,-1,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
