ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
6,0,2,10,5,.455,11,.556,18,7,.875,8,34:25,0,2,+11,32,1,6,2
7,1,3,7,2,.400,5,.467,15,0,,0,34:23,1,1,+3,16,1,0,4
4,1,4,6,3,.429,7,.429,14,0,,0,34:07,2,5,+3,15,0,1,6
3,0,9,6,1,.500,2,.667,9,2,.500,4,33:20,0,2,-5,15,0,1,9
4,1,10,6,0,.000,2,.600,10,1,1.000,1,28:10,1,6,+8,13,0,0,11
6,2,4,2,1,.200,5,.250,8,4,1.000,4,33:43,0,1,+12,9,0,1,4
0,0,2,4,2,.667,3,.571,7,0,,0,17:27,1,1,-4,10,0,0,3
3,0,2,3,3,.750,4,.600,5,0,,0,15:06,0,1,+8,9,0,0,2
2,0,2,1,0,,0,1.000,1,0,,0,9:19,0,0,-1,2,0,0,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
