ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,2,2,0,.000,3,.222,9,2,1.000,2,28:48,0,2,-7,6,3,1,2
2,0,5,1,0,,0,.167,6,3,.750,4,28:42,1,2,-11,5,3,1,6
4,1,5,1,0,.000,2,.250,4,6,1.000,6,28:39,0,1,-1,8,0,3,5
5,0,4,2,1,.250,4,.222,9,2,.500,4,28:17,0,3,-11,7,0,4,4
1,3,3,8,1,.200,5,.667,12,4,.667,6,24:02,1,3,-5,21,0,1,4
1,0,6,3,1,.250,4,.429,7,1,.500,2,29:08,1,4,-11,8,1,1,7
0,0,3,8,5,.714,7,.615,13,0,,0,22:32,1,0,-12,21,1,0,4
1,0,0,2,1,.250,4,.333,6,0,,0,15:06,0,1,-7,5,0,1,0
3,0,1,2,1,1.000,1,.667,3,0,,0,14:02,0,0,-5,5,1,3,1
0,0,3,2,0,.000,1,.400,5,1,.333,3,13:37,1,3,-6,5,0,2,4
0,0,1,2,1,.500,2,.667,3,0,,0,3:50,1,0,+3,5,0,0,2
0,0,0,0,0,,0,.000,2,0,,0,3:17,1,1,+3,0,0,1,1
