ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,2,8,1,.333,3,.727,11,1,1.000,1,25:09,0,1,-11,18,1,3,2
2,0,3,1,0,,0,.500,2,2,1.000,2,22:26,0,3,-20,4,2,2,3
0,0,2,1,1,.250,4,.200,5,0,,0,21:18,1,2,-13,3,0,1,3
1,0,1,2,0,,0,.667,3,4,1.000,4,20:57,1,4,-39,8,0,2,2
1,0,3,5,2,.286,7,.294,17,2,1.000,2,18:13,2,0,-32,14,1,5,5
4,0,4,1,1,.333,3,.250,4,4,.800,5,28:53,0,3,+2,7,0,2,4
5,0,1,5,2,.400,5,.455,11,1,.250,4,25:38,0,0,+2,13,0,3,1
1,0,8,2,1,.200,5,.250,8,2,1.000,2,25:34,1,0,-12,7,0,1,9
2,0,1,3,1,.333,3,.500,6,1,.500,2,25:10,1,4,-18,8,2,1,2
1,0,3,0,0,.000,1,.000,1,0,,0,14:42,0,2,-21,0,0,1,3
1,2,0,6,1,.500,2,.667,9,0,,0,12:00,3,2,+2,13,0,0,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
