ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,5,3,1,.500,2,.214,14,6,.857,7,28:27,0,3,-21,13,2,2,5
2,2,2,8,4,.571,7,.500,16,2,1.000,2,27:50,2,3,-8,22,1,1,4
2,0,2,4,1,1.000,1,.667,6,4,.667,6,23:55,1,1,-10,13,0,2,3
1,0,4,2,0,.000,1,.400,5,0,,0,22:20,0,1,-20,4,1,2,4
3,0,1,1,0,.000,1,.333,3,0,,0,15:30,0,0,-15,2,0,4,1
0,0,3,4,2,.500,4,.500,8,2,1.000,2,21:08,0,2,-7,12,0,0,3
0,0,2,4,2,.500,4,.667,6,0,,0,20:57,0,5,-1,10,0,0,2
2,0,1,2,1,1.000,1,.667,3,2,.500,4,20:20,0,0,-7,7,0,0,1
2,0,1,3,0,.000,3,.333,9,4,.800,5,19:33,1,0,+2,10,1,2,2
1,0,1,1,0,.000,3,.200,5,4,1.000,4,19:04,3,2,-7,6,0,2,4
4,0,1,2,0,.000,2,.333,6,0,,0,17:11,0,1,+1,4,1,1,1
0,0,0,1,0,,0,.500,2,0,,0,3:45,0,1,-2,2,0,0,0
,,,,,,,,,,,,,,,,,,,
