ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,0,13,4,0,,0,.500,8,2,.667,3,32:28,0,3,-11,10,4,3,13
2,0,3,6,2,1.000,2,.750,8,3,.750,4,31:49,0,5,+3,17,0,7,3
2,2,0,9,0,.000,2,.529,17,8,1.000,8,31:30,1,1,+14,26,1,4,1
5,0,2,6,0,.000,1,.750,8,1,.500,2,24:27,0,3,-23,13,0,3,2
1,0,1,3,1,.333,3,.375,8,0,.000,1,22:12,0,3,-19,7,1,0,1
1,0,7,2,1,.250,4,.286,7,4,1.000,4,21:50,0,5,+8,9,0,0,7
7,1,3,4,1,.333,3,.500,8,1,.250,4,20:04,0,3,+17,10,1,1,3
0,0,2,2,0,.000,1,.667,3,2,1.000,2,17:59,2,1,-3,6,0,0,4
0,0,3,3,0,,0,.750,4,5,.833,6,15:07,2,1,+2,11,2,0,5
0,0,1,2,2,.500,4,.400,5,1,.500,2,14:36,1,1,-6,7,0,0,2
0,0,0,1,0,,0,.333,3,0,,0,4:30,0,0,-4,2,0,0,0
2,1,0,0,0,,0,.000,1,0,,0,3:29,0,1,+2,0,0,1,0
,,,,,,,,,,,,,,,,,,,
