ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,1,2,4,2,.500,4,.500,8,2,.500,4,25:03,0,1,-15,12,1,2,2
0,0,1,3,0,.000,4,.300,10,2,1.000,2,23:24,0,1,-14,8,3,2,1
2,0,3,4,1,.500,2,.667,6,2,1.000,2,20:02,2,2,-12,11,1,4,5
2,0,0,1,1,.250,4,.167,6,2,1.000,2,18:36,0,2,-10,5,0,0,0
0,0,1,4,1,.333,3,.400,10,0,,0,17:59,4,2,-7,9,0,1,5
4,1,9,2,0,.000,3,.333,6,1,.500,2,23:22,2,1,+6,5,0,1,11
2,0,6,2,1,.333,3,.333,6,0,,0,22:09,0,3,-10,5,0,0,6
1,1,3,4,0,.000,3,.444,9,6,.857,7,22:03,1,4,+4,14,0,3,4
1,1,6,2,1,.250,4,.250,8,3,.750,4,21:11,4,0,-2,8,1,1,10
3,1,5,8,1,1.000,1,.533,15,2,.667,3,20:26,1,6,-13,19,1,0,6
0,0,1,1,1,.333,3,.167,6,0,,0,18:40,0,1,+8,3,1,2,1
1,0,1,1,1,1.000,1,1.000,1,2,1.000,2,7:05,0,0,+5,5,1,0,1
,,,,,,,,,,,,,,,,,,,
