ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
6,0,2,5,0,.000,2,.500,10,0,,0,24:46,0,1,-34,10,2,5,2
1,2,2,7,2,.667,3,.636,11,0,,0,22:03,1,2,-19,16,0,3,3
4,0,5,4,2,.400,5,.400,10,2,1.000,2,20:47,0,2,-30,12,1,1,5
1,0,2,0,0,.000,2,.000,5,0,,0,19:32,0,3,-14,0,0,2,2
0,1,5,3,0,.000,3,.375,8,2,1.000,2,18:48,1,2,-12,8,0,2,6
2,1,6,2,2,.400,5,.286,7,3,.750,4,23:45,1,1,+3,9,1,1,7
1,0,3,3,0,.000,1,.500,6,2,1.000,2,23:23,0,3,-14,8,1,2,3
3,0,2,6,1,1.000,1,.857,7,0,.000,1,21:06,1,2,+14,13,1,0,3
0,1,3,0,0,.000,3,.000,4,0,,0,16:10,0,2,-22,0,0,1,3
1,0,3,3,1,1.000,1,.600,5,1,1.000,1,14:53,2,1,-7,8,0,0,5
1,1,1,4,0,.000,2,.500,8,3,.750,4,14:17,1,2,-1,11,0,0,2
1,1,1,0,0,.000,1,.000,2,2,1.000,2,13:13,0,0,+25,2,0,2,1
1,0,2,1,0,.000,1,.500,2,0,,0,7:17,0,1,+11,2,0,0,2
