ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,0,2,12,5,.833,6,.600,20,4,1.000,4,34:20,1,4,+4,33,0,3,3
6,0,3,6,4,.444,9,.429,14,2,1.000,2,34:01,0,2,+6,18,1,2,3
2,0,2,4,1,.250,4,.364,11,1,1.000,1,27:43,0,3,-3,10,0,1,2
2,1,8,3,0,,0,.429,7,0,,0,25:34,5,0,0,6,0,2,13
2,2,2,2,0,.000,1,.500,4,0,,0,18:43,0,1,+4,4,1,2,2
1,0,5,5,1,.250,4,.556,9,0,.000,2,28:25,0,3,-7,11,1,1,5
1,1,2,1,1,.250,4,.250,4,0,,0,20:17,0,1,+1,3,1,0,2
1,0,1,2,0,,0,.286,7,3,.600,5,18:26,0,3,-2,7,2,2,1
2,2,2,2,1,.250,4,.286,7,0,,0,17:40,3,1,-6,5,1,0,5
0,0,1,0,0,,0,.000,3,2,1.000,2,14:51,0,4,-7,2,2,1,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
