ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,0,2,2,1,1.000,1,.500,4,5,.833,6,27:45,0,4,-5,10,0,2,2
2,1,5,6,2,.400,5,.462,13,9,1.000,9,27:18,1,1,+15,23,1,2,6
3,3,6,8,1,.250,4,.533,15,6,1.000,6,24:20,2,2,+15,23,0,1,8
0,0,4,3,0,.000,2,.500,6,0,,0,23:54,1,0,0,6,0,0,5
3,0,2,3,2,1.000,2,.600,5,0,,0,12:39,0,0,+5,8,0,0,2
2,1,2,3,0,.000,2,.375,8,1,.500,2,28:55,1,3,+36,7,2,2,3
6,1,4,6,3,1.000,3,1.000,6,2,1.000,2,24:57,1,3,+3,17,1,3,5
1,0,3,4,3,.600,5,.571,7,0,,0,22:28,0,2,+33,11,0,1,3
1,0,7,3,2,.500,4,.600,5,4,1.000,4,21:37,1,2,+16,12,0,2,8
2,0,7,4,0,,0,.667,6,4,.800,5,18:11,0,1,+29,12,1,3,7
0,0,1,6,1,.500,2,.750,8,1,1.000,1,7:56,2,2,-2,14,0,0,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
