ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,2,6,10,3,.500,6,.667,15,2,.667,3,30:13,1,4,-15,25,1,2,7
2,0,1,4,0,.000,1,.333,12,2,.667,3,24:28,0,1,-12,10,0,2,1
5,0,4,3,0,.000,2,.429,7,7,.875,8,23:44,0,2,-12,13,1,1,4
1,0,2,2,1,.333,3,.333,6,0,,0,16:34,0,0,-11,5,0,3,2
1,0,4,3,0,,0,.750,4,0,,0,15:54,1,3,-15,6,0,1,5
1,1,4,4,1,.500,2,.500,8,2,.667,3,27:25,0,3,-10,11,2,1,4
8,1,2,3,0,.000,2,.333,9,4,1.000,4,26:44,0,1,-12,10,2,3,2
1,0,1,6,0,.000,1,.600,10,2,1.000,2,25:06,0,0,-3,14,0,0,1
0,1,6,4,1,.500,2,.571,7,0,,0,19:57,1,2,-6,9,0,1,7
0,1,0,2,1,.500,2,.333,6,0,,0,16:34,2,1,-10,5,0,0,2
0,0,3,0,0,,0,.000,1,0,,0,8:08,0,0,+9,0,0,0,3
1,0,2,0,0,,0,,0,1,.500,2,5:14,0,1,-3,1,0,0,2
,,,,,,,,,,,,,,,,,,,
