ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,0,5,8,3,.375,8,.533,15,3,1.000,3,30:15,0,1,-1,22,0,3,5
1,4,3,8,1,.250,4,.471,17,3,.600,5,28:54,1,4,-3,20,0,4,4
4,0,0,2,1,.333,3,.400,5,2,1.000,2,22:30,0,1,-9,7,1,0,0
2,4,7,2,0,,0,.500,4,1,.500,2,21:51,0,0,-11,5,0,1,7
3,0,5,2,1,.500,2,.500,4,3,1.000,3,20:37,0,2,-7,8,0,3,5
1,0,4,4,3,.429,7,.444,9,1,.500,2,26:44,0,6,-2,12,0,0,4
7,0,1,4,1,.500,2,.364,11,2,1.000,2,25:34,0,2,+2,11,1,1,1
3,0,11,5,0,.000,2,.455,11,0,,0,23:53,1,3,-6,10,0,3,12
2,0,5,3,1,.250,4,.500,6,2,1.000,2,21:22,2,1,+12,9,1,0,7
2,0,0,1,1,.250,4,.250,4,0,,0,18:20,0,3,+5,3,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
