ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,1,4,7,2,.500,4,.412,17,7,.875,8,30:34,3,4,-4,23,1,4,7
8,1,4,7,1,.200,5,.467,15,4,1.000,4,28:29,0,4,+1,19,2,4,4
1,0,3,4,0,.000,2,.444,9,0,,0,25:50,2,1,-5,8,0,2,5
1,1,8,3,0,,0,.231,13,5,.833,6,24:55,5,4,-1,11,1,0,13
1,0,1,0,0,.000,2,.000,2,0,,0,12:52,0,0,+1,0,1,0,1
3,1,1,4,0,.000,1,.571,7,1,.500,2,26:19,1,1,+12,9,3,1,2
0,0,5,2,1,.333,3,.500,4,1,.500,2,22:23,0,3,+15,6,3,0,5
1,1,4,4,0,.000,2,.571,7,3,1.000,3,22:10,0,1,+20,11,0,1,4
4,1,2,3,2,.667,3,.600,5,2,.667,3,21:26,0,3,+20,10,2,2,2
2,1,6,3,0,,0,.500,6,2,1.000,2,18:08,1,4,+20,8,0,3,7
0,0,0,1,0,,0,1.000,1,0,,0,6:54,0,0,-4,2,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
