ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
8,1,4,3,2,.333,6,.214,14,0,,0,28:11,0,4,-10,8,2,2,4
1,2,5,12,2,.333,6,.545,22,4,.800,5,28:02,2,1,-10,30,0,1,7
3,0,6,1,0,,0,.500,2,0,.000,2,24:36,0,1,-8,2,0,2,6
0,0,3,4,1,.250,4,.500,8,0,,0,20:21,0,1,-6,9,0,0,3
1,0,2,0,0,.000,2,.000,2,0,,0,10:57,0,1,-10,0,1,0,2
5,0,0,3,0,.000,1,.750,4,0,,0,26:20,1,1,+16,6,1,0,1
1,0,6,11,1,.500,2,.917,12,0,,0,23:55,2,1,+18,23,1,1,8
4,0,3,6,1,.250,4,.500,12,2,1.000,2,22:23,2,1,+5,15,0,3,5
1,1,2,3,0,.000,2,.600,5,1,1.000,1,19:49,1,2,+20,7,2,0,3
0,0,4,5,1,.333,3,.556,9,2,1.000,2,19:27,1,1,+20,13,0,2,5
2,1,0,2,0,.000,1,.500,4,4,1.000,4,15:59,0,1,+15,8,1,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
