ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,3,4,4,2,1.000,2,.800,5,6,1.000,6,23:04,0,1,+21,16,0,1,4
7,0,5,6,2,1.000,2,.600,10,2,.667,3,23:04,0,3,+21,16,2,5,5
2,0,2,5,0,.000,1,.833,6,2,.500,4,21:03,1,1,+21,12,0,1,3
7,1,4,3,1,.333,3,.600,5,0,,0,19:26,0,1,+26,7,1,2,4
2,0,3,2,2,.400,5,.400,5,6,1.000,6,19:03,0,2,+14,12,2,1,3
7,0,2,4,1,.500,2,.800,5,4,1.000,4,24:56,0,0,+2,13,2,2,2
1,1,2,5,3,.600,5,.556,9,1,.500,2,23:12,0,2,-6,14,0,1,2
2,0,2,5,0,.000,1,.833,6,4,1.000,4,22:26,0,0,-5,14,1,1,2
2,0,5,4,0,.000,1,.571,7,0,,0,17:38,0,1,+12,8,0,0,5
0,0,3,2,1,.333,3,.400,5,0,,0,12:56,0,1,+13,5,0,2,3
2,0,0,3,1,.500,2,.500,6,2,1.000,2,12:00,0,2,-11,9,0,0,0
3,0,3,4,3,.750,4,.800,5,2,1.000,2,11:53,0,0,+17,13,1,1,3
0,0,0,1,0,,0,1.000,1,0,,0,9:19,0,4,-10,2,0,0,0
