ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,1,5,11,5,.556,9,.550,20,5,.833,6,31:13,0,5,-11,32,2,2,5
2,0,4,4,0,.000,5,.308,13,2,.400,5,31:13,1,3,-11,10,0,4,5
1,0,4,7,2,.500,4,.583,12,4,1.000,4,26:49,0,1,-10,20,0,0,4
4,0,4,3,0,,0,.375,8,0,,0,24:59,1,0,-12,6,1,1,5
1,0,1,0,0,.000,1,.000,1,0,,0,14:37,0,1,-19,0,0,0,1
3,2,2,3,1,.250,4,.429,7,3,1.000,3,25:37,1,1,+3,10,1,2,3
3,1,2,4,2,1.000,2,.667,6,1,.500,2,24:23,1,3,+5,11,2,2,3
2,1,3,1,0,.000,1,.250,4,0,,0,23:01,2,3,+4,2,0,0,5
2,0,5,3,0,.000,1,.429,7,0,,0,21:21,0,0,+8,6,0,1,5
0,1,2,4,1,.333,3,.444,9,1,.500,2,16:47,1,2,+3,10,1,2,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
