ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
6,0,3,14,0,.000,1,.609,23,12,.857,14,39:59,4,1,+14,40,1,1,7
2,0,13,4,3,.375,8,.444,9,4,.500,8,37:22,2,2,+16,15,0,1,15
12,0,8,2,0,.000,1,.222,9,0,,0,36:04,1,2,+15,4,1,3,9
3,1,4,7,0,,0,.583,12,1,.333,3,32:16,3,5,+10,15,1,6,7
2,2,7,6,0,,0,.545,11,0,,0,27:44,4,0,+11,12,0,0,11
0,0,2,6,3,.500,6,.600,10,2,1.000,2,30:40,0,0,+8,17,2,3,2
0,0,2,3,2,.400,5,.429,7,0,,0,17:45,0,3,+2,8,1,1,2
0,0,1,3,0,.000,1,.600,5,0,,0,10:44,1,2,-12,6,0,0,2
2,0,0,0,0,,0,,0,1,1.000,1,5:12,0,0,-16,1,0,0,0
0,0,0,0,0,,0,.000,1,0,,0,2:14,1,1,-8,0,0,1,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
