ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,2,7,11,2,.500,4,.550,20,11,.917,12,39:24,0,3,+18,35,0,1,7
1,6,4,6,0,,0,.500,12,0,,0,35:21,4,2,+1,12,1,0,8
4,0,6,6,0,,0,.545,11,0,,0,35:18,5,3,+12,12,0,0,11
2,1,2,9,2,.500,4,.429,21,2,1.000,2,34:39,1,3,0,22,1,0,3
8,1,11,6,1,.500,2,.545,11,0,,0,33:19,0,3,+3,13,1,3,11
1,1,3,4,1,.500,2,.400,10,2,.500,4,22:16,0,2,-9,11,1,2,3
0,0,1,1,0,.000,4,.167,6,0,,0,17:58,0,1,-22,2,2,0,1
1,0,3,0,0,.000,1,.000,1,0,,0,14:13,0,1,-9,0,0,0,3
0,0,1,0,0,.000,1,.000,3,0,,0,7:32,0,0,-9,0,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
